Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2002,2002-09-29,4,4,25.280,HOU,PHI,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,35,Kris Brown
2002,2002-10-13,5,6,25.294,HOU,BUF,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,24,31,Kris Brown
2002,2002-10-20,6,7,25.301,HOU,CLE,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,34,Kris Brown
2002,2002-10-27,7,8,25.308,HOU,JAX,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,21,19,Kris Brown
2002,2002-11-03,8,9,25.315,HOU,CIN,False,0,0,,0,,,,1,3,33.3,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,3,38,Kris Brown
2002,2002-11-10,9,10,25.322,HOU,TEN,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,17,Kris Brown
2002,2002-11-17,10,11,25.329,HOU,JAX,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,21,24,Kris Brown
2002,2002-11-24,11,12,25.336,HOU,NYG,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,16,14,Kris Brown
2002,2002-12-01,12,13,25.343,HOU,IND,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,3,19,Kris Brown
2002,2002-12-08,13,14,25.350,HOU,PIT,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,24,6,Kris Brown
2002,2002-12-15,14,15,25.357,HOU,BAL,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,19,23,Kris Brown
2002,2002-12-22,15,16,25.364,HOU,WAS,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,26,Kris Brown
2002,2002-12-29,16,17,26.006,HOU,TEN,False,0,0,,0,,,,1,3,33.3,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,3,13,Kris Brown
2003,2003-09-07,1,1,26.258,HOU,MIA,False,0,0,,0,,,,5,7,71.4,0,15,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,21,20,Kris Brown
2003,2003-09-14,2,2,26.265,HOU,NOR,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,31,Kris Brown
2003,2003-09-21,3,3,26.272,HOU,KAN,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,42,Kris Brown
