Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-10-30,8,8,23.305,DAL,ARI,False,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,34,13,Shaun Suisham
2005,2005-11-14,9,10,23.320,DAL,PHI,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,True,21,20,Shaun Suisham
2005,2006-01-01,16,17,24.003,DAL,STL,False,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,10,20,Shaun Suisham
2006,2006-09-10,1,1,24.255,DAL,JAX,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,17,24,Shaun Suisham
2006,2006-10-01,3,4,,DAL,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,45,14,Shaun Suisham
2006,2006-12-03,12,13,24.339,WAS,ATL,False,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,14,24,Shaun Suisham
2006,2006-12-10,13,14,24.346,WAS,PHI,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,19,21,Shaun Suisham
2006,2006-12-17,14,15,24.353,WAS,NOR,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,16,10,Shaun Suisham
2006,2006-12-24,15,16,24.360,WAS,STL,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,31,37,Shaun Suisham
2006,2006-12-30,16,17,25.001,WAS,NYG,False,0,0,,0,4,4,100.0,,,,0,4,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,False,28,34,Shaun Suisham
2007,2007-09-09,1,1,25.254,WAS,MIA,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,16,13,Shaun Suisham
2007,2007-09-17,2,2,25.262,WAS,PHI,False,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,20,12,Shaun Suisham
2007,2007-09-23,3,3,25.268,WAS,NYG,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,2,0,2,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,False,17,24,Shaun Suisham
2007,2007-10-07,4,5,25.282,WAS,DET,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,34,3,Shaun Suisham
2007,2007-10-14,5,6,25.289,WAS,GNB,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,14,17,Shaun Suisham
2007,2007-10-21,6,7,25.296,WAS,ARI,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,21,19,Shaun Suisham
2007,2007-10-28,7,8,25.303,WAS,NWE,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,True,False,7,52,Shaun Suisham
2007,2007-11-04,8,9,25.310,WAS,NYJ,False,0,0,,0,,,,5,5,100.0,0,15,0.0,0,1,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,True,23,20,Shaun Suisham
2007,2007-11-11,9,10,25.317,WAS,PHI,False,0,0,,0,1,2,50.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,25,33,Shaun Suisham
2007,2007-11-18,10,11,25.324,WAS,DAL,False,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,False,23,28,Shaun Suisham
2007,2007-11-25,11,12,25.331,WAS,TAM,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,13,19,Shaun Suisham
2007,2007-12-02,12,13,25.338,WAS,BUF,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,16,17,Shaun Suisham
2007,2007-12-06,13,14,25.342,WAS,CHI,False,0,0,,0,3,3,100.0,1,3,33.3,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,16,Shaun Suisham
2007,2007-12-16,14,15,25.352,WAS,NYG,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,22,10,Shaun Suisham
