Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-11-29,11,12,21.320,TAM,ATL,True,20,29,68.97,250,2,0,118.5,1,5,8.62,10.00,2,14,7.00,0,1,0,1,,0,0.0%,1.00,,0,0,1,0,0,1,0,0,,,,,,,True,False,17,20,Josh Freeman
2009,2009-12-06,12,13,21.327,TAM,CAR,True,23,44,52.27,321,0,5,36.5,2,6,7.30,2.18,3,30,10.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,6,16,Josh Freeman
2009,2009-12-13,13,14,21.334,TAM,NYJ,True,14,33,42.42,93,0,3,12.1,3,12,2.82,-1.27,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-1,0,,,,,,,False,False,3,26,Josh Freeman
2009,2009-12-20,14,15,21.341,TAM,SEA,True,16,26,61.54,205,2,1,95.8,0,0,7.88,7.69,3,1,0.33,0,0,0,0,,0,0.0%,,1,0,2,0,,0,0,0,0,,,,,,,True,True,24,7,Josh Freeman
2009,2009-12-27,15,16,21.348,TAM,NOR,True,21,31,67.74,271,0,2,68.1,3,8,8.74,5.84,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,,,,,,True,True,20,17,Josh Freeman
2009,2010-01-03,16,17,21.355,TAM,ATL,True,15,31,48.39,172,1,2,49.4,1,6,5.55,3.29,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,10,20,Josh Freeman
2010,2010-09-12,1,1,22.242,TAM,CLE,True,17,28,60.71,182,2,1,88.7,3,13,6.50,6.32,2,34,17.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,17,14,Josh Freeman
2010,2010-09-19,2,2,22.249,TAM,CAR,True,12,24,50.00,178,2,0,102.4,0,0,7.42,9.08,4,43,10.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,20,7,Josh Freeman
2010,2010-09-26,3,3,22.256,TAM,PIT,True,20,31,64.52,184,0,1,67.1,3,16,5.94,4.48,6,15,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,,,,,,,False,False,13,38,Josh Freeman
2010,2010-10-10,4,5,22.270,TAM,CIN,True,20,33,60.61,280,1,1,85.4,3,18,8.48,7.73,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,0,0,,,,,,,True,True,24,21,Josh Freeman
2010,2010-10-17,5,6,22.277,TAM,NOR,True,25,43,58.14,219,1,0,79.5,0,0,5.09,5.56,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,6,31,Josh Freeman
2010,2010-10-24,6,7,22.284,TAM,STL,True,23,40,57.50,212,1,0,80.4,3,23,5.30,5.80,5,40,8.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,,,,,,False,True,18,17,Josh Freeman
2010,2010-10-31,7,8,22.291,TAM,ARI,True,18,25,72.00,278,1,0,121.7,2,25,11.12,11.92,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,38,35,Josh Freeman
2010,2010-11-07,8,9,22.298,TAM,ATL,True,11,22,50.00,189,2,2,72.0,1,7,8.59,6.32,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,21,27,Josh Freeman
2010,2010-11-14,9,10,22.305,TAM,CAR,True,18,24,75.00,241,2,0,134.2,1,6,10.04,11.71,5,19,3.80,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,False,True,31,16,Josh Freeman
2010,2010-11-21,10,11,22.312,TAM,SFO,True,13,20,65.00,136,2,0,117.9,2,6,6.80,8.80,5,15,3.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,21,0,Josh Freeman
2010,2010-11-28,11,12,22.319,TAM,BAL,True,17,37,45.95,162,1,0,67.6,0,0,4.38,4.92,6,27,4.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,,,,,,True,False,10,17,Josh Freeman
2010,2010-12-05,12,13,22.326,TAM,ATL,True,19,38,50.00,181,1,1,61.4,1,9,4.76,4.11,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,24,28,Josh Freeman
2010,2010-12-12,13,14,22.333,TAM,WAS,True,15,25,60.00,266,1,0,109.7,1,4,10.64,11.44,6,10,1.67,0,0,0,0,,0,0.0%,,1,0,2,1,1,0,0,0,0,,,,,,,True,True,17,16,Josh Freeman
2010,2010-12-19,14,15,22.340,TAM,DET,True,21,32,65.63,251,1,0,99.9,3,25,7.84,8.47,5,29,5.80,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,20,23,Josh Freeman
2010,2010-12-26,15,16,22.347,TAM,SEA,True,21,26,80.77,237,5,0,144.2,2,21,9.12,12.96,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,2,0,0,,,,,,,False,True,38,15,Josh Freeman
2010,2011-01-02,16,17,22.354,TAM,NOR,True,21,26,80.77,255,2,0,133.2,3,22,9.81,11.35,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,True,True,23,13,Josh Freeman
2011,2011-09-11,1,1,23.241,TAM,DET,True,28,43,65.12,259,1,1,79.5,2,7,6.02,5.44,4,26,6.50,0,1,0,-4,,0,0.0%,-4.00,,0,0,2,0,0,0,0,0,,,,,,,False,False,20,27,Josh Freeman
