Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-09-11,1.0,1.0,23.317,CIN,CLE,W 27-17,True,10,15,66.67,81,1,0,102.4,3,11,5.40,6.73,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Andy Dalton,True,27,17
2011.0,2011-09-18,2.0,2.0,23.324,CIN,DEN,L 22-24,True,27,41,65.85,332,2,0,107.0,2,22,8.10,9.07,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Andy Dalton,False,22,24
2011.0,2011-09-25,3.0,3.0,23.331,CIN,SFO,L 8-13,True,17,32,53.13,157,0,2,40.8,1,8,4.91,2.09,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Andy Dalton,False,8,13
2011.0,2011-10-02,4.0,4.0,23.338,CIN,BUF,W 23-20,True,18,36,50.00,298,1,2,64.4,2,11,8.28,6.33,3,12,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Andy Dalton,True,23,20
2011.0,2011-10-09,5.0,5.0,23.345,CIN,JAX,W 30-20,True,21,33,63.64,179,2,1,85.3,2,17,5.42,5.27,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Andy Dalton,True,30,20
2011.0,2011-10-16,6.0,6.0,23.352,CIN,IND,W 27-17,True,25,32,78.13,264,1,0,111.5,0,0,8.25,8.88,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Andy Dalton,True,27,17
2011.0,2011-10-30,7.0,8.0,24.001,CIN,SEA,W 34-12,True,18,29,62.07,168,2,2,72.2,1,8,5.79,4.07,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Andy Dalton,True,34,12
2011.0,2011-11-06,8.0,9.0,24.008,CIN,TEN,W 24-17,True,22,39,56.41,217,3,0,97.9,1,7,5.56,7.10,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Andy Dalton,True,24,17
2011.0,2011-11-13,9.0,10.0,24.015,CIN,PIT,L 17-24,True,15,30,50.00,170,2,2,61.8,0,0,5.67,4.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Andy Dalton,False,17,24
2011.0,2011-11-20,10.0,11.0,24.022,CIN,BAL,L 24-31,True,24,45,53.33,373,1,3,60.7,2,9,8.29,5.73,4,32,8.00,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Andy Dalton,False,24,31
2011.0,2011-11-27,11.0,12.0,24.029,CIN,CLE,W 23-20,True,21,31,67.74,270,1,0,105.6,2,13,8.71,9.35,6,23,3.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Andy Dalton,True,23,20
2011.0,2011-12-04,12.0,13.0,24.036,CIN,PIT,L 7-35,True,11,24,45.83,135,1,0,77.6,3,24,5.63,6.46,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Andy Dalton,False,7,35
2011.0,2011-12-11,13.0,14.0,24.043,CIN,HOU,L 19-20,True,16,28,57.14,189,1,0,89.7,1,5,6.75,7.46,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Andy Dalton,False,19,20
2011.0,2011-12-18,14.0,15.0,24.05,CIN,STL,W 20-13,True,15,26,57.69,179,0,1,62.8,1,6,6.88,5.15,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Andy Dalton,True,20,13
2011.0,2011-12-24,15.0,16.0,24.056,CIN,ARI,W 23-16,True,18,31,58.06,154,2,0,92.7,2,18,4.97,6.26,5,48,9.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Andy Dalton,True,23,16
