Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-12-14,14,15,26.085,IND,HOU,True,5,2,32,16.00,0,40.0%,6.40,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,40,59%,0,0%,0,0%,False,True,17,10,Coby Fleener
2014,2014-12-21,15,16,26.092,IND,DAL,True,7,4,36,9.00,0,57.1%,5.14,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,55,89%,0,0%,0,0%,True,False,7,42,Coby Fleener
2014,2014-12-28,16,17,26.099,IND,TEN,True,7,5,56,11.20,2,71.4%,8.00,0,0,,0,,2,12,0,0,0,0,0,0,0,0,0,0,61,92%,2,3%,0,0%,True,True,27,10,Coby Fleener
2015,2015-09-13,1,1,26.358,IND,BUF,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,37,49%,0,0%,0,0%,True,False,14,27,Coby Fleener
2015,2015-09-21,2,2,27.001,IND,NYJ,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,46,72%,0,0%,0,0%,False,False,7,20,Coby Fleener
2015,2015-09-27,3,3,27.007,IND,TEN,True,6,4,51,12.75,0,66.7%,8.50,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,True,True,35,33,Coby Fleener
2015,2015-10-04,4,4,27.014,IND,JAX,True,12,9,83,9.22,1,75.0%,6.92,0,0,,0,,1,6,0,0,0,0,0,0,0,0,0,0,70,90%,0,0%,0,0%,False,True,16,13,Coby Fleener
2015,2015-10-08,5,5,27.018,IND,HOU,False,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,33,51%,0,0%,0,0%,True,True,27,20,Coby Fleener
2015,2015-10-18,6,6,27.028,IND,NWE,True,6,3,20,6.67,0,50.0%,3.33,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,50,64%,0,0%,0,0%,False,False,27,34,Coby Fleener
2015,2015-10-25,7,7,27.035,IND,NOR,False,5,3,47,15.67,0,60.0%,9.40,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,43,68%,0,0%,0,0%,False,False,21,27,Coby Fleener
