Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-12-17,14.0,15.0,,SEA,LAR,L 7-42,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Carson,False,7,42
2017.0,2017-12-24,15.0,16.0,,SEA,DAL,W 21-12,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Carson,True,21,12
2017.0,2017-12-31,16.0,17.0,,SEA,ARI,L 24-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Carson,False,24,26
2018.0,2018-09-09,1.0,1.0,23.358,SEA,DEN,L 24-27,True,7,51,7.29,0,5,3,28,9.33,0,60.0%,5.60,0,0,1,1,0,0,0,0,25,44%,0,0%,6,18%,True,Chris Carson,False,24,27
2018.0,2018-09-17,2.0,2.0,24.001,SEA,CHI,L 17-24,True,6,24,4.00,0,1,0,0,,0,0.0%,0.00,0,0,0,0,0,0,0,0,19,29%,0,0%,2,7%,True,Chris Carson,False,17,24
2018.0,2018-09-23,3.0,3.0,24.007,SEA,DAL,W 24-13,True,32,102,3.19,1,2,2,22,11.00,0,100.0%,11.00,1,6,0,0,0,0,0,0,51,74%,0,0%,2,7%,False,Chris Carson,True,24,13
2018.0,2018-09-30,4.0,4.0,,SEA,ARI,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Carson,True,20,17
2018.0,2018-10-07,5.0,5.0,24.021,SEA,LAR,L 31-33,True,19,116,6.11,0,1,1,11,11.00,0,100.0%,11.00,0,0,0,0,0,0,0,0,35,58%,0,0%,0,0%,False,Chris Carson,False,31,33
2018.0,2018-10-14,6.0,6.0,24.028,SEA,OAK,W 27-3,True,14,59,4.21,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,27,42%,0,0%,0,0%,True,Chris Carson,True,27,3
2018.0,2018-10-28,7.0,8.0,24.042,SEA,DET,W 28-14,True,25,105,4.20,1,2,2,19,9.50,0,100.0%,9.50,1,6,0,0,0,0,0,0,42,67%,0,0%,0,0%,True,Chris Carson,True,28,14
