Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-09-08,1,1,21.281,HOU,DAL,True,6,1,-3,-3.00,0,16.7%,-0.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,19,10,Jabar Gaffney
2002,2002-09-15,2,2,21.288,HOU,SDG,True,6,2,37,18.50,0,33.3%,6.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,24,Jabar Gaffney
2002,2002-09-22,3,3,21.295,HOU,IND,True,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,3,23,Jabar Gaffney
2002,2002-09-29,4,4,21.302,HOU,PHI,True,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,35,Jabar Gaffney
2002,2002-10-13,5,6,21.316,HOU,BUF,True,5,3,48,16.00,1,60.0%,9.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,24,31,Jabar Gaffney
2002,2002-10-20,6,7,21.323,HOU,CLE,True,6,4,47,11.75,0,66.7%,7.83,0,0,,0,1,1,100.00,39,1,0,158.3,0,0,39.00,59.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,34,Jabar Gaffney
2002,2002-10-27,7,8,21.330,HOU,JAX,True,3,3,60,20.00,0,100.0%,20.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,-4,-4.00,0,1,0,2,0,,0,0,0,0,,,,,,,True,True,21,19,Jabar Gaffney
2002,2002-11-03,8,9,21.337,HOU,CIN,True,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,3,38,Jabar Gaffney
2002,2002-11-10,9,10,21.344,HOU,TEN,True,7,3,26,8.67,0,42.9%,3.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,17,Jabar Gaffney
2002,2002-11-17,10,11,21.351,HOU,JAX,True,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,1,1.00,0,,0,0,0,,0,0,0,0,,,,,,,False,False,21,24,Jabar Gaffney
2002,2002-11-24,11,12,21.358,HOU,NYG,True,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,16,14,Jabar Gaffney
2002,2002-12-01,12,13,22.000,HOU,IND,False,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,19,Jabar Gaffney
2002,2002-12-08,13,14,22.007,HOU,PIT,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,0,0.00,0,,0,0,1,1,0,0,0,0,,,,,,,True,True,24,6,Jabar Gaffney
2002,2002-12-15,14,15,22.014,HOU,BAL,True,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,19,23,Jabar Gaffney
2002,2002-12-22,15,16,22.021,HOU,WAS,True,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,26,Jabar Gaffney
2002,2002-12-29,16,17,22.028,HOU,TEN,False,9,6,73,12.17,0,66.7%,8.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,3,13,Jabar Gaffney
2003,2003-09-07,1,1,22.280,HOU,MIA,True,5,3,70,23.33,0,60.0%,14.00,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,21,20,Jabar Gaffney
2003,2003-09-14,2,2,22.287,HOU,NOR,False,10,5,61,12.20,0,50.0%,6.10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,31,Jabar Gaffney
2003,2003-09-21,3,3,22.294,HOU,KAN,True,7,5,42,8.40,0,71.4%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,14,42,Jabar Gaffney
