Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
1999,1999-09-12,1,1,,CLE,,PIT,L 0-43,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Phil Dawson
1999,1999-09-19,2,2,24.239,CLE,@,TEN,L 9-26,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-09-26,3,3,24.246,CLE,@,BAL,L 10-17,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-10-03,4,4,24.253,CLE,,NWE,L 7-19,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Phil Dawson
1999,1999-10-10,5,5,24.260,CLE,,CIN,L 17-18,False,1,4,4.00,1,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,1,11,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
1999,1999-10-17,6,6,24.267,CLE,@,JAX,L 7-24,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
1999,1999-10-24,7,7,24.274,CLE,@,STL,L 3-34,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-10-31,8,8,24.281,CLE,@,NOR,W 21-16,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-11-07,9,9,24.288,CLE,,BAL,L 9-41,False,0,0,,0,0,0,,0,0,0,,,,,,,1,0.0,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
1999,1999-11-14,10,10,24.295,CLE,@,PIT,W 16-15,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-11-21,11,11,24.302,CLE,,CAR,L 17-31,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Phil Dawson
1999,1999-11-28,12,12,24.309,CLE,,TEN,L 21-33,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
1999,1999-12-05,13,13,24.316,CLE,@,SDG,L 10-23,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
1999,1999-12-12,14,14,24.323,CLE,@,CIN,L 28-44,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Phil Dawson
1999,1999-12-19,15,15,24.330,CLE,,JAX,L 14-24,False,0,0,,0,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
1999,1999-12-26,16,16,24.337,CLE,,IND,L 28-29,False,0,0,,0,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2000,2000-09-03,1,1,25.224,CLE,,JAX,L 7-27,False,0,0,,0,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2000,2000-09-10,2,2,25.231,CLE,@,CIN,W 24-7,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-09-17,3,3,25.238,CLE,,PIT,W 23-20,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
2000,2000-09-24,4,4,25.245,CLE,@,OAK,L 10-36,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-10-01,5,5,25.252,CLE,,BAL,L 0-12,False,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,,,,,,,False,Phil Dawson
2000,2000-10-08,6,6,25.259,CLE,@,ARI,L 21-29,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-10-15,7,7,25.266,CLE,@,DEN,L 10-44,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-10-22,8,8,25.273,CLE,@,PIT,L 0-22,False,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,0.0,,,,,,0,0,,0,,,,,,,True,Phil Dawson
2000,2000-10-29,9,9,25.280,CLE,,CIN,L 3-12,False,0,0,,0,0,0,,0,0,0,,,,,,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,Phil Dawson
