Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-09-05,1,1,22.274,DEN,BAL,False,8,24,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,25%,0,0%,16,37%,False,True,49,27,Montee Ball
2013,2013-09-15,2,2,22.284,DEN,NYG,False,12,14,1.17,0,2,2,27,13.50,0,100.0%,13.50,0,0,0.0,0,0,0,,,1,1,0,0,0,0,28,38%,0,0%,10,28%,True,True,41,23,Montee Ball
2013,2013-09-23,3,3,22.292,DEN,OAK,False,11,61,5.55,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,17,22%,0,0%,6,21%,False,True,37,21,Montee Ball
2013,2013-09-29,4,4,22.298,DEN,PHI,False,8,24,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,19%,0,0%,6,18%,False,True,52,20,Montee Ball
2013,2013-10-06,5,5,22.305,DEN,DAL,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,6%,0,0%,1,3%,True,True,51,48,Montee Ball
2013,2013-10-13,6,6,22.312,DEN,JAX,False,3,15,5.00,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,9%,0,0%,4,14%,False,True,35,19,Montee Ball
2013,2013-10-20,7,7,22.319,DEN,IND,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,20,43%,True,False,33,39,Montee Ball
2013,2013-10-27,8,8,22.326,DEN,WAS,False,12,38,3.17,1,1,0,0,,0,0.0%,0.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,37%,0,0%,3,9%,False,True,45,21,Montee Ball
2013,2013-11-10,9,10,22.340,DEN,SDG,False,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,32%,0,0%,5,16%,True,True,28,20,Montee Ball
2013,2013-11-17,10,11,22.347,DEN,KAN,False,8,25,3.13,2,4,3,16,5.33,0,75.0%,4.00,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,22,28%,0,0%,8,24%,False,True,27,17,Montee Ball
2013,2013-11-24,11,12,22.354,DEN,NWE,False,7,40,5.71,0,3,3,17,5.67,0,100.0%,5.67,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,16,18%,0,0%,13,33%,True,False,31,34,Montee Ball
2013,2013-12-01,12,13,22.361,DEN,KAN,False,13,117,9.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,34%,0,0%,3,11%,True,True,35,28,Montee Ball
2013,2013-12-08,13,14,23.003,DEN,TEN,False,15,77,5.13,1,4,3,10,3.33,0,75.0%,2.50,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,44%,0,0%,7,21%,False,True,51,28,Montee Ball
