Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-12-12,14,15,23.007,DEN,SDG,False,3,-1,-0.33,0,5,5,49,9.80,0,100.0%,9.80,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,19,35%,0,0%,10,37%,False,False,20,27,Montee Ball
2013,2013-12-22,15,16,23.017,DEN,HOU,False,4,32,8.00,0,1,0,0,,0,0.0%,0.00,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,19,25%,0,0%,9,26%,True,True,37,13,Montee Ball
2013,2013-12-29,16,17,23.024,DEN,OAK,False,10,72,7.20,0,3,3,22,7.33,0,100.0%,7.33,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,41%,0,0%,7,24%,True,True,34,14,Montee Ball
2014,2014-09-07,1,1,23.276,DEN,IND,True,23,67,2.91,1,2,2,16,8.00,0,100.0%,8.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,88%,0,0%,0,0%,False,True,31,24,Montee Ball
2014,2014-09-14,2,2,23.283,DEN,KAN,True,12,60,5.00,0,3,3,29,9.67,0,100.0%,9.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,76%,0,0%,0,0%,False,True,24,17,Montee Ball
2014,2014-09-21,3,3,23.290,DEN,SEA,True,14,38,2.71,0,3,2,6,3.00,0,66.7%,2.00,0,0,0.0,0,0,0,,,1,1,0,0,0,0,54,75%,0,0%,0,0%,True,False,20,26,Montee Ball
2014,2014-10-05,4,5,23.304,DEN,ARI,False,6,7,1.17,0,3,2,11,5.50,0,66.7%,3.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,37%,0,0%,0,0%,False,True,41,20,Montee Ball
2014,2014-10-12,5,6,,DEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,17,Montee Ball
2014,2014-10-19,6,7,,DEN,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,42,17,Montee Ball
2014,2014-10-23,7,8,,DEN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,21,Montee Ball
2014,2014-11-02,8,9,,DEN,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,21,43,Montee Ball
2014,2014-11-09,9,10,,DEN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,17,Montee Ball
2014,2014-11-16,10,11,23.346,DEN,STL,False,0,0,,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,0,0%,True,False,7,22,Montee Ball
2014,2014-11-23,11,12,,DEN,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,39,36,Montee Ball
2014,2014-11-30,12,13,,DEN,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,29,16,Montee Ball
2014,2014-12-07,13,14,,DEN,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,17,Montee Ball
2014,2014-12-14,14,15,,DEN,SDG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,22,10,Montee Ball
2014,2014-12-22,15,16,,DEN,CIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,28,37,Montee Ball
2014,2014-12-28,16,17,,DEN,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,47,14,Montee Ball
,21 Games,,,,,,False,175,731,4.18,5,40,29,207,7.14,0,72.5%,5.18,5,30,0.0,6,0,6,0,0,4,4,0,0,0,0,,,,,,,False,False,5,0,Montee Ball
