Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,23.261,MIN,TAM,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,4,217,54.25,0,,,,,,,False,False,13,24,Chris Kluwe
2005,2005-09-18,2,2,23.268,MIN,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,3,140,46.67,0,,,,,,,True,False,8,37,Chris Kluwe
2005,2005-09-25,3,3,23.275,MIN,NOR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,242,48.40,0,,,,,,,False,True,33,16,Chris Kluwe
2005,2005-10-02,4,4,23.282,MIN,ATL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,230,46.00,0,,,,,,,True,False,10,30,Chris Kluwe
2005,2005-10-16,5,6,23.296,MIN,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,,0,,0,0,0,0,6,265,44.17,0,,,,,,,True,False,3,28,Chris Kluwe
2005,2005-10-23,6,7,23.303,MIN,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,2,78,39.00,0,,,,,,,False,True,23,20,Chris Kluwe
2005,2005-10-30,7,8,23.310,MIN,CAR,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,243,48.60,0,,,,,,,True,False,13,38,Chris Kluwe
2005,2005-11-06,8,9,23.317,MIN,DET,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,234,46.80,0,,,,,,,False,True,27,14,Chris Kluwe
2005,2005-11-13,9,10,23.324,MIN,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,0,,0,,0,0,0,0,8,342,42.75,0,,,,,,,True,True,24,21,Chris Kluwe
2005,2005-11-21,10,11,23.332,MIN,GNB,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,5,193,38.60,0,,,,,,,True,True,20,17,Chris Kluwe
2005,2005-11-27,11,12,23.338,MIN,CLE,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,264,44.00,0,,,,,,,False,True,24,12,Chris Kluwe
2005,2005-12-04,12,13,23.345,MIN,DET,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,,0,,0,0,0,0,4,181,45.25,0,,,,,,,True,True,21,16,Chris Kluwe
2005,2005-12-11,13,14,,MIN,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,13,Chris Kluwe
2005,2005-12-18,14,15,23.359,MIN,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,6,267,44.50,0,,,,,,,False,False,3,18,Chris Kluwe
2005,2005-12-25,15,16,24.001,MIN,BAL,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,4,122,30.50,0,,,,,,,True,False,23,30,Chris Kluwe
2005,2006-01-01,16,17,24.008,MIN,CHI,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,,,,,,0,,0,0,0,0,3,112,37.33,0,,,,,,,False,True,34,10,Chris Kluwe
2006,2006-09-11,1,1,24.261,MIN,WAS,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,190,38.00,0,,,,,,,True,True,19,16,Chris Kluwe
2006,2006-09-17,2,2,24.267,MIN,CAR,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,7,324,46.29,0,,,,,,,False,True,16,13,Chris Kluwe
2006,2006-09-24,3,3,24.274,MIN,CHI,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,4,159,39.75,0,,,,,,,False,False,16,19,Chris Kluwe
2006,2006-10-01,4,4,24.281,MIN,BUF,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,195,32.50,0,,,,,,,True,False,12,17,Chris Kluwe
2006,2006-10-08,5,5,24.288,MIN,DET,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,3,141,47.00,0,,,,,,,False,True,26,17,Chris Kluwe
2006,2006-10-22,6,7,24.302,MIN,SEA,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,204,40.80,0,,,,,,,True,True,31,13,Chris Kluwe
2006,2006-10-30,7,8,24.310,MIN,NWE,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,249,49.80,0,,,,,,,False,False,7,31,Chris Kluwe
2006,2006-11-05,8,9,24.316,MIN,SFO,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,198,39.60,0,,,,,,,True,False,3,9,Chris Kluwe
2006,2006-11-12,9,10,24.323,MIN,GNB,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,7,336,48.00,0,,,,,,,False,False,17,23,Chris Kluwe
2006,2006-11-19,10,11,24.330,MIN,MIA,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,226,37.67,0,,,,,,,True,False,20,24,Chris Kluwe
2006,2006-11-26,11,12,24.337,MIN,ARI,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,5,214,42.80,0,,,,,,,False,True,31,26,Chris Kluwe
2006,2006-12-03,12,13,24.344,MIN,CHI,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,8,249,31.13,0,,,,,,,True,False,13,23,Chris Kluwe
2006,2006-12-10,13,14,24.351,MIN,DET,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,4,213,53.25,0,,,,,,,True,True,30,20,Chris Kluwe
2006,2006-12-17,14,15,24.358,MIN,NYJ,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,7,331,47.29,0,,,,,,,False,False,13,26,Chris Kluwe
2006,2006-12-21,15,16,24.362,MIN,GNB,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,0,0,0,0,0,0,,0,1,0,0,10,434,43.40,0,,,,,,,True,False,7,9,Chris Kluwe
2006,2006-12-31,16,17,25.007,MIN,STL,False,0,0,,0,0,0,,0,0,0,,0,,,,0.0,,,,,,0,,0,0,0,0,6,271,45.17,0,,,,,,,False,False,21,41,Chris Kluwe
