Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-12-13,13.0,14.0,22.172,TAM,NOR,L 17-24,False,3,1,6,6.00,1,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,29,53%,0,0%,2,8%,False,Adam Humphries,False,17,24
2015.0,2015-12-17,14.0,15.0,22.176,TAM,STL,L 23-31,False,6,6,60,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,56%,0,0%,1,3%,True,Adam Humphries,False,23,31
2015.0,2015-12-27,15.0,16.0,22.186,TAM,CHI,L 21-26,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,68%,0,0%,8,27%,False,Adam Humphries,False,21,26
2015.0,2016-01-03,16.0,17.0,22.193,TAM,CAR,L 10-38,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,56,76%,0,0%,6,25%,True,Adam Humphries,False,10,38
2016.0,2016-09-11,1.0,1.0,23.079,TAM,ATL,W 31-24,True,5,3,34,11.33,0,60.0%,6.80,1,7,7.00,0,1,12,12.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,77%,0,0%,6,19%,True,Adam Humphries,True,31,24
2016.0,2016-09-18,2.0,2.0,23.086,TAM,ARI,L 7-40,True,8,6,67,11.17,0,75.0%,8.38,0,0,,0,0,0,,0,5,43,8.60,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,73%,0,0%,6,19%,True,Adam Humphries,False,7,40
2016.0,2016-09-25,3.0,3.0,23.093,TAM,LAR,L 32-37,False,12,9,100,11.11,0,75.0%,8.33,0,0,,0,0,0,,0,2,26,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,64%,0,0%,5,16%,False,Adam Humphries,False,32,37
2016.0,2016-10-02,4.0,4.0,23.1,TAM,DEN,L 7-27,False,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,3,37,12.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,55%,0,0%,7,25%,False,Adam Humphries,False,7,27
2016.0,2016-10-10,5.0,5.0,23.108,TAM,CAR,W 17-14,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,1,12,12.00,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,31,42%,0,0%,5,20%,True,Adam Humphries,True,17,14
2016.0,2016-10-23,6.0,7.0,23.121,TAM,SFO,W 34-17,False,3,2,17,8.50,0,66.7%,5.67,1,6,6.00,0,1,17,17.00,0,2,15,7.50,0,,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,38,51%,0,0%,7,23%,True,Adam Humphries,True,34,17
2016.0,2016-10-30,7.0,8.0,23.128,TAM,OAK,L 24-30,True,4,3,58,19.33,0,75.0%,14.50,0,0,,0,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,71%,0,0%,6,18%,False,Adam Humphries,False,24,30
2016.0,2016-11-03,8.0,9.0,23.132,TAM,ATL,L 28-43,True,7,5,46,9.20,1,71.4%,6.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,91%,0,0%,0,0%,False,Adam Humphries,False,28,43
2016.0,2016-11-13,9.0,10.0,23.142,TAM,CHI,W 36-10,False,8,5,46,9.20,0,62.5%,5.75,1,2,2.00,0,1,9,9.00,0,1,5,5.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,65%,0,0%,6,21%,False,Adam Humphries,True,36,10
2016.0,2016-11-20,10.0,11.0,23.149,TAM,KAN,W 19-17,False,7,4,47,11.75,0,57.1%,6.71,0,0,,0,1,9,9.00,0,1,13,13.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,55%,0,0%,4,17%,True,Adam Humphries,True,19,17
2016.0,2016-11-27,11.0,12.0,23.156,TAM,SEA,W 14-5,False,1,1,18,18.00,0,100.0%,18.00,2,3,1.50,0,0,0,,0,3,48,16.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,39,58%,0,0%,7,33%,False,Adam Humphries,True,14,5
2016.0,2016-12-04,12.0,13.0,23.163,TAM,SDG,W 28-21,False,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,22%,0,0%,1,4%,True,Adam Humphries,True,28,21
2016.0,2016-12-11,13.0,14.0,,TAM,NOR,W 16-11,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Adam Humphries,True,16,11
2016.0,2016-12-18,14.0,15.0,23.177,TAM,DAL,L 20-26,False,5,2,49,24.50,1,40.0%,9.80,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,67%,0,0%,2,7%,True,Adam Humphries,False,20,26
2016.0,2016-12-24,15.0,16.0,23.183,TAM,NOR,L 24-31,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,2,24,12.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,52%,0,0%,3,12%,True,Adam Humphries,False,24,31
2016.0,2017-01-01,16.0,17.0,23.191,TAM,CAR,W 17-16,False,13,10,94,9.40,0,76.9%,7.23,0,0,,0,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,59%,0,0%,5,19%,False,Adam Humphries,True,17,16
2017.0,2017-09-17,1.0,2.0,24.085,TAM,CHI,W 29-7,False,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,58%,0,0%,0,0%,False,Adam Humphries,True,29,7
2017.0,2017-09-24,2.0,3.0,24.092,TAM,MIN,L 17-34,False,10,6,68,11.33,0,60.0%,6.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,74%,0,0%,0,0%,True,Adam Humphries,False,17,34
2017.0,2017-10-01,3.0,4.0,24.099,TAM,NYG,W 25-23,False,7,6,70,11.67,0,85.7%,10.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,67%,0,0%,0,0%,False,Adam Humphries,True,25,23
2017.0,2017-10-05,4.0,5.0,24.103,TAM,NWE,L 14-19,False,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,72%,0,0%,0,0%,False,Adam Humphries,False,14,19
2017.0,2017-10-15,5.0,6.0,24.113,TAM,ARI,L 33-38,False,7,6,51,8.50,0,85.7%,7.29,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,69%,0,0%,0,0%,True,Adam Humphries,False,33,38
2017.0,2017-10-22,6.0,7.0,24.12,TAM,BUF,L 27-30,True,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,52,72%,0,0%,0,0%,True,Adam Humphries,False,27,30
