Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,22.190,WAS,,MIA,L 10-17,False,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,10,13%,0,0%,10,50%,False,Matt Jones
2015,2015-09-20,2,2,22.197,WAS,,STL,W 24-10,False,19,123,6.47,2,3,3,23,7.67,0,100.0%,7.67,2,12,1,1,0,0,0,0,31,43%,0,0%,6,20%,False,Matt Jones
2015,2015-09-24,3,3,22.201,WAS,@,NYG,L 21-32,False,11,38,3.45,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,26,34%,0,0%,7,24%,True,Matt Jones
2015,2015-10-04,4,4,22.211,WAS,,PHI,W 23-20,False,7,11,1.57,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,16,19%,0,0%,4,13%,False,Matt Jones
2015,2015-10-11,5,5,22.218,WAS,@,ATL,L 19-25,False,11,20,1.82,1,2,1,17,17.00,0,50.0%,8.50,1,6,0,0,0,0,0,0,20,33%,0,0%,5,21%,True,Matt Jones
2015,2015-10-18,6,6,,WAS,@,NYJ,L 20-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2015,2015-10-25,7,7,22.232,WAS,,TAM,W 31-30,False,9,29,3.22,0,4,3,22,7.33,0,75.0%,5.50,0,0,0,0,0,0,0,0,45,70%,0,0%,4,13%,False,Matt Jones
2015,2015-11-08,8,9,22.246,WAS,@,NWE,L 10-27,False,11,27,2.45,0,3,2,17,8.50,0,66.7%,5.67,0,0,1,1,0,0,0,0,24,41%,0,0%,1,5%,True,Matt Jones
2015,2015-11-15,9,10,22.253,WAS,,NOR,W 47-14,False,11,56,5.09,0,3,3,131,43.67,1,100.0%,43.67,1,6,0,0,0,0,0,0,23,37%,0,0%,0,0%,False,Matt Jones
2015,2015-11-22,10,11,22.260,WAS,@,CAR,L 16-44,False,5,0,0.00,0,2,2,12,6.00,0,100.0%,6.00,0,0,1,1,0,0,0,0,18,38%,0,0%,0,0%,True,Matt Jones
2015,2015-11-29,11,12,22.267,WAS,,NYG,W 20-14,False,8,19,2.38,0,1,1,45,45.00,0,100.0%,45.00,0,0,0,0,0,0,0,0,18,25%,0,0%,7,25%,False,Matt Jones
2015,2015-12-07,12,13,22.275,WAS,,DAL,L 16-19,False,18,49,2.72,0,1,1,5,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,40,62%,0,0%,1,3%,False,Matt Jones
2015,2015-12-13,13,14,22.281,WAS,@,CHI,W 24-21,False,18,62,3.44,0,3,2,24,12.00,0,66.7%,8.00,0,0,1,0,0,1,0,0,44,63%,0,0%,5,19%,True,Matt Jones
2015,2015-12-20,14,15,22.288,WAS,,BUF,W 35-25,False,10,28,2.80,0,3,1,8,8.00,0,33.3%,2.67,0,0,0,0,0,0,0,0,26,46%,0,0%,0,0%,False,Matt Jones
2015,2015-12-26,15,16,,WAS,@,PHI,W 38-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2015,2016-01-03,16,17,,WAS,@,DAL,W 34-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2016-09-12,1,1,23.189,WAS,,PIT,L 16-38,True,7,24,3.43,0,1,1,9,9.00,0,100.0%,9.00,0,0,0,0,0,0,0,0,19,33%,0,0%,0,0%,False,Matt Jones
2016,2016-09-18,2,2,23.195,WAS,,DAL,L 23-27,True,13,61,4.69,1,1,1,4,4.00,0,100.0%,4.00,1,6,0,0,0,0,0,0,39,58%,0,0%,0,0%,False,Matt Jones
2016,2016-09-25,3,3,23.202,WAS,@,NYG,W 29-27,True,17,65,3.82,0,2,2,14,7.00,0,100.0%,7.00,0,0,1,0,0,1,0,0,33,46%,0,0%,0,0%,True,Matt Jones
2016,2016-10-02,4,4,23.209,WAS,,CLE,W 31-20,True,22,117,5.32,1,2,2,21,10.50,0,100.0%,10.50,1,6,0,0,0,0,0,0,41,66%,0,0%,0,0%,False,Matt Jones
2016,2016-10-09,5,5,23.216,WAS,@,BAL,W 16-10,True,14,31,2.21,0,2,2,25,12.50,0,100.0%,12.50,0,0,1,1,0,0,0,0,37,56%,0,0%,0,0%,True,Matt Jones
2016,2016-10-16,6,6,23.223,WAS,,PHI,W 27-20,True,16,135,8.44,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,30,41%,0,0%,0,0%,False,Matt Jones
2016,2016-10-23,7,7,23.230,WAS,@,DET,L 17-20,True,10,27,2.70,0,0,0,0,,0,0.0%,,0,0,1,1,0,1,0,0,22,30%,0,0%,0,0%,True,Matt Jones
2016,2016-10-30,8,8,,WAS,@,CIN,T 27-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2016-11-13,9,10,,WAS,,MIN,W 26-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2016,2016-11-20,10,11,,WAS,,GNB,W 42-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2016,2016-11-24,11,12,,WAS,@,DAL,L 26-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2016-12-04,12,13,,WAS,@,ARI,L 23-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2016-12-11,13,14,,WAS,@,PHI,W 27-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2016-12-19,14,15,,WAS,,CAR,L 15-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2016,2016-12-24,15,16,,WAS,@,CHI,W 41-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2016,2017-01-01,16,17,,WAS,,NYG,L 10-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-09-24,3,3,24.201,IND,,CLE,W 31-28,False,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,5,8%,0,0%,8,24%,False,Matt Jones
2017,2017-10-01,4,4,24.208,IND,@,SEA,L 18-46,False,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,4,7%,0,0%,0,0%,True,Matt Jones
2017,2017-10-08,5,5,,IND,,SFO,W 26-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-10-16,6,6,,IND,@,TEN,L 22-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2017,2017-10-22,7,7,,IND,,JAX,L 0-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-10-29,8,8,24.236,IND,@,CIN,L 23-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0%,0,0%,9,31%,True,Matt Jones
2017,2017-11-05,9,9,,IND,@,HOU,W 20-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2017,2017-11-12,10,10,,IND,,PIT,L 17-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-11-26,11,12,,IND,,TEN,L 16-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-12-10,13,14,,IND,@,BUF,L 7-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Jones
2017,2017-12-14,14,15,,IND,,DEN,L 13-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Jones
2017,2017-12-23,15,16,24.291,IND,@,BAL,L 16-23,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0%,0,0%,13,48%,True,Matt Jones
2017,2017-12-31,16,17,24.299,IND,,HOU,W 22-13,False,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0%,0,0%,10,38%,False,Matt Jones
,25 Games,,,,,,,13-12-0,False,248,964,3.89,6,33,27,377,13.96,1,81.8%,11.42,7,42,8,6,0,3,0,0,,,,,,,False,Matt Jones
