Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2005.0,2005-10-09,4.0,5.0,22.307,CHI,CLE,L 10-20,False,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,False,10,20
2005.0,2005-10-16,5.0,6.0,22.314,CHI,MIN,W 28-3,False,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4,0.0,0,0,0,0,,0,0,,,,,,,,,False,Robbie Gould,True,28,3
2005.0,2005-10-23,6.0,7.0,22.321,CHI,BAL,W 10-6,False,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,10,6
2005.0,2005-10-30,7.0,8.0,22.328,CHI,DET,W 19-13,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Robbie Gould,True,19,13
2005.0,2005-11-06,8.0,9.0,22.335,CHI,NOR,W 20-17,False,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,True,20,17
2005.0,2005-11-13,9.0,10.0,22.342,CHI,SFO,W 17-9,False,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,17,9
2005.0,2005-11-20,10.0,11.0,22.349,CHI,CAR,W 13-3,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,13,3
2005.0,2005-11-27,11.0,12.0,22.356,CHI,TAM,W 13-10,False,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,True,13,10
2005.0,2005-12-04,12.0,13.0,22.363,CHI,GNB,W 19-7,False,0,0,,0,0,0,,,,,,1,1,100.0,4,5,80.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,19,7
2005.0,2005-12-11,13.0,14.0,23.005,CHI,PIT,L 9-21,False,0,0,,0,0,0,,,,,,,1,0.0,1,1,100.0,0,3,0.0,1,0,1,0,,1,28,28.00,0,,,,,,,True,Robbie Gould,False,9,21
2005.0,2005-12-18,14.0,15.0,23.012,CHI,ATL,W 16-3,False,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,16,3
2005.0,2005-12-25,15.0,16.0,23.019,CHI,GNB,W 24-17,False,0,0,,0,0,0,,,,,,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,True,24,17
2005.0,2006-01-01,16.0,17.0,23.026,CHI,MIN,L 10-34,False,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,False,10,34
2006.0,2006-09-10,1.0,1.0,23.278,CHI,GNB,W 26-0,False,0,0,,0,0,0,,,,,,2,2,100.0,4,4,100.0,0,14,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,True,26,0
2006.0,2006-09-17,2.0,2.0,23.285,CHI,DET,W 34-7,False,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,34,7
2006.0,2006-09-24,3.0,3.0,23.292,CHI,MIN,W 19-16,False,0,0,,0,0,0,,,,,,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,True,Robbie Gould,True,19,16
2006.0,2006-10-01,4.0,4.0,23.299,CHI,SEA,W 37-6,False,0,0,,0,0,0,,,,,,4,4,100.0,3,3,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,False,Robbie Gould,True,37,6
2006.0,2006-10-08,5.0,5.0,23.306,CHI,BUF,W 40-7,False,0,0,,0,0,0,,,,,,4,4,100.0,4,4,100.0,0,16,0.0,1,0,1,0,0,0,0,,0,,,,,,,False,Robbie Gould,True,40,7
