Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2017,2017-10-22,7,7,,LAC,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,21,0,Branden Oliver
2017,2017-10-29,8,8,26.175,LAC,NWE,False,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,5,9%,0,0%,2,7%,True,False,13,21,Branden Oliver
2017,2017-11-12,9,10,,LAC,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,20,Branden Oliver
2017,2017-11-19,10,11,,LAC,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,54,24,Branden Oliver
2017,2017-11-23,11,12,,LAC,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,6,Branden Oliver
2017,2017-12-03,12,13,,LAC,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,10,Branden Oliver
2017,2017-12-10,13,14,,LAC,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,13,Branden Oliver
2017,2017-12-16,14,15,26.223,LAC,KAN,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,2,3%,0,0%,10,40%,True,False,13,30,Branden Oliver
2017,2017-12-24,15,16,26.231,LAC,NYJ,False,8,9,1.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,20,27%,0,0%,9,32%,True,True,14,7,Branden Oliver
2017,2017-12-31,16,17,26.238,LAC,OAK,False,7,13,1.86,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,16,23%,0,0%,0,0%,False,True,30,10,Branden Oliver
,30 Games,,,,,,False,226,773,3.42,3,71,55,409,7.44,1,77.5%,5.76,9,219,24.33,0,4,24,0.0,2,0,2,0,0,,,,,,,False,False,18,0,Branden Oliver
