Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,,GNB,PHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,16,13,Ryan Grant
2007,2007-09-16,2,2,24.281,GNB,NYG,False,0,0,,0,1,1,21,21.00,0,100.0%,21.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,35,13,Ryan Grant
2007,2007-09-23,3,3,24.288,GNB,SDG,False,3,10,3.33,0,1,1,-3,-3.00,0,100.0%,-3.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,24,Ryan Grant
2007,2007-09-30,4,4,24.295,GNB,MIN,False,3,17,5.67,0,3,2,1,0.50,0,66.7%,0.33,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,23,16,Ryan Grant
2007,2007-10-07,5,5,24.302,GNB,CHI,False,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,False,20,27,Ryan Grant
2007,2007-10-14,6,6,24.309,GNB,WAS,False,0,0,,0,,0,0,,0,0.0%,,0,0,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,True,17,14,Ryan Grant
2007,2007-10-29,7,8,24.324,GNB,DEN,False,22,104,4.73,0,3,3,7,2.33,0,100.0%,2.33,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,19,13,Ryan Grant
2007,2007-11-04,8,9,24.330,GNB,KAN,True,19,55,2.89,0,5,4,37,9.25,0,80.0%,7.40,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,33,22,Ryan Grant
2007,2007-11-11,9,10,24.337,GNB,MIN,True,25,119,4.76,1,5,5,20,4.00,0,100.0%,4.00,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,0,Ryan Grant
2007,2007-11-18,10,11,24.344,GNB,CAR,True,20,88,4.40,0,2,1,2,2.00,0,50.0%,1.00,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,17,Ryan Grant
2007,2007-11-22,11,12,24.348,GNB,DET,True,15,101,6.73,1,7,6,31,5.17,0,85.7%,4.43,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,37,26,Ryan Grant
