Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-11-24,11,12,22.252,MIN,@,GNB,T 26-26,False,0,0,,0,11,8,54,6.75,0,72.7%,4.91,0,0,,0,0,0,,0,0,,,4,126,31.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,52%,0,0%,6,16%,True,Cordarrelle Patterson
2013,2013-12-01,12,13,22.259,MIN,,CHI,W 23-20,True,2,27,13.50,1,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,49,56%,0,0%,6,16%,False,Cordarrelle Patterson
2013,2013-12-08,13,14,22.266,MIN,@,BAL,L 26-29,True,1,6,6.00,0,7,5,141,28.20,1,71.4%,20.14,0,0,,0,0,0,,0,0,,,4,111,27.75,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,76%,0,0%,5,15%,True,Cordarrelle Patterson
2013,2013-12-15,14,15,22.273,MIN,,PHI,W 48-30,True,2,15,7.50,0,6,5,35,7.00,1,83.3%,5.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,56%,0,0%,7,20%,False,Cordarrelle Patterson
2013,2013-12-22,15,16,22.280,MIN,@,CIN,L 14-42,True,3,54,18.00,1,7,3,8,2.67,0,42.9%,1.14,0,0,,0,0,0,,0,0,,,4,143,35.75,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,65%,0,0%,7,26%,True,Cordarrelle Patterson
2013,2013-12-29,16,17,22.287,MIN,,DET,W 14-13,True,2,54,27.00,1,5,2,31,15.50,1,40.0%,6.20,0,0,,0,0,0,,0,0,,,3,51,17.00,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,32,55%,0,0%,4,15%,False,Cordarrelle Patterson
2014,2014-09-07,1,1,23.174,MIN,@,STL,W 34-6,True,3,102,34.00,1,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,0,0,,,2,48,24.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,76%,0,0%,2,6%,True,Cordarrelle Patterson
2014,2014-09-14,2,2,23.181,MIN,,NWE,L 7-30,True,0,0,,0,7,4,56,14.00,0,57.1%,8.00,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,91%,0,0%,8,29%,False,Cordarrelle Patterson
2014,2014-09-21,3,3,23.188,MIN,@,NOR,L 9-20,False,1,-7,-7.00,0,5,4,61,15.25,0,80.0%,12.20,0,0,,0,0,0,,0,0,,,4,120,30.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,89%,0,0%,4,18%,True,Cordarrelle Patterson
2014,2014-09-28,4,4,23.195,MIN,,ATL,W 41-28,True,0,0,,0,4,2,38,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,,,2,86,43.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,88%,0,0%,5,15%,False,Cordarrelle Patterson
2014,2014-10-02,5,5,23.199,MIN,@,GNB,L 10-42,True,0,0,,0,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,,,3,59,19.67,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,52%,0,0%,5,16%,True,Cordarrelle Patterson
2014,2014-10-12,6,6,23.209,MIN,,DET,L 3-17,True,1,2,2.00,0,8,2,15,7.50,0,25.0%,1.88,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,76%,0,0%,4,15%,False,Cordarrelle Patterson
2014,2014-10-19,7,7,23.216,MIN,@,BUF,L 16-17,False,1,3,3.00,0,4,2,9,4.50,1,50.0%,2.25,0,0,,0,0,0,,0,0,,,3,40,13.33,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,79%,0,0%,4,15%,True,Cordarrelle Patterson
2014,2014-10-26,8,8,23.223,MIN,@,TAM,W 19-13,True,1,10,10.00,0,12,6,86,14.33,0,50.0%,7.17,0,0,,0,0,0,,0,0,,,3,79,26.33,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,4,14%,True,Cordarrelle Patterson
2014,2014-11-02,9,9,23.230,MIN,,WAS,W 29-26,True,0,0,,0,7,1,9,9.00,0,14.3%,1.29,0,0,,0,0,0,,0,0,,,3,70,23.33,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,74%,0,0%,6,21%,False,Cordarrelle Patterson
2014,2014-11-16,10,11,23.244,MIN,@,CHI,L 13-21,False,1,3,3.00,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,74%,0,0%,4,17%,True,Cordarrelle Patterson
2014,2014-11-23,11,12,23.251,MIN,,GNB,L 21-24,False,0,0,,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,2,75,37.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,47%,0,0%,4,16%,False,Cordarrelle Patterson
2014,2014-11-30,12,13,23.258,MIN,,CAR,W 31-13,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,1,28,28.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,6%,0,0%,4,13%,False,Cordarrelle Patterson
2014,2014-12-07,13,14,23.265,MIN,,NYJ,W 30-24,False,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,86,21.50,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,1,2%,0,0%,7,21%,False,Cordarrelle Patterson
2014,2014-12-14,14,15,23.272,MIN,@,DET,L 14-16,False,0,0,,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,,,2,74,37.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,4,17%,True,Cordarrelle Patterson
2014,2014-12-21,15,16,23.279,MIN,@,MIA,L 35-37,False,1,-2,-2.00,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,,,2,47,23.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,15%,0,0%,6,19%,True,Cordarrelle Patterson
2014,2014-12-28,16,17,23.286,MIN,,CHI,W 13-9,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,10%,0,0%,4,18%,False,Cordarrelle Patterson
2015,2015-09-14,1,1,24.181,MIN,@,SFO,L 3-20,False,0,0,,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,5,23%,True,Cordarrelle Patterson
2015,2015-09-20,2,2,24.187,MIN,,DET,W 26-16,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,62,31.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,3,12%,False,Cordarrelle Patterson
2015,2015-09-27,3,3,24.194,MIN,,SDG,W 31-14,False,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,53,26.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,2,7%,False,Cordarrelle Patterson
2015,2015-10-04,4,4,24.201,MIN,@,DEN,L 20-23,True,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,2,34,17.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,23%,0,0%,7,24%,True,Cordarrelle Patterson
2015,2015-10-18,5,6,24.215,MIN,,KAN,W 16-10,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,2,51,25.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,10%,0,0%,3,12%,False,Cordarrelle Patterson
2015,2015-10-25,6,7,24.222,MIN,@,DET,W 28-19,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,107,26.75,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,5%,0,0%,4,13%,True,Cordarrelle Patterson
