Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.189,DAL,CAR,L 8-16,False,1,1,9,9.00,0,100.0%,9.00,,0,0,29,45%,0,0%,0,0%,True,Michael Gallup,False,8,16
2018.0,2018-09-16,2.0,2.0,22.196,DAL,NYG,W 20-13,False,2,1,5,5.00,0,50.0%,2.50,,0,0,25,47%,0,0%,0,0%,False,Michael Gallup,True,20,13
2018.0,2018-09-23,3.0,3.0,22.203,DAL,SEA,L 13-24,False,4,1,17,17.00,0,25.0%,4.25,,0,0,25,42%,0,0%,0,0%,True,Michael Gallup,False,13,24
2018.0,2018-09-30,4.0,4.0,22.21,DAL,DET,W 26-24,False,5,2,45,22.50,0,40.0%,9.00,,0,0,40,58%,0,0%,0,0%,False,Michael Gallup,True,26,24
2018.0,2018-10-07,5.0,5.0,22.217,DAL,HOU,L 16-19,False,3,1,6,6.00,0,33.3%,2.00,,0,0,24,39%,0,0%,0,0%,True,Michael Gallup,False,16,19
2018.0,2018-10-14,6.0,6.0,22.224,DAL,JAX,W 40-7,True,2,1,27,27.00,0,50.0%,13.50,,0,0,59,81%,0,0%,0,0%,False,Michael Gallup,True,40,7
2018.0,2018-10-21,7.0,7.0,22.231,DAL,WAS,L 17-20,True,5,3,81,27.00,1,60.0%,16.20,,1,6,56,85%,0,0%,0,0%,True,Michael Gallup,False,17,20
2018.0,2018-11-05,8.0,9.0,22.246,DAL,TEN,L 14-28,True,6,3,51,17.00,0,50.0%,8.50,,0,0,47,80%,0,0%,0,0%,False,Michael Gallup,False,14,28
2018.0,2018-11-11,9.0,10.0,22.252,DAL,PHI,W 27-20,True,3,2,34,17.00,0,66.7%,11.33,,0,0,58,84%,0,0%,0,0%,True,Michael Gallup,True,27,20
2018.0,2018-11-18,10.0,11.0,22.259,DAL,ATL,W 22-19,True,5,1,10,10.00,0,20.0%,2.00,,0,0,52,81%,0,0%,0,0%,True,Michael Gallup,True,22,19
2018.0,2018-11-22,11.0,12.0,22.263,DAL,WAS,W 31-23,False,6,2,19,9.50,0,33.3%,3.17,,0,0,36,51%,0,0%,0,0%,False,Michael Gallup,True,31,23
2018.0,2018-11-29,12.0,13.0,22.27,DAL,NOR,W 13-10,True,7,5,76,15.20,0,71.4%,10.86,,0,0,52,73%,0,0%,0,0%,False,Michael Gallup,True,13,10
2018.0,2018-12-09,13.0,14.0,22.28,DAL,PHI,W 29-23,True,9,4,24,6.00,0,44.4%,2.67,,0,0,77,78%,0,0%,0,0%,False,Michael Gallup,True,29,23
2018.0,2018-12-16,14.0,15.0,22.287,DAL,IND,L 0-23,True,0,0,0,,0,0.0%,,,0,0,55,80%,0,0%,0,0%,True,Michael Gallup,False,0,23
2018.0,2018-12-23,15.0,16.0,22.294,DAL,TAM,W 27-20,False,4,3,53,17.67,1,75.0%,13.25,,1,6,41,79%,0,0%,0,0%,False,Michael Gallup,True,27,20
2018.0,2018-12-30,16.0,17.0,22.301,DAL,NYG,W 36-35,False,6,3,50,16.67,0,50.0%,8.33,1,0,2,63,82%,0,0%,0,0%,True,Michael Gallup,True,36,35
2019.0,2019-09-08,1.0,1.0,23.188,DAL,NYG,W 35-17,True,7,7,158,22.57,0,100.0%,22.57,,0,0,53,78%,0,0%,0,0%,False,Michael Gallup,True,35,17
2019.0,2019-09-15,2.0,2.0,23.195,DAL,WAS,W 31-21,True,8,6,68,11.33,0,75.0%,8.50,,0,0,46,67%,0,0%,0,0%,True,Michael Gallup,True,31,21
2019.0,2019-09-22,3.0,3.0,,DAL,MIA,W 31-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Michael Gallup,True,31,6
2019.0,2019-09-29,4.0,4.0,,DAL,NOR,L 10-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Gallup,False,10,12
2019.0,2019-10-06,5.0,5.0,23.216,DAL,GNB,L 24-34,False,14,7,113,16.14,1,50.0%,8.07,,1,6,61,86%,0,0%,0,0%,False,Michael Gallup,False,24,34
2019.0,2019-10-13,6.0,6.0,23.223,DAL,NYJ,L 22-24,True,7,4,48,12.00,0,57.1%,6.86,,0,0,79,96%,0,0%,0,0%,True,Michael Gallup,False,22,24
2019.0,2019-10-20,7.0,7.0,23.23,DAL,PHI,W 37-10,True,4,3,34,11.33,0,75.0%,8.50,,0,0,59,86%,0,0%,0,0%,False,Michael Gallup,True,37,10
2019.0,2019-11-04,8.0,9.0,23.245,DAL,NYG,W 37-18,True,6,2,33,16.50,1,33.3%,5.50,,1,6,63,91%,0,0%,0,0%,True,Michael Gallup,True,37,18
2019.0,2019-11-10,9.0,10.0,23.251,DAL,MIN,L 24-28,True,10,4,76,19.00,1,40.0%,7.60,,1,6,62,87%,0,0%,0,0%,False,Michael Gallup,False,24,28
