Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,21.174,NYG,DAL,False,0,0,,0,0,0,0,,0,0.0%,,7,193,27.57,0,0,0,,0,,0,0,0.0,2,0,2,0,0,1,0,0,1,0,0,,,,,,,True,False,35,45,Ahmad Bradshaw
2007,2007-09-16,2,2,21.181,NYG,GNB,False,0,0,,0,1,1,11,11.00,0,100.0%,11.00,2,41,20.50,0,0,0,,0,,0,0,0.0,3,0,3,0,0,1,1,0,0,0,0,,,,,,,False,False,13,35,Ahmad Bradshaw
2007,2007-09-23,3,3,21.188,NYG,WAS,False,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,17,Ahmad Bradshaw
2007,2007-09-30,4,4,21.195,NYG,PHI,False,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,16,3,Ahmad Bradshaw
2007,2007-10-07,5,5,,NYG,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,24,Ahmad Bradshaw
2007,2007-10-15,6,6,,NYG,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,31,10,Ahmad Bradshaw
2007,2007-10-21,7,7,,NYG,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,15,Ahmad Bradshaw
2007,2007-10-28,8,8,21.223,NYG,MIA,False,0,0,,0,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,13,10,Ahmad Bradshaw
2007,2007-11-11,9,10,21.237,NYG,DAL,False,0,0,,0,0,0,0,,0,0.0%,,4,49,12.25,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,20,31,Ahmad Bradshaw
2007,2007-11-18,10,11,21.244,NYG,DET,False,0,0,,0,1,0,0,,0,0.0%,0.00,2,97,48.50,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,16,10,Ahmad Bradshaw
2007,2007-11-25,11,12,21.251,NYG,MIN,False,4,29,7.25,0,1,0,0,,0,0.0%,0.00,8,176,22.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,17,41,Ahmad Bradshaw
2007,2007-12-02,12,13,21.258,NYG,CHI,False,1,2,2.00,0,1,0,0,,0,0.0%,0.00,3,55,18.33,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,21,16,Ahmad Bradshaw
2007,2007-12-09,13,14,21.265,NYG,PHI,False,0,0,,0,0,0,0,,0,0.0%,,3,74,24.67,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,16,13,Ahmad Bradshaw
2007,2007-12-16,14,15,21.272,NYG,WAS,False,1,8,8.00,0,1,1,1,1.00,0,100.0%,1.00,4,102,25.50,0,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,10,22,Ahmad Bradshaw
2007,2007-12-23,15,16,21.279,NYG,BUF,False,17,151,8.88,1,0,0,0,,0,0.0%,,4,99,24.75,0,1,1,1.00,0,,1,6,0.0,1,0,1,0,0,0,,1,0,0,0,,,,,,,True,True,38,21,Ahmad Bradshaw
