Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-10-25,7.0,7.0,25.114,WAS,TAM,W 31-30,False,13,11,72,6.55,2,84.6%,5.54,0,0,,0,2,12,0,0,0,0,0,0,38,59%,0,0%,0,0%,False,Jordan Reed,True,31,30
2015.0,2015-11-08,8.0,9.0,25.128,WAS,NWE,L 10-27,False,7,3,18,6.00,1,42.9%,2.57,0,0,,0,1,6,0,0,0,0,0,0,43,74%,0,0%,0,0%,True,Jordan Reed,False,10,27
2015.0,2015-11-15,9.0,10.0,25.135,WAS,NOR,W 47-14,True,4,3,29,9.67,2,75.0%,7.25,0,0,,0,2,12,0,0,0,0,0,0,48,77%,0,0%,0,0%,False,Jordan Reed,True,47,14
2015.0,2015-11-22,10.0,11.0,25.142,WAS,CAR,L 16-44,False,8,6,46,7.67,0,75.0%,5.75,0,0,,0,0,0,1,1,0,0,0,0,28,58%,0,0%,0,0%,True,Jordan Reed,False,16,44
2015.0,2015-11-29,11.0,12.0,25.149,WAS,NYG,W 20-14,True,9,8,98,12.25,0,88.9%,10.89,0,0,,0,0,0,0,0,0,0,0,0,64,90%,0,0%,1,4%,False,Jordan Reed,True,20,14
2015.0,2015-12-07,12.0,13.0,25.157,WAS,DAL,L 16-19,True,8,3,33,11.00,0,37.5%,4.13,0,0,,0,0,0,0,0,0,0,0,0,62,95%,0,0%,1,3%,False,Jordan Reed,False,16,19
2015.0,2015-12-13,13.0,14.0,25.163,WAS,CHI,W 24-21,False,9,9,120,13.33,1,100.0%,13.33,0,0,,0,1,6,0,0,0,0,0,0,59,84%,0,0%,0,0%,True,Jordan Reed,True,24,21
2015.0,2015-12-20,14.0,15.0,25.17,WAS,BUF,W 35-25,True,7,7,84,12.00,2,100.0%,12.00,0,0,,0,2,12,0,0,0,0,0,0,50,88%,0,0%,1,4%,False,Jordan Reed,True,35,25
2015.0,2015-12-26,15.0,16.0,25.176,WAS,PHI,W 38-24,True,11,9,129,14.33,2,81.8%,11.73,0,0,,0,2,12,0,0,0,0,0,0,67,88%,0,0%,1,3%,True,Jordan Reed,True,38,24
2015.0,2016-01-03,16.0,17.0,25.184,WAS,DAL,W 34-23,True,4,4,45,11.25,0,100.0%,11.25,0,0,,0,0,0,1,0,0,0,0,0,13,20%,0,0%,0,0%,True,Jordan Reed,True,34,23
2016.0,2016-09-12,1.0,1.0,26.071,WAS,PIT,L 16-38,True,11,7,64,9.14,0,63.6%,5.82,0,0,,0,0,0,0,0,0,0,0,0,50,86%,0,0%,0,0%,False,Jordan Reed,False,16,38
2016.0,2016-09-18,2.0,2.0,26.077,WAS,DAL,L 23-27,True,7,5,70,14.00,0,71.4%,10.00,0,0,,0,0,0,0,0,0,0,0,0,58,87%,0,0%,0,0%,False,Jordan Reed,False,23,27
2016.0,2016-09-25,3.0,3.0,26.084,WAS,NYG,W 29-27,False,7,4,56,14.00,0,57.1%,8.00,0,0,,0,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,True,Jordan Reed,True,29,27
