Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-10-03,4,4,24.040,HOU,OAK,False,17,133,7.82,1,4,3,56,18.67,1,75.0%,14.00,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,24,Arian Foster
2010,2010-10-10,5,5,24.047,HOU,NYG,True,11,25,2.27,0,4,2,2,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,34,Arian Foster
2010,2010-10-17,6,6,24.054,HOU,KAN,True,18,71,3.94,2,6,6,26,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,35,31,Arian Foster
2010,2010-11-01,7,8,24.069,HOU,IND,True,15,102,6.80,1,9,9,65,7.22,0,100.0%,7.22,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,0,0,0,,0,1,1,0,,,,,,,True,False,17,30,Arian Foster
2010,2010-11-07,8,9,24.075,HOU,SDG,True,27,127,4.70,2,6,4,70,17.50,0,66.7%,11.67,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,23,29,Arian Foster
2010,2010-11-14,9,10,24.082,HOU,JAX,True,15,56,3.73,1,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,31,Arian Foster
2010,2010-11-21,10,11,24.089,HOU,NYJ,False,22,84,3.82,2,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,27,30,Arian Foster
2010,2010-11-28,11,12,24.096,HOU,TEN,True,30,143,4.77,0,11,9,75,8.33,0,81.8%,6.82,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,0,Arian Foster
2010,2010-12-02,12,13,24.100,HOU,PHI,True,22,83,3.77,1,4,2,26,13.00,1,50.0%,6.50,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,24,34,Arian Foster
2010,2010-12-13,13,14,24.111,HOU,BAL,True,20,100,5.00,0,7,4,25,6.25,0,57.1%,3.57,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,False,28,34,Arian Foster
2010,2010-12-19,14,15,24.117,HOU,TEN,False,11,15,1.36,0,7,6,46,7.67,0,85.7%,6.57,0,0,,0,0,0,,,,,,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,31,Arian Foster
2010,2010-12-26,15,16,24.124,HOU,DEN,True,19,91,4.79,1,5,4,44,11.00,0,80.0%,8.80,0,0,,0,0,0,,,,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,23,24,Arian Foster
2010,2011-01-02,16,17,24.131,HOU,JAX,True,31,180,5.81,2,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,17,Arian Foster
2011,2011-09-11,1,1,,HOU,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,7,Arian Foster
2011,2011-09-18,2,2,25.025,HOU,MIA,True,10,33,3.30,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,13,Arian Foster
2011,2011-09-25,3,3,,HOU,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,33,40,Arian Foster
2011,2011-10-02,4,4,25.039,HOU,PIT,True,30,155,5.17,1,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,10,Arian Foster
2011,2011-10-09,5,5,25.046,HOU,OAK,True,22,68,3.09,0,7,5,116,23.20,0,71.4%,16.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,25,Arian Foster
2011,2011-10-16,6,6,25.053,HOU,BAL,True,15,49,3.27,0,11,6,52,8.67,0,54.5%,4.73,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,29,Arian Foster
2011,2011-10-23,7,7,25.060,HOU,TEN,True,25,115,4.60,2,5,5,119,23.80,1,100.0%,23.80,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,7,Arian Foster
2011,2011-10-30,8,8,25.067,HOU,JAX,True,33,112,3.39,1,4,1,12,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,14,Arian Foster
2011,2011-11-06,9,9,25.074,HOU,CLE,True,19,124,6.53,1,7,5,26,5.20,0,71.4%,3.71,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,12,Arian Foster
2011,2011-11-13,10,10,25.081,HOU,TAM,True,17,84,4.94,1,4,4,102,25.50,1,100.0%,25.50,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,37,9,Arian Foster
2011,2011-11-27,11,12,25.095,HOU,JAX,True,22,65,2.95,1,9,7,24,3.43,0,77.8%,2.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,2,1,0,1,0,0,,,,,,,True,True,20,13,Arian Foster
2011,2011-12-04,12,13,25.102,HOU,ATL,True,31,111,3.58,1,4,3,41,13.67,0,75.0%,10.25,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,17,10,Arian Foster
2011,2011-12-11,13,14,25.109,HOU,CIN,True,15,41,2.73,0,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,True,20,19,Arian Foster
2011,2011-12-18,14,15,25.116,HOU,CAR,True,16,109,6.81,1,6,5,58,11.60,0,83.3%,9.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,False,False,13,28,Arian Foster
2011,2011-12-22,15,16,25.120,HOU,IND,True,23,158,6.87,1,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,False,16,19,Arian Foster
2011,2012-01-01,16,17,,HOU,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,22,23,Arian Foster
2012,2012-09-09,1,1,26.016,HOU,MIA,True,26,79,3.04,2,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,49,71%,0,0%,0,0%,False,True,30,10,Arian Foster
2012,2012-09-16,2,2,26.023,HOU,JAX,True,28,110,3.93,1,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,65%,0,0%,0,0%,True,True,27,7,Arian Foster
2012,2012-09-23,3,3,26.030,HOU,DEN,True,25,105,4.20,0,1,1,3,3.00,1,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,True,31,25,Arian Foster
2012,2012-09-30,4,4,26.037,HOU,TEN,True,24,86,3.58,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,77%,0,0%,0,0%,False,True,38,14,Arian Foster
2012,2012-10-08,5,5,26.045,HOU,NYJ,True,29,152,5.24,1,4,1,16,16.00,0,25.0%,4.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,54,83%,0,0%,0,0%,True,True,23,17,Arian Foster
2012,2012-10-14,6,6,26.051,HOU,GNB,True,17,29,1.71,2,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,63%,0,0%,0,0%,False,False,24,42,Arian Foster
2012,2012-10-21,7,7,26.058,HOU,BAL,True,19,98,5.16,2,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,56,70%,0,0%,0,0%,False,True,43,13,Arian Foster
2012,2012-11-04,8,9,26.072,HOU,BUF,True,24,111,4.63,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,72%,0,0%,0,0%,False,True,21,9,Arian Foster
2012,2012-11-11,9,10,26.079,HOU,CHI,True,29,102,3.52,0,5,5,15,3.00,1,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,True,13,6,Arian Foster
2012,2012-11-18,10,11,26.086,HOU,JAX,True,28,90,3.21,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,65,69%,0,0%,0,0%,False,True,43,37,Arian Foster
2012,2012-11-22,11,12,26.090,HOU,DET,True,20,102,5.10,2,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,64,81%,0,0%,0,0%,True,True,34,31,Arian Foster
2012,2012-12-02,12,13,26.100,HOU,TEN,True,14,38,2.71,1,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,46,63%,0,0%,0,0%,True,True,24,10,Arian Foster
2012,2012-12-10,13,14,26.108,HOU,NWE,True,15,46,3.07,1,6,4,39,9.75,0,66.7%,6.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,61%,0,0%,0,0%,True,False,14,42,Arian Foster
2012,2012-12-16,14,15,26.114,HOU,IND,True,27,165,6.11,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,88%,0,0%,0,0%,False,True,29,17,Arian Foster
2012,2012-12-23,15,16,26.121,HOU,MIN,True,10,15,1.50,0,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,31,55%,0,0%,0,0%,False,False,6,23,Arian Foster
2012,2012-12-30,16,17,26.128,HOU,IND,True,16,96,6.00,1,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,97%,0,0%,0,0%,True,False,16,28,Arian Foster
2013,2013-09-09,1,1,27.016,HOU,SDG,True,18,57,3.17,0,8,6,33,5.50,0,75.0%,4.13,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,68%,0,0%,0,0%,True,True,31,28,Arian Foster
2013,2013-09-15,2,2,27.022,HOU,TEN,True,19,79,4.16,1,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,,,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,60,73%,0,0%,0,0%,False,True,30,24,Arian Foster
2013,2013-09-22,3,3,27.029,HOU,BAL,True,12,54,4.50,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,58%,0,0%,0,0%,True,False,9,30,Arian Foster
2013,2013-09-29,4,4,27.036,HOU,SEA,True,27,102,3.78,0,8,6,69,11.50,1,75.0%,8.63,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,65,71%,0,0%,0,0%,False,False,20,23,Arian Foster
2013,2013-10-06,5,5,27.043,HOU,SFO,True,21,98,4.67,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,63%,0,0%,0,0%,True,False,3,34,Arian Foster
2013,2013-10-13,6,6,27.050,HOU,STL,True,20,141,7.05,0,7,4,57,14.25,0,57.1%,8.14,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,74%,0,0%,0,0%,False,False,13,38,Arian Foster
2013,2013-10-20,7,7,27.057,HOU,KAN,True,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,12%,0,0%,0,0%,True,False,16,17,Arian Foster
2013,2013-11-03,8,9,27.071,HOU,IND,True,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,0,0%,False,False,24,27,Arian Foster
2013,2013-11-10,9,10,,HOU,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,27,Arian Foster
2013,2013-11-17,10,11,,HOU,OAK,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,28,Arian Foster
2013,2013-11-24,11,12,,HOU,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,6,13,Arian Foster
