Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-12-04,12.0,13.0,22.207,CAR,TAM,W 38-19,True,12,21,57.14,204,1,0,106.1,2,9,9.71,10.67,14,54,3.86,3,1,1,27,27.00,0,100.0%,27.00,,3,18,0,,0,0,0,0,,,,,,,True,Cam Newton,True,38,19
2011.0,2011-12-11,13.0,14.0,22.214,CAR,ATL,L 23-31,True,19,39,48.72,276,2,2,67.9,2,17,7.08,5.79,7,36,5.14,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,Cam Newton,False,23,31
2011.0,2011-12-18,14.0,15.0,22.221,CAR,HOU,W 28-13,True,13,23,56.52,149,2,0,105.2,2,10,6.48,8.22,7,55,7.86,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,Cam Newton,True,28,13
2011.0,2011-12-24,15.0,16.0,22.227,CAR,TAM,W 48-16,True,12,17,70.59,171,3,0,142.4,1,8,10.06,13.59,6,65,10.83,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,False,Cam Newton,True,48,16
2011.0,2012-01-01,16.0,17.0,22.235,CAR,NOR,L 17-45,True,15,25,60.00,158,1,1,75.1,2,21,6.32,5.32,6,32,5.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,Cam Newton,False,17,45
2012.0,2012-09-09,1.0,1.0,23.121,CAR,TAM,L 10-16,True,23,33,69.70,303,1,2,83.3,3,12,9.18,7.06,5,4,0.80,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,50,100%,0,0%,0,0%,True,Cam Newton,False,10,16
2012.0,2012-09-16,2.0,2.0,23.128,CAR,NOR,W 35-27,True,14,20,70.00,253,1,0,129.2,1,9,12.65,13.65,13,71,5.46,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,-4,0,63,100%,0,0%,0,0%,False,Cam Newton,True,35,27
2012.0,2012-09-20,3.0,3.0,23.132,CAR,NYG,L 7-36,True,16,30,53.33,242,0,3,40.6,2,21,8.07,3.57,6,6,1.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,54,93%,0,0%,0,0%,False,Cam Newton,False,7,36
2012.0,2012-09-30,4.0,4.0,23.142,CAR,ATL,L 28-30,True,15,24,62.50,215,2,0,119.3,3,10,8.96,10.63,9,86,9.56,1,0,0,0,,0,0.0%,,,1,6,2,0,0,0,0,0,64,100%,0,0%,0,0%,True,Cam Newton,False,28,30
2012.0,2012-10-07,5.0,5.0,23.149,CAR,SEA,L 12-16,True,12,29,41.38,141,0,0,56.8,4,33,4.86,4.86,7,42,6.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,False,Cam Newton,False,12,16
2012.0,2012-10-21,6.0,7.0,23.163,CAR,DAL,L 14-19,True,21,37,56.76,233,1,1,73.4,2,17,6.30,5.62,6,64,10.67,0,1,0,6,,0,0.0%,6.00,,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,False,Cam Newton,False,14,19
2012.0,2012-10-28,7.0,8.0,23.17,CAR,CHI,L 22-23,True,20,39,51.28,314,0,2,57.0,2,17,8.05,5.74,5,37,7.40,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,82,100%,0,0%,0,0%,True,Cam Newton,False,22,23
2012.0,2012-11-04,8.0,9.0,23.177,CAR,WAS,W 21-13,True,13,23,56.52,201,1,0,100.1,0,0,8.74,9.61,8,37,4.63,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Cam Newton,True,21,13
2012.0,2012-11-11,9.0,10.0,23.184,CAR,DEN,L 14-36,True,21,36,58.33,241,2,2,74.0,7,43,6.69,5.31,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,70,100%,0,0%,0,0%,False,Cam Newton,False,14,36
2012.0,2012-11-18,10.0,11.0,23.191,CAR,TAM,L 21-27,True,16,29,55.17,252,1,0,95.8,2,18,8.69,9.38,11,40,3.64,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Cam Newton,False,21,27
2012.0,2012-11-26,11.0,12.0,23.199,CAR,PHI,W 30-22,True,18,28,64.29,306,2,0,125.0,2,17,10.93,12.36,14,52,3.71,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Cam Newton,True,30,22
2012.0,2012-12-02,12.0,13.0,23.205,CAR,KAN,L 21-27,True,15,27,55.56,232,3,0,121.2,2,12,8.59,10.81,7,78,11.14,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,True,Cam Newton,False,21,27
2012.0,2012-12-09,13.0,14.0,23.212,CAR,ATL,W 30-20,True,23,35,65.71,287,2,0,110.1,1,7,8.20,9.34,9,116,12.89,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,False,Cam Newton,True,30,20
2012.0,2012-12-16,14.0,15.0,23.219,CAR,SDG,W 31-7,True,19,33,57.58,231,2,0,99.4,2,14,7.00,8.21,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-4,0,77,100%,0,0%,0,0%,True,Cam Newton,True,31,7
2012.0,2012-12-23,15.0,16.0,23.226,CAR,OAK,W 17-6,True,18,29,62.07,170,1,1,75.4,2,11,5.86,5.00,12,60,5.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,False,Cam Newton,True,17,6
2012.0,2012-12-30,16.0,17.0,23.233,CAR,NOR,W 44-38,True,16,33,48.48,248,0,1,61.2,1,3,7.52,6.15,7,34,4.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,93%,0,0%,0,0%,True,Cam Newton,True,44,38
2013.0,2013-09-08,1.0,1.0,24.12,CAR,SEA,L 7-12,True,16,23,69.57,125,1,0,97.2,1,6,5.43,6.30,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,Cam Newton,False,7,12
2013.0,2013-09-15,2.0,2.0,24.127,CAR,BUF,L 23-24,True,21,38,55.26,229,2,1,79.8,6,46,6.03,5.89,4,15,3.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,Cam Newton,False,23,24
2013.0,2013-09-22,3.0,3.0,24.134,CAR,NYG,W 38-0,True,15,27,55.56,223,3,1,104.4,1,15,8.26,8.81,7,45,6.43,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,93%,0,0%,0,0%,False,Cam Newton,True,38,0
