Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,23.336,SFO,CAR,L 3-23,True,6,5,27,5.40,0,83.3%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,0,0%,False,George Kittle,False,3,23
2017.0,2017-09-17,2.0,2.0,23.343,SFO,SEA,L 9-12,True,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,88%,0,0%,0,0%,True,George Kittle,False,9,12
2017.0,2017-09-21,3.0,3.0,23.347,SFO,LAR,L 39-41,False,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,47%,0,0%,0,0%,False,George Kittle,False,39,41
2017.0,2017-10-01,4.0,4.0,23.357,SFO,ARI,L 15-18,False,3,2,35,17.50,0,66.7%,11.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,89%,0,0%,0,0%,True,George Kittle,False,15,18
2017.0,2017-10-08,5.0,5.0,23.364,SFO,IND,L 23-26,True,9,7,83,11.86,1,77.8%,9.22,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,56%,0,0%,0,0%,True,George Kittle,False,23,26
2017.0,2017-10-15,6.0,6.0,24.006,SFO,WAS,L 24-26,True,8,4,46,11.50,0,50.0%,5.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,92%,0,0%,0,0%,True,George Kittle,False,24,26
2017.0,2017-10-22,7.0,7.0,24.013,SFO,DAL,L 10-40,True,2,1,16,16.00,0,50.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,47%,0,0%,0,0%,False,George Kittle,False,10,40
2017.0,2017-10-29,8.0,8.0,24.02,SFO,PHI,L 10-33,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,62%,0,0%,1,3%,True,George Kittle,False,10,33
2017.0,2017-11-05,9.0,9.0,24.027,SFO,ARI,L 10-20,True,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,45%,0,0%,0,0%,False,George Kittle,False,10,20
2017.0,2017-11-12,10.0,10.0,,SFO,NYG,W 31-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,George Kittle,True,31,21
2017.0,2017-11-26,11.0,12.0,24.048,SFO,SEA,L 13-24,False,2,1,14,14.00,0,50.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,35%,0,0%,0,0%,False,George Kittle,False,13,24
2017.0,2017-12-03,12.0,13.0,24.055,SFO,CHI,W 15-14,False,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,36%,0,0%,0,0%,True,George Kittle,True,15,14
2017.0,2017-12-10,13.0,14.0,24.062,SFO,HOU,W 26-16,False,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,0,0%,True,George Kittle,True,26,16
2017.0,2017-12-17,14.0,15.0,24.069,SFO,TEN,W 25-23,False,5,4,52,13.00,0,80.0%,10.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,40%,0,0%,0,0%,False,George Kittle,True,25,23
2017.0,2017-12-24,15.0,16.0,24.076,SFO,JAX,W 44-33,False,3,3,42,14.00,1,100.0%,14.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,53%,0,0%,3,9%,False,George Kittle,True,44,33
2017.0,2017-12-31,16.0,17.0,24.083,SFO,LAR,W 34-13,False,6,4,100,25.00,0,66.7%,16.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,56%,0,0%,2,7%,True,George Kittle,True,34,13
2018.0,2018-09-09,1.0,1.0,24.335,SFO,MIN,L 16-24,True,9,5,90,18.00,0,55.6%,10.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,77%,0,0%,0,0%,True,George Kittle,False,16,24
2018.0,2018-09-16,2.0,2.0,24.342,SFO,DET,W 30-27,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,78%,0,0%,0,0%,False,George Kittle,True,30,27
2018.0,2018-09-23,3.0,3.0,24.349,SFO,KAN,L 27-38,True,7,5,79,15.80,0,71.4%,11.29,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,54,79%,0,0%,0,0%,True,George Kittle,False,27,38
2018.0,2018-09-30,4.0,4.0,24.356,SFO,LAC,L 27-29,True,8,6,125,20.83,1,75.0%,15.63,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,83%,0,0%,0,0%,True,George Kittle,False,27,29
2018.0,2018-10-07,5.0,5.0,24.363,SFO,ARI,L 18-28,True,7,5,83,16.60,0,71.4%,11.86,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,87,89%,0,0%,0,0%,False,George Kittle,False,18,28
2018.0,2018-10-15,6.0,6.0,25.006,SFO,GNB,L 30-33,True,6,4,30,7.50,0,66.7%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,93%,0,0%,0,0%,True,George Kittle,False,30,33
2018.0,2018-10-21,7.0,7.0,25.012,SFO,LAR,L 10-39,True,8,5,98,19.60,1,62.5%,12.25,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,90%,0,0%,0,0%,False,George Kittle,False,10,39
2018.0,2018-10-28,8.0,8.0,25.019,SFO,ARI,L 15-18,True,8,5,57,11.40,0,62.5%,7.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,91%,0,0%,0,0%,True,George Kittle,False,15,18
2018.0,2018-11-01,9.0,9.0,25.023,SFO,OAK,W 34-3,True,4,4,108,27.00,1,100.0%,27.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,33,60%,0,0%,0,0%,False,George Kittle,True,34,3
2018.0,2018-11-12,10.0,10.0,25.034,SFO,NYG,L 23-27,True,10,9,83,9.22,0,90.0%,8.30,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,97%,0,0%,0,0%,False,George Kittle,False,23,27
2018.0,2018-11-25,11.0,12.0,25.047,SFO,TAM,L 9-27,True,13,6,48,8.00,0,46.2%,3.69,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,94%,0,0%,0,0%,True,George Kittle,False,9,27
2018.0,2018-12-02,12.0,13.0,25.054,SFO,SEA,L 16-43,True,9,6,70,11.67,0,66.7%,7.78,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,88%,0,0%,0,0%,True,George Kittle,False,16,43
