Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,25.346,SEA,@,DEN,L 24-27,True,4,3,59,19.67,1,75.0%,14.75,0,0,,0,2,39,19.50,0,3,11,3.67,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,98%,0,0%,12,35%,True,Tyler Lockett
2018,2018-09-17,2,2,25.354,SEA,@,CHI,L 17-24,True,7,5,60,12.00,1,71.4%,8.57,0,0,,0,0,0,,0,1,14,14.00,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,60,91%,0,0%,10,37%,True,Tyler Lockett
2018,2018-09-23,3,3,25.360,SEA,,DAL,W 24-13,True,6,4,77,19.25,1,66.7%,12.83,1,5,5.00,0,3,66,22.00,0,3,25,8.33,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,88%,0,0%,10,34%,False,Tyler Lockett
2018,2018-09-30,4,4,26.002,SEA,@,ARI,W 20-17,True,6,5,53,10.60,0,83.3%,8.83,0,0,,0,0,0,,0,4,39,9.75,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,5,18%,True,Tyler Lockett
2018,2018-10-07,5,5,26.009,SEA,,LAR,L 31-33,True,4,3,98,32.67,1,75.0%,24.50,1,6,6.00,0,3,77,25.67,0,1,-3,-3.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,52,87%,0,0%,8,27%,False,Tyler Lockett
2018,2018-10-14,6,6,26.016,SEA,@,OAK,W 27-3,True,4,3,13,4.33,1,75.0%,3.25,1,7,7.00,0,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,51,78%,0,0%,3,16%,True,Tyler Lockett
2018,2018-10-28,7,8,26.030,SEA,@,DET,W 28-14,True,2,2,34,17.00,1,100.0%,17.00,2,13,6.50,0,0,0,,0,1,10,10.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,70%,0,0%,5,21%,True,Tyler Lockett
2018,2018-11-04,8,9,26.037,SEA,,LAC,L 17-25,False,4,3,22,7.33,0,75.0%,5.50,0,0,,0,1,34,34.00,0,3,4,1.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,84%,0,0%,8,29%,False,Tyler Lockett
2018,2018-11-11,9,10,26.044,SEA,@,LAR,L 31-36,True,6,5,67,13.40,1,83.3%,11.17,1,18,18.00,0,1,21,21.00,0,1,9,9.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,88%,0,0%,10,33%,True,Tyler Lockett
2018,2018-11-15,10,11,26.048,SEA,,GNB,W 27-24,True,5,5,71,14.20,0,100.0%,14.20,1,1,1.00,0,2,47,23.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,76%,0,0%,11,35%,False,Tyler Lockett
2018,2018-11-25,11,12,26.058,SEA,@,CAR,W 30-27,True,5,5,107,21.40,1,100.0%,21.40,1,-2,-2.00,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,90%,0,0%,6,22%,True,Tyler Lockett
2018,2018-12-02,12,13,26.065,SEA,,SFO,W 43-16,True,2,1,52,52.00,1,50.0%,26.00,1,10,10.00,0,2,111,55.50,0,1,-4,-4.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,69%,0,0%,9,30%,False,Tyler Lockett
2018,2018-12-10,13,14,26.073,SEA,,MIN,W 21-7,True,6,5,42,8.40,0,83.3%,7.00,2,-3,-1.50,0,0,0,,0,3,17,5.67,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,56,85%,0,0%,7,32%,False,Tyler Lockett
2018,2018-12-16,14,15,26.079,SEA,@,SFO,L 23-26,True,2,2,45,22.50,0,100.0%,22.50,1,11,11.00,0,1,3,3.00,0,1,8,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,91%,0,0%,9,26%,True,Tyler Lockett
