Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,,ARI,,WAS,L 6-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Josh Rosen
2018,2018-09-16,2,2,,ARI,@,LAR,L 0-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Josh Rosen
2018,2018-09-23,3,3,21.225,ARI,,CHI,L 14-16,False,4,7,57.14,36,0,1,31.5,1,7,5.14,-1.29,1,12,12.00,0,0,0,0,0,0,0,13,26%,0,0%,0,0%,False,Josh Rosen
2018,2018-09-30,4,4,21.232,ARI,,SEA,L 17-20,True,15,27,55.56,180,1,0,88.5,1,9,6.67,7.41,2,13,6.50,0,0,0,0,1,0,0,60,100%,0,0%,0,0%,False,Josh Rosen
2018,2018-10-07,5,5,21.239,ARI,@,SFO,W 28-18,True,10,25,40.00,170,1,0,77.1,1,6,6.80,7.60,3,-3,-1.00,0,0,0,0,1,0,0,51,100%,0,0%,0,0%,True,Josh Rosen
2018,2018-10-14,6,6,21.246,ARI,@,MIN,L 17-27,True,21,31,67.74,240,0,1,77.4,4,32,7.74,6.29,0,0,,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Josh Rosen
2018,2018-10-18,7,7,21.250,ARI,,DEN,L 10-45,True,21,39,53.85,194,1,3,44.2,6,40,4.97,2.03,1,14,14.00,0,3,2,0,1,0,0,66,100%,0,0%,0,0%,False,Josh Rosen
2018,2018-10-28,8,8,21.260,ARI,,SFO,W 18-15,True,23,40,57.50,252,2,1,82.5,3,19,6.30,6.18,2,12,6.00,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Josh Rosen
2018,2018-11-11,9,10,21.274,ARI,@,KAN,L 14-26,True,22,39,56.41,208,1,2,58.5,5,42,5.33,3.54,1,-1,-1.00,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,True,Josh Rosen
2018,2018-11-18,10,11,21.281,ARI,,OAK,L 21-23,True,9,20,45.00,136,3,2,67.9,1,8,6.80,5.30,1,0,0.00,0,1,0,0,1,-5,0,54,100%,0,0%,0,0%,False,Josh Rosen
