Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-10-18,5,6,,TEN,,MIA,L 10-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West
2015,2015-10-25,6,7,,TEN,,ATL,L 7-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West
2015,2015-11-01,7,8,,TEN,@,HOU,L 6-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Terrance West
2015,2015-11-22,10,11,,BAL,,STL,W 16-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Terrance West
2015,2015-11-30,11,12,24.306,BAL,@,CLE,W 33-27,False,7,37,5.29,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,13,22%,0,0%,0,0%,True,Terrance West
2015,2015-12-06,12,13,24.312,BAL,@,MIA,L 13-15,False,8,31,3.88,0,1,1,5,5.00,0,100.0%,5.00,0,0,0,0,0,0,0,0,15,19%,0,0%,0,0%,True,Terrance West
2015,2015-12-13,13,14,24.319,BAL,,SEA,L 6-35,False,5,16,3.20,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,7,12%,0,0%,0,0%,False,Terrance West
2015,2015-12-20,14,15,24.326,BAL,,KAN,L 14-34,False,7,35,5.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,False,Terrance West
2015,2015-12-27,15,16,24.333,BAL,,PIT,W 20-17,False,14,44,3.14,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,18,24%,0,0%,0,0%,False,Terrance West
2015,2016-01-03,16,17,24.340,BAL,@,CIN,L 16-24,False,5,17,3.40,0,2,1,5,5.00,0,50.0%,2.50,0,0,0,0,0,0,0,0,13,16%,0,0%,0,0%,True,Terrance West
2016,2016-09-11,1,1,25.227,BAL,,BUF,W 13-7,False,12,32,2.67,0,2,2,6,3.00,0,100.0%,3.00,0,0,0,0,0,0,0,0,30,44%,0,0%,0,0%,False,Terrance West
2016,2016-09-18,2,2,25.234,BAL,@,CLE,W 25-20,False,11,42,3.82,0,3,1,15,15.00,0,33.3%,5.00,0,0,0,0,0,0,0,0,21,28%,0,0%,0,0%,True,Terrance West
2016,2016-09-25,3,3,25.241,BAL,@,JAX,W 19-17,False,10,45,4.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,0,0,0,0,0,0,17,25%,0,0%,0,0%,True,Terrance West
2016,2016-10-02,4,4,25.248,BAL,,OAK,L 27-28,True,21,113,5.38,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,39,44%,0,0%,0,0%,False,Terrance West
2016,2016-10-09,5,5,25.255,BAL,,WAS,L 10-16,True,11,95,8.64,0,3,2,-6,-3.00,0,66.7%,-2.00,0,0,0,0,0,0,0,0,30,42%,0,0%,0,0%,False,Terrance West
2016,2016-10-16,6,6,25.262,BAL,@,NYG,L 23-27,True,23,87,3.78,2,6,4,36,9.00,0,66.7%,6.00,2,12,0,0,0,0,0,0,50,60%,0,0%,1,3%,True,Terrance West
2016,2016-10-23,7,7,25.269,BAL,@,NYJ,L 16-24,True,8,10,1.25,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,21,36%,0,0%,0,0%,True,Terrance West
2016,2016-11-06,8,9,25.283,BAL,,PIT,W 21-14,True,15,21,1.40,0,3,1,6,6.00,0,33.3%,2.00,0,0,1,0,0,0,0,0,29,41%,0,0%,0,0%,False,Terrance West
2016,2016-11-10,9,10,25.287,BAL,,CLE,W 28-7,True,21,65,3.10,0,2,1,12,12.00,0,50.0%,6.00,0,0,0,0,0,0,0,0,34,41%,0,0%,0,0%,False,Terrance West
2016,2016-11-20,10,11,25.297,BAL,@,DAL,L 17-27,True,8,42,5.25,1,2,1,11,11.00,0,50.0%,5.50,1,6,0,0,0,0,0,0,23,42%,0,0%,0,0%,True,Terrance West
2016,2016-11-27,11,12,25.304,BAL,,CIN,W 19-14,True,13,48,3.69,0,4,3,16,5.33,0,75.0%,4.00,0,0,0,0,0,0,0,0,23,34%,0,0%,0,0%,False,Terrance West
