Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,25.115,STL,ARI,True,9,3,18,6.00,1,33.3%,2.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,17,Laurent Robinson
2010,2010-09-19,2,2,25.122,STL,OAK,True,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,16,Laurent Robinson
2010,2010-09-26,3,3,,STL,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,16,Laurent Robinson
2010,2010-10-03,4,4,,STL,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,3,Laurent Robinson
2010,2010-10-10,5,5,25.143,STL,DET,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,6,44,Laurent Robinson
2010,2010-10-17,6,6,25.150,STL,SDG,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,20,17,Laurent Robinson
2010,2010-10-24,7,7,25.157,STL,TAM,True,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,18,Laurent Robinson
2010,2010-10-31,8,8,25.164,STL,CAR,True,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,10,Laurent Robinson
2010,2010-11-14,9,10,25.178,STL,SFO,True,6,2,24,12.00,0,33.3%,4.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,Laurent Robinson
2010,2010-11-21,10,11,25.185,STL,ATL,False,11,5,55,11.00,0,45.5%,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,34,Laurent Robinson
2010,2010-11-28,11,12,25.192,STL,DEN,True,6,4,58,14.50,0,66.7%,9.67,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,36,33,Laurent Robinson
2010,2010-12-05,12,13,25.199,STL,ARI,True,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,True,19,6,Laurent Robinson
2010,2010-12-12,13,14,25.206,STL,NOR,True,7,2,61,30.50,0,28.6%,8.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,31,Laurent Robinson
2010,2010-12-19,14,15,25.213,STL,KAN,True,7,2,8,4.00,0,28.6%,1.14,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,27,Laurent Robinson
2010,2010-12-26,15,16,25.220,STL,SFO,True,4,3,25,8.33,1,75.0%,6.25,1,-5,-5.00,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,25,17,Laurent Robinson
2010,2011-01-02,16,17,25.227,STL,SEA,True,7,2,14,7.00,0,28.6%,2.00,1,-9,-9.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,6,16,Laurent Robinson
2011,2011-09-11,1,1,,DAL,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,24,27,Laurent Robinson
2011,2011-09-26,3,3,26.129,DAL,WAS,False,5,3,49,16.33,0,60.0%,9.80,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,18,16,Laurent Robinson
2011,2011-10-02,4,4,26.135,DAL,DET,True,10,7,116,16.57,0,70.0%,11.60,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,30,34,Laurent Robinson
2011,2011-10-16,5,6,26.149,DAL,NWE,False,2,2,43,21.50,0,100.0%,21.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,16,20,Laurent Robinson
2011,2011-10-23,6,7,26.156,DAL,STL,False,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,7,Laurent Robinson
