Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-12,1,1,23.077,DEN,OAK,True,3,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,,,,,,,False,False,20,23,Julius Thomas
2011,2011-09-18,2,2,23.083,DEN,CIN,False,1,1,5,5.00,0,100.0%,5.00,0,0,0,,0,0,0,0,,,,,,,False,True,24,22,Julius Thomas
2011,2011-09-25,3,3,,DEN,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,17,Julius Thomas
2011,2011-10-02,4,4,,DEN,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,23,49,Julius Thomas
2011,2011-10-09,5,5,,DEN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,24,29,Julius Thomas
2011,2011-10-23,6,7,,DEN,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,18,15,Julius Thomas
2011,2011-10-30,7,8,23.125,DEN,DET,False,1,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,,,,,,,False,False,10,45,Julius Thomas
2011,2011-11-06,8,9,23.132,DEN,OAK,False,2,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,,,,,,,True,True,38,24,Julius Thomas
2011,2011-11-13,9,10,23.139,DEN,KAN,False,,,,,,0.0%,,0,0,0,,,0,0,0,,,,,,,True,True,17,10,Julius Thomas
2011,2011-11-17,10,11,,DEN,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,17,13,Julius Thomas
2011,2011-11-27,11,12,,DEN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,16,13,Julius Thomas
2011,2011-12-04,12,13,,DEN,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,35,32,Julius Thomas
2011,2011-12-11,13,14,,DEN,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,10,Julius Thomas
