Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2009.0,2009-10-18,6.0,6.0,24.266,NYJ,BUF,L 13-16,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Danny Woodhead,False,13,16
2009.0,2009-10-25,7.0,7.0,24.273,NYJ,OAK,W 38-0,False,3,24,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,True,Danny Woodhead,True,38,0
2009.0,2009-11-01,8.0,8.0,24.28,NYJ,MIA,L 25-30,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Danny Woodhead,False,25,30
2009.0,2009-11-15,9.0,10.0,,NYJ,JAX,L 22-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Danny Woodhead,False,22,24
2009.0,2009-11-22,10.0,11.0,24.301,NYJ,NWE,L 14-31,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Danny Woodhead,False,14,31
2009.0,2009-11-29,11.0,12.0,24.308,NYJ,CAR,W 17-6,False,1,1,1.00,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Woodhead,True,17,6
2009.0,2009-12-03,12.0,13.0,24.312,NYJ,BUF,W 19-13,False,,,,,2,0,0,,0,0.0%,0.00,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Danny Woodhead,True,19,13
2009.0,2009-12-13,13.0,14.0,24.322,NYJ,TAM,W 26-3,False,4,17,4.25,0,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Woodhead,True,26,3
2009.0,2009-12-20,14.0,15.0,24.329,NYJ,ATL,L 7-10,False,1,2,2.00,0,5,2,21,10.50,0,40.0%,4.20,1,16,16.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Danny Woodhead,False,7,10
2009.0,2009-12-27,15.0,16.0,24.336,NYJ,IND,W 29-15,False,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Danny Woodhead,True,29,15
