Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-17,2,2,25.001,CIN,@,CLE,L 30-35,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,16,59%,True,Samaje Perine
2020,2020-09-27,3,3,25.011,CIN,@,PHI,T 23-23,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,26,69%,True,Samaje Perine
2020,2020-10-04,4,4,25.018,CIN,,JAX,W 33-25,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,18,58%,False,Samaje Perine
2020,2020-10-11,5,5,25.025,CIN,@,BAL,L 3-27,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,0,,,0,0,0,0,0%,0,0%,19,73%,True,Samaje Perine
2020,2020-10-18,6,6,25.032,CIN,@,IND,L 27-31,False,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,18,62%,True,Samaje Perine
2020,2020-10-25,7,7,25.039,CIN,,CLE,L 34-37,False,1,3,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,25%,0,0%,16,57%,False,Samaje Perine
2020,2020-11-01,8,8,25.046,CIN,,TEN,W 31-20,False,10,32,3.20,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,24,33%,0,0%,13,57%,False,Samaje Perine
2020,2020-11-15,9,10,25.060,CIN,@,PIT,L 10-36,False,7,48,6.86,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,25%,0,0%,30,79%,True,Samaje Perine
2020,2020-11-22,10,11,25.067,CIN,@,WAS,L 9-20,False,5,19,3.80,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,31,46%,0,0%,13,48%,True,Samaje Perine
2020,2020-11-29,11,12,25.074,CIN,,NYG,L 17-19,False,0,0,,0,1,1,2,2.00,0,100.0%,2.00,1,13,13.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,14%,0,0%,16,55%,False,Samaje Perine
2020,2020-12-06,12,13,25.081,CIN,@,MIA,L 7-19,False,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,33%,0,0%,15,54%,True,Samaje Perine
2020,2020-12-13,13,14,25.088,CIN,,DAL,L 7-30,False,10,32,3.20,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,39%,0,0%,13,62%,False,Samaje Perine
2020,2020-12-21,14,15,25.096,CIN,,PIT,W 27-17,False,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,21%,0,0%,23,72%,False,Samaje Perine
2020,2020-12-27,15,16,25.102,CIN,@,HOU,W 37-31,False,13,95,7.31,2,4,4,41,10.25,0,100.0%,10.25,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,29,38%,0,0%,17,53%,True,Samaje Perine
2020,2021-01-03,16,17,25.109,CIN,,BAL,L 3-38,True,9,51,5.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,44%,0,0%,16,64%,False,Samaje Perine
2021,2021-09-12,1,1,25.361,CIN,,MIN,W 27-24,False,5,22,4.40,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,15,22%,0,0%,17,50%,False,Samaje Perine
2021,2021-09-19,2,2,26.003,CIN,@,CHI,L 17-20,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,5%,0,0%,15,68%,True,Samaje Perine
2021,2021-09-26,3,3,26.010,CIN,@,PIT,W 24-10,False,1,-1,-1.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,21%,0,0%,13,54%,True,Samaje Perine
2021,2021-09-30,4,4,26.014,CIN,,JAX,W 24-21,False,3,7,2.33,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,16,28%,0,0%,11,48%,False,Samaje Perine
2021,2021-10-10,5,5,26.024,CIN,,GNB,L 22-25,False,11,59,5.36,0,5,4,24,6.00,1,80.0%,4.80,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,61%,0,0%,16,52%,False,Samaje Perine
2021,2021-10-17,6,6,,CIN,@,DET,W 34-11,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Samaje Perine
2021,2021-10-24,7,7,26.038,CIN,@,BAL,W 41-17,False,11,52,4.73,1,1,1,23,23.00,0,100.0%,23.00,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,30,48%,0,0%,21,66%,True,Samaje Perine
2021,2021-10-31,8,8,26.045,CIN,@,NYJ,L 31-34,False,0,0,,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,25%,0,0%,18,64%,True,Samaje Perine
2021,2021-11-07,9,9,26.052,CIN,,CLE,L 16-41,False,5,20,4.00,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,33%,0,0%,18,64%,False,Samaje Perine
2021,2021-11-21,10,11,26.066,CIN,@,LVR,W 32-13,False,2,3,1.50,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,11,15%,0,0%,17,61%,True,Samaje Perine
2021,2021-11-28,11,12,26.073,CIN,,PIT,W 41-10,False,3,3,1.00,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,15%,0,0%,18,64%,False,Samaje Perine
2021,2021-12-05,12,13,26.080,CIN,,LAC,L 22-41,False,5,36,7.20,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,34%,0,0%,19,63%,False,Samaje Perine
2021,2021-12-12,13,14,26.087,CIN,,SFO,L 23-26,False,4,11,2.75,0,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,42%,0,0%,22,65%,False,Samaje Perine
2021,2021-12-19,14,15,26.094,CIN,@,DEN,W 15-10,False,4,30,7.50,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,16,30%,0,0%,20,77%,True,Samaje Perine
2021,2021-12-26,15,16,26.101,CIN,,BAL,W 41-21,False,0,0,,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,11,14%,0,0%,15,58%,False,Samaje Perine
2021,2022-01-02,16,17,26.108,CIN,,KAN,W 34-31,False,1,4,4.00,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,29%,0,0%,16,55%,False,Samaje Perine
2021,2022-01-09,17,18,26.115,CIN,@,CLE,L 16-21,False,,,,,,,,,,0.0%,,,,,,0,0,,,,,,,,,,,,,0,0%,0,0%,16,64%,True,Samaje Perine
,60 Games,,,,,,,24-35-1,False,306,1198,3.92,5,71,63,449,7.13,2,88.7%,6.32,3,61,20.33,0,7,42,0.0,8,1,9,0,0,2,2,0,1,0,0,,,,,,,False,Samaje Perine
