Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-14,1.0,1.0,21.143,DEN,TEN,L 14-16,False,8,4,56,14.00,0,50.0%,7.00,0,0,,0,,0,0,1,0,0,0,0,0,44,75%,0,0%,0,0%,False,Jerry Jeudy,False,14,16
2020.0,2020-09-20,2.0,2.0,21.149,DEN,PIT,L 21-26,True,7,4,62,15.50,0,57.1%,8.86,0,0,,0,,0,0,0,0,0,0,0,0,44,57%,0,0%,0,0%,True,Jerry Jeudy,False,21,26
2020.0,2020-09-27,3.0,3.0,21.156,DEN,TAM,L 10-28,True,9,5,55,11.00,0,55.6%,6.11,0,0,,0,,0,0,0,0,0,0,0,0,46,73%,0,0%,0,0%,False,Jerry Jeudy,False,10,28
2020.0,2020-10-01,4.0,4.0,21.16,DEN,NYJ,W 37-28,False,4,2,61,30.50,1,50.0%,15.25,0,0,,0,,1,6,0,0,0,0,0,0,48,69%,0,0%,0,0%,True,Jerry Jeudy,True,37,28
2020.0,2020-10-18,5.0,6.0,21.177,DEN,NWE,W 18-12,True,5,2,32,16.00,0,40.0%,6.40,0,0,,0,,0,0,0,0,0,0,0,0,47,73%,0,0%,0,0%,True,Jerry Jeudy,True,18,12
2020.0,2020-10-25,6.0,7.0,21.184,DEN,KAN,L 16-43,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,,0,0,0,0,0,0,0,0,58,75%,0,0%,0,0%,False,Jerry Jeudy,False,16,43
2020.0,2020-11-01,7.0,8.0,21.191,DEN,LAC,W 31-30,True,10,4,73,18.25,0,40.0%,7.30,0,0,,0,,0,0,0,0,0,0,0,0,58,89%,0,0%,0,0%,False,Jerry Jeudy,True,31,30
2020.0,2020-11-08,8.0,9.0,21.198,DEN,ATL,L 27-34,True,14,7,125,17.86,1,50.0%,8.93,0,0,,0,,1,6,1,0,0,0,0,0,61,84%,0,0%,0,0%,True,Jerry Jeudy,False,27,34
2020.0,2020-11-15,9.0,10.0,21.205,DEN,LVR,L 12-37,True,8,4,68,17.00,0,50.0%,8.50,0,0,,0,,0,0,0,0,0,0,0,0,61,86%,0,0%,0,0%,True,Jerry Jeudy,False,12,37
2020.0,2020-11-22,10.0,11.0,21.212,DEN,MIA,W 20-13,True,8,3,37,12.33,0,37.5%,4.63,0,0,,0,,0,0,0,0,0,0,0,0,41,63%,0,0%,0,0%,False,Jerry Jeudy,True,20,13
