Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.06,DAL,CAR,L 8-16,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,2,3%,0,0%,1,5%,True,Dalton Schultz,False,8,16
2018.0,2018-09-16,2.0,2.0,,DAL,NYG,W 20-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalton Schultz,True,20,13
2018.0,2018-09-23,3.0,3.0,,DAL,SEA,L 13-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalton Schultz,False,13,24
2018.0,2018-09-30,4.0,4.0,,DAL,DET,W 26-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalton Schultz,True,26,24
2018.0,2018-10-07,5.0,5.0,,DAL,HOU,L 16-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dalton Schultz,False,16,19
2018.0,2018-10-14,6.0,6.0,,DAL,JAX,W 40-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dalton Schultz,True,40,7
2018.0,2018-10-21,7.0,7.0,22.102,DAL,WAS,L 17-20,False,3,1,12,12.00,0,33.3%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,29%,0,0%,6,21%,True,Dalton Schultz,False,17,20
2018.0,2018-11-05,8.0,9.0,22.117,DAL,TEN,L 14-28,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,41%,0,0%,8,40%,False,Dalton Schultz,False,14,28
2018.0,2018-11-11,9.0,10.0,22.123,DAL,PHI,W 27-20,False,2,2,21,10.50,0,100.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,11,39%,True,Dalton Schultz,True,27,20
2018.0,2018-11-18,10.0,11.0,22.13,DAL,ATL,W 22-19,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,17%,0,0%,11,42%,True,Dalton Schultz,True,22,19
2018.0,2018-11-22,11.0,12.0,22.134,DAL,WAS,W 31-23,True,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,60%,0,0%,9,29%,False,Dalton Schultz,True,31,23
2018.0,2018-11-29,12.0,13.0,22.141,DAL,NOR,W 13-10,True,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,56%,0,0%,3,15%,False,Dalton Schultz,True,13,10
2018.0,2018-12-09,13.0,14.0,22.151,DAL,PHI,W 29-23,True,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,46%,0,0%,6,21%,False,Dalton Schultz,True,29,23
2018.0,2018-12-16,14.0,15.0,22.158,DAL,IND,L 0-23,True,4,3,23,7.67,0,75.0%,5.75,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,31,45%,0,0%,1,7%,True,Dalton Schultz,False,0,23
2018.0,2018-12-23,15.0,16.0,22.165,DAL,TAM,W 27-20,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,33,63%,0,0%,5,19%,False,Dalton Schultz,True,27,20
2018.0,2018-12-30,16.0,17.0,22.172,DAL,NYG,W 36-35,True,2,1,17,17.00,0,50.0%,8.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,57%,0,0%,5,18%,True,Dalton Schultz,True,36,35
2019.0,2019-09-08,1.0,1.0,23.059,DAL,NYG,W 35-17,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,9,13%,0,0%,3,12%,False,Dalton Schultz,True,35,17
2019.0,2019-09-15,2.0,2.0,23.066,DAL,WAS,W 31-21,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,3,13%,True,Dalton Schultz,True,31,21
2019.0,2019-09-22,3.0,3.0,23.073,DAL,MIA,W 31-6,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,14,19%,0,0%,4,14%,False,Dalton Schultz,True,31,6
2019.0,2019-09-29,4.0,4.0,23.08,DAL,NOR,L 10-12,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,4,19%,True,Dalton Schultz,False,10,12
2019.0,2019-10-06,5.0,5.0,23.087,DAL,GNB,L 24-34,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,7,21%,False,Dalton Schultz,False,24,34
2019.0,2019-10-13,6.0,6.0,23.094,DAL,NYJ,L 22-24,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,7%,0,0%,5,19%,True,Dalton Schultz,False,22,24
2019.0,2019-10-20,7.0,7.0,23.101,DAL,PHI,W 37-10,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,15,22%,0,0%,3,12%,False,Dalton Schultz,True,37,10
2019.0,2019-11-04,8.0,9.0,23.116,DAL,NYG,W 37-18,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,1,1%,0,0%,6,19%,True,Dalton Schultz,True,37,18
2019.0,2019-11-10,9.0,10.0,23.122,DAL,MIN,L 24-28,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,5,20%,False,Dalton Schultz,False,24,28
2019.0,2019-11-17,10.0,11.0,23.129,DAL,DET,W 35-27,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,11,15%,0,0%,5,16%,True,Dalton Schultz,True,35,27
2019.0,2019-11-24,11.0,12.0,23.136,DAL,NWE,L 9-13,False,0,0,0,,0,0.0%,,1,5,5.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,7,24%,True,Dalton Schultz,False,9,13
2019.0,2019-11-28,12.0,13.0,23.14,DAL,BUF,L 15-26,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,2,3%,0,0%,8,35%,False,Dalton Schultz,False,15,26
2019.0,2019-12-05,13.0,14.0,23.147,DAL,CHI,L 24-31,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,3,4%,0,0%,10,33%,True,Dalton Schultz,False,24,31
2019.0,2019-12-15,14.0,15.0,23.157,DAL,LAR,W 44-21,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,16,23%,0,0%,9,29%,False,Dalton Schultz,True,44,21
2019.0,2019-12-22,15.0,16.0,23.164,DAL,PHI,L 9-17,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,10%,0,0%,7,25%,True,Dalton Schultz,False,9,17
2019.0,2019-12-29,16.0,17.0,23.171,DAL,WAS,W 47-16,False,,,,,,0.0%,,,,,,,0,0,,,,,,,0,,,0,0,0,17,22%,0,0%,9,27%,False,Dalton Schultz,True,47,16
2020.0,2020-09-13,1.0,1.0,24.064,DAL,LAR,L 17-20,False,4,1,11,11.00,0,25.0%,2.75,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,69%,0,0%,8,31%,True,Dalton Schultz,False,17,20
2020.0,2020-09-20,2.0,2.0,24.071,DAL,ATL,W 40-39,False,10,9,88,9.78,1,90.0%,8.80,0,0,,0,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,57,70%,0,0%,0,0%,False,Dalton Schultz,True,40,39
2020.0,2020-09-27,3.0,3.0,24.078,DAL,SEA,L 31-38,True,6,4,48,12.00,0,66.7%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,67%,0,0%,0,0%,True,Dalton Schultz,False,31,38
2020.0,2020-10-04,4.0,4.0,24.085,DAL,CLE,L 38-49,True,8,4,72,18.00,1,50.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,77%,0,0%,0,0%,False,Dalton Schultz,False,38,49
2020.0,2020-10-11,5.0,5.0,24.092,DAL,NYG,W 37-34,True,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,False,Dalton Schultz,True,37,34
2020.0,2020-10-19,6.0,6.0,24.1,DAL,ARI,L 10-38,True,5,4,35,8.75,0,80.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,81%,0,0%,0,0%,False,Dalton Schultz,False,10,38
2020.0,2020-10-25,7.0,7.0,24.106,DAL,WAS,L 3-25,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,46,81%,0,0%,0,0%,True,Dalton Schultz,False,3,25
2020.0,2020-11-01,8.0,8.0,24.113,DAL,PHI,L 9-23,True,8,6,53,8.83,0,75.0%,6.63,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,95%,0,0%,0,0%,True,Dalton Schultz,False,9,23
2020.0,2020-11-08,9.0,9.0,24.12,DAL,PIT,L 19-24,True,7,4,48,12.00,0,57.1%,6.86,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,69,96%,0,0%,0,0%,False,Dalton Schultz,False,19,24
2020.0,2020-11-22,10.0,11.0,24.134,DAL,MIN,W 31-28,True,6,4,25,6.25,1,66.7%,4.17,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,True,Dalton Schultz,True,31,28
2020.0,2020-11-26,11.0,12.0,24.138,DAL,WAS,L 16-41,True,5,5,24,4.80,0,100.0%,4.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,86%,0,0%,0,0%,False,Dalton Schultz,False,16,41
2020.0,2020-12-08,12.0,13.0,24.15,DAL,BAL,L 17-34,True,4,4,44,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,90%,0,0%,0,0%,True,Dalton Schultz,False,17,34
2020.0,2020-12-13,13.0,14.0,24.155,DAL,CIN,W 30-7,True,3,3,34,11.33,0,100.0%,11.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,96%,0,0%,0,0%,True,Dalton Schultz,True,30,7
2020.0,2020-12-20,14.0,15.0,24.162,DAL,SFO,W 41-33,True,2,2,14,7.00,1,100.0%,7.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,51,88%,0,0%,1,3%,False,Dalton Schultz,True,41,33
2020.0,2020-12-27,15.0,16.0,24.169,DAL,PHI,W 37-17,True,4,3,21,7.00,0,75.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,93%,0,0%,0,0%,False,Dalton Schultz,True,37,17
2020.0,2021-01-03,16.0,17.0,24.176,DAL,NYG,L 19-23,True,10,7,70,10.00,0,70.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,81,98%,0,0%,0,0%,True,Dalton Schultz,False,19,23
2021.0,2021-09-09,1.0,1.0,25.06,DAL,TAM,L 29-31,True,6,6,45,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,68%,0,0%,8,24%,True,Dalton Schultz,False,29,31
