Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-21,3.0,3.0,25.111,STL,DAL,L 31-34,True,30,42,71.43,327,3,2,98.0,0,0,7.79,7.07,2,-1,-0.50,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Austin Davis,False,31,34
2014.0,2014-10-05,4.0,5.0,25.125,STL,PHI,L 28-34,True,29,49,59.18,375,3,0,103.7,4,34,7.65,8.88,3,30,10.00,0,2,2,0,0,0,0,78,100%,0,0%,0,0%,True,Austin Davis,False,28,34
2014.0,2014-10-13,5.0,6.0,25.133,STL,SFO,L 17-31,True,21,42,50.00,236,1,1,65.2,5,20,5.62,5.02,1,-1,-1.00,0,1,0,0,0,0,0,74,100%,0,0%,0,0%,False,Austin Davis,False,17,31
2014.0,2014-10-19,6.0,7.0,25.139,STL,SEA,W 28-26,True,17,20,85.00,155,2,0,132.3,0,0,7.75,9.75,2,-2,-1.00,0,0,0,0,0,0,0,49,100%,0,0%,0,0%,False,Austin Davis,True,28,26
2014.0,2014-10-26,7.0,8.0,25.146,STL,KAN,L 7-34,True,15,25,60.00,160,1,1,75.4,7,44,6.40,5.40,1,1,1.00,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,True,Austin Davis,False,7,34
2014.0,2014-11-02,8.0,9.0,25.153,STL,SFO,W 13-10,True,13,24,54.17,105,1,2,44.6,1,3,4.38,1.46,2,9,4.50,0,0,0,0,0,0,0,54,98%,0,0%,0,0%,True,Austin Davis,True,13,10
2014.0,2014-11-09,9.0,10.0,25.16,STL,ARI,L 14-31,True,17,30,56.67,216,1,2,62.6,6,42,7.20,4.87,3,0,0.00,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,True,Austin Davis,False,14,31
2014.0,2014-11-16,10.0,11.0,,STL,DEN,W 22-7,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Davis,True,22,7
2014.0,2014-11-23,11.0,12.0,,STL,SDG,L 24-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Davis,False,24,27
2014.0,2014-11-30,12.0,13.0,25.181,STL,OAK,W 52-0,False,,,,,,,,,,,,,,,,0,,,0,0,0,6,12%,0,0%,0,0%,False,Austin Davis,True,52,0
