Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2008,2008-11-30,12,13,30.326,CIN,BAL,True,11,4,45,11.25,0,36.4%,4.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,False,3,34,Chad Johnson
2008,2008-12-07,13,14,30.333,CIN,IND,False,5,5,79,15.80,0,100.0%,15.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,True,False,3,35,Chad Johnson
2008,2008-12-14,14,15,30.340,CIN,WAS,False,8,3,33,11.00,0,37.5%,4.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,,0,0,0,0,False,True,20,13,Chad Johnson
2008,2008-12-21,15,16,,CIN,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,14,0,Chad Johnson
2008,2008-12-28,16,17,,CIN,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,16,6,Chad Johnson
2009,2009-09-13,1,1,31.247,CIN,DEN,False,7,5,89,17.80,0,71.4%,12.71,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,7,12,Chad Johnson
2009,2009-09-20,2,2,31.254,CIN,GNB,False,7,4,91,22.75,1,57.1%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,True,31,24,Chad Johnson
2009,2009-09-27,3,3,31.261,CIN,PIT,False,11,5,54,10.80,0,45.5%,4.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,23,20,Chad Johnson
2009,2009-10-04,4,4,31.268,CIN,CLE,False,11,3,24,8.00,2,27.3%,2.18,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,,0,0,0,0,True,True,23,20,Chad Johnson
2009,2009-10-11,5,5,31.275,CIN,BAL,False,10,7,94,13.43,0,70.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,True,True,17,14,Chad Johnson
2009,2009-10-18,6,6,31.282,CIN,HOU,False,7,5,103,20.60,0,71.4%,14.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,17,28,Chad Johnson
2009,2009-10-25,7,7,31.289,CIN,CHI,False,11,10,118,11.80,2,90.9%,10.73,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,,0,0,0,0,False,True,45,10,Chad Johnson
2009,2009-11-08,8,9,31.303,CIN,BAL,False,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,1,0,0,0,0,False,True,17,7,Chad Johnson
2009,2009-11-15,9,10,31.310,CIN,PIT,False,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,18,12,Chad Johnson
2009,2009-11-22,10,11,31.317,CIN,OAK,False,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,False,17,20,Chad Johnson
2009,2009-11-29,11,12,31.324,CIN,CLE,False,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,16,7,Chad Johnson
2009,2009-12-06,12,13,31.331,CIN,DET,False,14,9,137,15.22,1,64.3%,9.79,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,False,True,23,13,Chad Johnson
2009,2009-12-13,13,14,31.338,CIN,MIN,False,8,3,27,9.00,1,37.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,False,10,30,Chad Johnson
2009,2009-12-20,14,15,31.345,CIN,SDG,False,5,3,79,26.33,1,60.0%,15.80,1,26,26.00,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,False,24,27,Chad Johnson
2009,2009-12-27,15,16,31.352,CIN,KAN,False,7,4,31,7.75,1,57.1%,4.43,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,False,True,17,10,Chad Johnson
2009,2010-01-03,16,17,31.359,CIN,NYJ,False,4,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,True,False,0,37,Chad Johnson
2010,2010-09-12,1,1,32.246,CIN,NWE,False,13,12,159,13.25,1,92.3%,12.23,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,True,False,24,38,Chad Johnson
2010,2010-09-19,2,2,32.253,CIN,BAL,False,9,4,44,11.00,0,44.4%,4.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,True,15,10,Chad Johnson
2010,2010-09-26,3,3,32.260,CIN,CAR,False,12,4,34,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,20,7,Chad Johnson
