Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-10-15,6,6,24.359,BUF,DET,True,17,66,3.88,0,3,2,14,7.00,0,66.7%,4.67,,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Willis McGahee
2006,2006-10-22,7,7,25.001,BUF,NWE,True,20,59,2.95,0,2,2,61,30.50,0,100.0%,30.50,,0,0,0,,0,0,0,0,,,,,,,False,False,6,28,Willis McGahee
2006,2006-11-05,8,9,25.015,BUF,GNB,True,4,15,3.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,24,10,Willis McGahee
2006,2006-11-12,9,10,,BUF,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,16,17,Willis McGahee
2006,2006-11-19,10,11,,BUF,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,24,21,Willis McGahee
2006,2006-11-26,11,12,25.036,BUF,JAX,True,12,63,5.25,2,1,1,8,8.00,0,100.0%,8.00,,2,12,0,,0,1,0,0,,,,,,,False,True,27,24,Willis McGahee
2006,2006-12-03,12,13,25.043,BUF,SDG,True,16,26,1.63,1,1,1,1,1.00,0,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,False,False,21,24,Willis McGahee
2006,2006-12-10,13,14,25.050,BUF,NYJ,True,16,125,7.81,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,True,True,31,13,Willis McGahee
2006,2006-12-17,14,15,25.057,BUF,MIA,True,28,79,2.82,0,1,0,0,,0,0.0%,0.00,,0,0,2,1,0,0,0,0,,,,,,,False,True,21,0,Willis McGahee
2006,2006-12-24,15,16,25.064,BUF,TEN,True,22,95,4.32,1,3,2,20,10.00,0,66.7%,6.67,,1,6,0,,0,0,0,0,,,,,,,False,False,29,30,Willis McGahee
2006,2006-12-31,16,17,25.071,BUF,BAL,True,11,23,2.09,0,2,0,0,,0,0.0%,0.00,,0,0,1,1,0,0,0,0,,,,,,,True,False,7,19,Willis McGahee
2007,2007-09-10,1,1,25.324,BAL,CIN,True,19,77,4.05,0,3,3,34,11.33,0,100.0%,11.33,,0,0,0,,0,0,0,0,,,,,,,True,False,20,27,Willis McGahee
2007,2007-09-16,2,2,25.330,BAL,NYJ,True,26,97,3.73,0,2,2,6,3.00,1,100.0%,3.00,,1,6,0,,0,0,0,0,,,,,,,False,True,20,13,Willis McGahee
2007,2007-09-23,3,3,25.337,BAL,ARI,True,21,98,4.67,0,4,4,23,5.75,0,100.0%,5.75,,0,0,0,,0,0,0,0,,,,,,,False,True,26,23,Willis McGahee
2007,2007-09-30,4,4,25.344,BAL,CLE,True,14,104,7.43,0,2,2,32,16.00,0,100.0%,16.00,,0,0,0,,0,0,0,0,,,,,,,True,False,13,27,Willis McGahee
2007,2007-10-07,5,5,25.351,BAL,SFO,True,22,88,4.00,0,9,7,48,6.86,0,77.8%,5.33,,0,0,0,,0,0,0,0,,,,,,,True,True,9,7,Willis McGahee
2007,2007-10-14,6,6,25.358,BAL,STL,True,25,61,2.44,1,5,4,9,2.25,0,80.0%,1.80,,1,6,1,0,0,0,0,0,,,,,,,False,True,22,3,Willis McGahee
2007,2007-10-21,7,7,26.000,BAL,BUF,True,19,114,6.00,1,3,2,1,0.50,0,66.7%,0.33,,1,6,0,,0,0,0,0,,,,,,,True,False,14,19,Willis McGahee
2007,2007-11-05,8,9,26.015,BAL,PIT,True,12,50,4.17,1,4,3,12,4.00,0,75.0%,3.00,,1,6,1,1,0,1,-10,0,,,,,,,True,False,7,38,Willis McGahee
2007,2007-11-11,9,10,26.021,BAL,CIN,True,17,60,3.53,1,2,2,10,5.00,0,100.0%,5.00,,1,6,1,1,0,0,0,0,,,,,,,False,False,7,21,Willis McGahee
2007,2007-11-18,10,11,26.028,BAL,CLE,True,21,102,4.86,1,2,2,24,12.00,0,100.0%,12.00,,1,6,0,,0,0,0,0,,,,,,,False,False,30,33,Willis McGahee
2007,2007-11-25,11,12,26.035,BAL,SDG,True,17,59,3.47,1,2,2,2,1.00,0,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,True,False,14,32,Willis McGahee
2007,2007-12-03,12,13,26.043,BAL,NWE,True,30,138,4.60,1,4,4,21,5.25,0,100.0%,5.25,,1,6,0,,0,0,0,0,,,,,,,False,False,24,27,Willis McGahee
2007,2007-12-09,13,14,26.049,BAL,IND,True,17,45,2.65,0,5,5,7,1.40,0,100.0%,1.40,,0,0,1,1,0,0,0,0,,,,,,,False,False,20,44,Willis McGahee
2007,2007-12-16,14,15,26.056,BAL,MIA,True,29,104,3.59,0,2,1,2,2.00,0,50.0%,1.00,,0,0,0,,0,0,0,0,,,,,,,True,False,16,22,Willis McGahee
2007,2007-12-23,15,16,26.063,BAL,SEA,True,5,10,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,6,27,Willis McGahee
