Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2007,2007-11-25,11,12,,MIN,@,NYG,W 41-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Adrian Peterson
2007,2007-12-02,12,13,22.256,MIN,,DET,W 42-10,True,15,116,7.73,2,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2007,2007-12-09,13,14,22.263,MIN,@,SFO,W 27-7,False,14,3,0.21,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2007,2007-12-17,14,15,22.271,MIN,,CHI,W 20-13,True,20,78,3.90,2,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2007,2007-12-23,15,16,22.277,MIN,,WAS,L 21-32,True,9,27,3.00,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2007,2007-12-30,16,17,22.284,MIN,@,DEN,L 19-22,False,11,36,3.27,0,0,0,0,,0,0.0%,,3,88,29.33,0,,0,0,0,,0,1,0,0,,,,,,,True,Adrian Peterson
2008,2008-09-08,1,1,23.171,MIN,@,GNB,L 19-24,True,19,103,5.42,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Adrian Peterson
2008,2008-09-14,2,2,23.177,MIN,,IND,L 15-18,True,29,160,5.52,0,4,4,20,5.00,0,100.0%,5.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-09-21,3,3,23.184,MIN,,CAR,W 20-10,True,17,77,4.53,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Adrian Peterson
2008,2008-09-28,4,4,23.191,MIN,@,TEN,L 17-30,True,18,80,4.44,2,6,4,21,5.25,0,66.7%,3.50,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,True,Adrian Peterson
