Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-08,1.0,1.0,,IND,OAK,W 21-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Jack Doyle,True,21,17
2013.0,2013-09-15,2.0,2.0,23.133,IND,MIA,L 20-24,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,5,19%,False,Jack Doyle,False,20,24
2013.0,2013-09-22,3.0,3.0,23.14,IND,SFO,W 27-7,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,8,31%,True,Jack Doyle,True,27,7
2013.0,2013-09-29,4.0,4.0,23.147,IND,JAX,W 37-3,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,6,8%,0,0%,8,30%,True,Jack Doyle,True,37,3
2013.0,2013-10-06,5.0,5.0,23.154,IND,SEA,W 34-28,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,6,9%,0,0%,14,45%,False,Jack Doyle,True,34,28
2013.0,2013-10-14,6.0,6.0,23.162,IND,SDG,L 9-19,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,3,6%,0,0%,15,60%,True,Jack Doyle,False,9,19
2013.0,2013-10-20,7.0,7.0,23.168,IND,DEN,W 39-33,False,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,15%,0,0%,27,57%,False,Jack Doyle,True,39,33
2013.0,2013-11-03,8.0,9.0,23.182,IND,HOU,W 27-24,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,7,11%,0,0%,15,47%,True,Jack Doyle,True,27,24
2013.0,2013-11-10,9.0,10.0,23.189,IND,STL,L 8-38,True,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,18,24%,0,0%,13,50%,False,Jack Doyle,False,8,38
2013.0,2013-11-14,10.0,11.0,23.193,IND,TEN,W 30-27,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,19,27%,0,0%,15,52%,True,Jack Doyle,True,30,27
