Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,21.008,MIN,ATL,True,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,3,Sidney Rice
2007,2007-09-16,2,2,21.015,MIN,DET,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Sidney Rice
2007,2007-09-23,3,3,21.022,MIN,KAN,False,5,2,21,10.50,0,40.0%,4.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,13,Sidney Rice
2007,2007-09-30,4,4,21.029,MIN,GNB,False,9,6,75,12.50,1,66.7%,8.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,16,23,Sidney Rice
2007,2007-10-14,5,6,21.043,MIN,CHI,False,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,34,31,Sidney Rice
2007,2007-10-21,6,7,21.050,MIN,DAL,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,24,Sidney Rice
2007,2007-10-28,7,8,21.057,MIN,PHI,False,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,16,23,Sidney Rice
2007,2007-11-04,8,9,21.064,MIN,SDG,True,6,4,66,16.50,1,66.7%,11.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,35,17,Sidney Rice
2007,2007-11-11,9,10,,MIN,GNB,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,0,34,Sidney Rice
2007,2007-11-18,10,11,21.078,MIN,OAK,True,5,2,18,9.00,0,40.0%,3.60,0,0,,0,2,2,100.00,94,0,0,118.7,0,0,47.00,47.00,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,29,22,Sidney Rice
2007,2007-11-25,11,12,21.085,MIN,NYG,True,4,3,82,27.33,1,75.0%,20.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,41,17,Sidney Rice
2007,2007-12-02,12,13,21.092,MIN,DET,False,6,5,53,10.60,1,83.3%,8.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,42,10,Sidney Rice
2007,2007-12-09,13,14,21.099,MIN,SFO,False,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,27,7,Sidney Rice
2007,2007-12-17,14,15,21.107,MIN,CHI,False,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,20,13,Sidney Rice
2007,2007-12-23,15,16,,MIN,WAS,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,21,32,Sidney Rice
2007,2007-12-30,16,17,,MIN,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,22,Sidney Rice
2008,2008-09-08,1,1,22.007,MIN,GNB,True,4,2,31,15.50,1,50.0%,7.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,19,24,Sidney Rice
2008,2008-09-14,2,2,22.013,MIN,IND,True,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,False,15,18,Sidney Rice
2008,2008-09-21,3,3,,MIN,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,20,10,Sidney Rice
