Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-11-27,11,12,,NYJ,,BUF,W 28-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bilal Powell
2011,2011-12-04,12,13,,NYJ,@,WAS,W 34-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bilal Powell
2011,2011-12-11,13,14,23.045,NYJ,,KAN,W 37-10,False,6,10,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Bilal Powell
2011,2011-12-18,14,15,,NYJ,@,PHI,L 19-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bilal Powell
2011,2011-12-24,15,16,,NYJ,,NYG,L 14-29,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Bilal Powell
2011,2012-01-01,16,17,,NYJ,@,MIA,L 17-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bilal Powell
2012,2012-09-09,1,1,23.318,NYJ,,BUF,W 48-28,False,3,10,3.33,0,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,29%,0,0%,9,30%,False,Bilal Powell
2012,2012-09-16,2,2,23.325,NYJ,@,PIT,L 10-27,False,9,33,3.67,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,56%,0,0%,3,11%,True,Bilal Powell
2012,2012-09-23,3,3,23.332,NYJ,@,MIA,W 23-20,False,10,45,4.50,0,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,44%,0,0%,6,18%,True,Bilal Powell
2012,2012-09-30,4,4,23.339,NYJ,,SFO,L 0-34,True,4,11,2.75,0,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,60%,0,0%,0,0%,False,Bilal Powell
2012,2012-10-08,5,5,23.347,NYJ,,HOU,L 17-23,False,4,18,4.50,0,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,44%,0,0%,6,20%,False,Bilal Powell
2012,2012-10-14,6,6,23.353,NYJ,,IND,W 35-9,False,4,14,3.50,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,22%,0,0%,4,15%,False,Bilal Powell
2012,2012-10-21,7,7,,NYJ,@,NWE,L 26-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Bilal Powell
2012,2012-10-28,8,8,,NYJ,,MIA,L 9-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Bilal Powell
2012,2012-11-11,9,10,24.015,NYJ,@,SEA,L 7-28,False,1,7,7.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,21%,0,0%,2,8%,True,Bilal Powell
2012,2012-11-18,10,11,24.022,NYJ,@,STL,W 27-13,False,11,42,3.82,2,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,28,43%,0,0%,0,0%,True,Bilal Powell
2012,2012-11-22,11,12,24.026,NYJ,,NWE,L 19-49,False,12,40,3.33,1,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,51%,0,0%,3,10%,False,Bilal Powell
2012,2012-12-02,12,13,24.036,NYJ,,ARI,W 7-6,True,12,58,4.83,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,43%,0,0%,6,23%,False,Bilal Powell
2012,2012-12-09,13,14,24.043,NYJ,@,JAX,W 17-10,False,19,78,4.11,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,29,45%,0,0%,7,25%,True,Bilal Powell
2012,2012-12-17,14,15,24.051,NYJ,@,TEN,L 10-14,False,6,28,4.67,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,41%,0,0%,0,0%,True,Bilal Powell
2012,2012-12-23,15,16,24.057,NYJ,,SDG,L 17-27,False,3,-3,-1.00,0,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,51%,0,0%,0,0%,False,Bilal Powell
