Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-12-16,14,15,23.042,GNB,CHI,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,4,5%,0,0%,20,71%,True,True,21,13,Jarrett Boykin
2012,2012-12-23,15,16,23.049,GNB,TEN,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,12%,0,0%,21,64%,False,True,55,7,Jarrett Boykin
2012,2012-12-30,16,17,23.056,GNB,MIN,False,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,12%,0,0%,18,56%,True,False,34,37,Jarrett Boykin
2013,2013-09-08,1,1,23.308,GNB,SFO,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,23,68%,True,False,28,34,Jarrett Boykin
2013,2013-09-15,2,2,23.315,GNB,WAS,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,1%,0,0%,15,54%,False,True,38,20,Jarrett Boykin
2013,2013-09-22,3,3,23.322,GNB,CIN,False,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,4%,0,0%,17,57%,True,False,30,34,Jarrett Boykin
2013,2013-10-06,4,5,23.336,GNB,DET,False,0,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,6,9%,0,0%,15,58%,False,True,22,9,Jarrett Boykin
2013,2013-10-13,5,6,23.343,GNB,BAL,False,6,1,43,43.00,0,16.7%,7.17,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,58,85%,0,0%,10,30%,True,True,19,17,Jarrett Boykin
2013,2013-10-20,6,7,23.350,GNB,CLE,True,10,8,103,12.88,1,80.0%,10.30,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,97%,0,0%,1,3%,False,True,31,13,Jarrett Boykin
2013,2013-10-27,7,8,23.357,GNB,MIN,True,6,5,89,17.80,0,83.3%,14.83,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,87%,0,0%,2,6%,True,True,44,31,Jarrett Boykin
2013,2013-11-04,8,9,24.000,GNB,CHI,True,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,89%,0,0%,0,0%,False,False,20,27,Jarrett Boykin
2013,2013-11-10,9,10,24.006,GNB,PHI,True,13,8,112,14.00,0,61.5%,8.62,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,59%,0,0%,0,0%,False,False,13,27,Jarrett Boykin
2013,2013-11-17,10,11,24.013,GNB,NYG,False,8,6,91,15.17,0,75.0%,11.38,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,72%,0,0%,0,0%,True,False,13,27,Jarrett Boykin
2013,2013-11-24,11,12,24.020,GNB,MIN,False,10,5,60,12.00,1,50.0%,6.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,78,83%,0,0%,0,0%,False,False,26,26,Jarrett Boykin
