Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-09-11,1,1,23.211,DAL,@,NYJ,L 24-27,False,2,0,0.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,0,,0,0,0,0,,,,,,,True,DeMarco Murray
2011,2011-09-18,2,2,23.218,DAL,@,SFO,W 27-24,False,6,21,3.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,DeMarco Murray
2011,2011-09-26,3,3,23.226,DAL,,WAS,W 18-16,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-10-02,4,4,23.232,DAL,,DET,L 30-34,False,4,12,3.00,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-10-16,5,6,23.246,DAL,@,NWE,L 16-20,False,11,34,3.09,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,,,1,22,22.00,0,0,0,0,,0,0,0,0,,,,,,,True,DeMarco Murray
2011,2011-10-23,6,7,23.253,DAL,,STL,W 34-7,False,25,253,10.12,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-10-30,7,8,23.260,DAL,@,PHI,L 7-34,True,8,74,9.25,0,3,1,-2,-2.00,0,33.3%,-0.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,DeMarco Murray
2011,2011-11-06,8,9,23.267,DAL,,SEA,W 23-13,True,22,139,6.32,0,6,4,47,11.75,0,66.7%,7.83,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-11-13,9,10,23.274,DAL,,BUF,W 44-7,True,20,135,6.75,1,7,6,36,6.00,0,85.7%,5.14,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,0,0,1,0,0,,,,,,,False,DeMarco Murray
2011,2011-11-20,10,11,23.281,DAL,@,WAS,W 27-24,True,25,73,2.92,0,7,6,32,5.33,0,85.7%,4.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,DeMarco Murray
2011,2011-11-24,11,12,23.285,DAL,,MIA,W 20-19,True,22,87,3.95,0,4,4,41,10.25,0,100.0%,10.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-12-04,12,13,23.295,DAL,@,ARI,L 13-19,True,12,38,3.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,1,0,0,,,,,,,True,DeMarco Murray
2011,2011-12-11,13,14,23.302,DAL,,NYG,L 34-37,True,5,25,5.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,DeMarco Murray
2011,2011-12-17,14,15,,DAL,@,TAM,W 31-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,DeMarco Murray
2011,2011-12-24,15,16,,DAL,,PHI,L 7-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,DeMarco Murray
2011,2012-01-01,16,17,,DAL,@,NYG,L 14-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,DeMarco Murray
2012,2012-09-05,1,1,24.206,DAL,@,NYG,W 24-17,True,20,131,6.55,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,47,77%,0,0%,0,0%,True,DeMarco Murray
2012,2012-09-16,2,2,24.217,DAL,@,SEA,L 7-27,True,12,44,3.67,0,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,39,68%,0,0%,0,0%,True,DeMarco Murray
2012,2012-09-23,3,3,24.224,DAL,,TAM,W 16-10,True,18,38,2.11,1,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,0,0,0,0,56,82%,0,0%,0,0%,False,DeMarco Murray
2012,2012-10-01,4,4,24.232,DAL,,CHI,L 18-34,True,11,24,2.18,0,7,7,57,8.14,0,100.0%,8.14,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0,48,69%,0,0%,0,0%,False,DeMarco Murray
2012,2012-10-14,5,6,24.245,DAL,@,BAL,L 29-31,True,14,93,6.64,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,22,25%,0,0%,0,0%,True,DeMarco Murray
2012,2012-10-21,6,7,,DAL,@,CAR,W 19-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeMarco Murray
2012,2012-10-28,7,8,,DAL,,NYG,L 24-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,DeMarco Murray
2012,2012-11-04,8,9,,DAL,@,ATL,L 13-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeMarco Murray
