Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-11-24,11,12,29.093,NOR,,CAR,W 34-31,False,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,25,81%,False,Taysom Hill
2019,2019-11-28,12,13,29.097,NOR,@,ATL,W 26-18,True,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,33,16.50,1,2,2,12,6.00,1,100.0%,6.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,13,27%,0,0%,23,77%,True,Taysom Hill
2019,2019-12-08,13,14,29.107,NOR,,SFO,L 46-48,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,5,13,2.60,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,39%,0,0%,31,84%,False,Taysom Hill
2019,2019-12-16,14,15,29.115,NOR,,IND,W 34-7,True,0,0,,0,0,0,,0,0,,,2,1,0.50,0,2,2,42,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,17,25%,0,0%,17,71%,False,Taysom Hill
2019,2019-12-22,15,16,29.121,NOR,@,TEN,W 38-28,True,1,2,50.00,20,0,0,85.4,0,0,10.00,10.00,2,11,5.50,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,29,81%,True,Taysom Hill
2019,2019-12-29,16,17,29.128,NOR,@,CAR,W 42-10,True,0,0,,0,0,0,,0,0,,,2,4,2.00,0,1,1,45,45.00,1,100.0%,45.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,49%,0,0%,23,74%,True,Taysom Hill
2020,2020-09-13,1,1,30.021,NOR,,TAM,W 34-23,True,1,1,100.00,38,0,0,118.7,0,0,38.00,38.00,3,13,4.33,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,17,25%,0,0%,12,36%,False,Taysom Hill
2020,2020-09-21,2,2,30.029,NOR,@,LVR,L 24-34,False,0,0,,0,0,0,,0,0,,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,23%,0,0%,5,19%,True,Taysom Hill
2020,2020-09-27,3,3,30.035,NOR,,GNB,L 30-37,True,0,0,,0,0,0,,0,0,,,2,6,3.00,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,13,21%,0,0%,5,16%,False,Taysom Hill
2020,2020-10-04,4,4,30.042,NOR,@,DET,W 35-29,False,0,0,,0,0,0,,0,0,,,3,6,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,-6,0,20,29%,0,0%,7,28%,True,Taysom Hill
2020,2020-10-12,5,5,30.050,NOR,,LAC,W 30-27,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,13,4.33,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,20,26%,0,0%,14,37%,False,Taysom Hill
2020,2020-10-25,6,7,30.063,NOR,,CAR,W 27-24,True,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,10,14%,0,0%,1,5%,False,Taysom Hill
2020,2020-11-01,7,8,30.070,NOR,@,CHI,W 26-23,False,0,0,,0,0,0,,0,0,,,5,35,7.00,0,2,2,30,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,14,19%,0,0%,9,26%,True,Taysom Hill
2020,2020-11-08,8,9,30.077,NOR,@,TAM,W 38-3,False,2,2,100.00,48,0,0,118.7,0,0,24.00,24.00,7,54,7.71,0,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,19,26%,0,0%,6,29%,True,Taysom Hill
2020,2020-11-15,9,10,30.084,NOR,,SFO,W 27-13,True,0,0,,0,0,0,,1,5,,,8,45,5.63,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,22,37%,0,0%,10,36%,False,Taysom Hill
2020,2020-11-22,10,11,30.091,NOR,,ATL,W 24-9,True,18,23,78.26,233,0,0,108.9,3,23,10.13,10.13,10,49,4.90,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,False,Taysom Hill
2020,2020-11-29,11,12,30.098,NOR,@,DEN,W 31-3,True,9,16,56.25,78,0,1,43.2,3,15,4.88,2.06,10,44,4.40,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,1,0,0,1,0,0,61,95%,0,0%,0,0%,True,Taysom Hill
2020,2020-12-06,12,13,30.105,NOR,@,ATL,W 21-16,True,27,37,72.97,232,2,0,107.0,2,15,6.27,7.35,14,83,5.93,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,3,1,0,0,-2,0,78,100%,0,0%,0,0%,True,Taysom Hill
