Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-11-02,8.0,9.0,,BAL,CLE,W 37-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Stephen Hauschka,True,37,27
2008.0,2008-11-09,9.0,10.0,23.133,BAL,HOU,W 41-13,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,True,41,13
2008.0,2008-11-23,11.0,12.0,23.147,BAL,PHI,W 36-7,False,,,,,1,0.0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,36,7
2008.0,2008-12-20,15.0,16.0,,BAL,DAL,W 33-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Stephen Hauschka,True,33,24
2009.0,2009-09-13,1.0,1.0,24.076,BAL,KAN,W 38-24,False,5,5,100.0,1,2,50.0,0,8,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,38,24
2009.0,2009-09-20,2.0,2.0,24.083,BAL,SDG,W 31-26,False,4,4,100.0,1,1,100.0,0,7,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,True,31,26
2009.0,2009-09-27,3.0,3.0,24.09,BAL,CLE,W 34-3,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,34,3
2009.0,2009-10-04,4.0,4.0,24.097,BAL,NWE,L 21-27,False,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,21,27
2009.0,2009-10-11,5.0,5.0,24.104,BAL,CIN,L 14-17,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,False,14,17
2009.0,2009-10-18,6.0,6.0,24.111,BAL,MIN,L 31-33,False,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,31,33
2009.0,2009-11-01,7.0,8.0,24.125,BAL,DEN,W 30-7,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,30,7
2009.0,2009-11-08,8.0,9.0,24.132,BAL,CIN,L 7-17,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,7,17
2009.0,2009-11-16,9.0,10.0,24.14,BAL,CLE,W 16-0,False,1,2,50.0,1,2,50.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,True,16,0
2009.0,2009-11-22,10.0,11.0,24.146,BAL,IND,L 15-17,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Stephen Hauschka,False,15,17
2009.0,2009-11-29,11.0,12.0,24.153,BAL,PIT,W 20-17,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Stephen Hauschka,True,20,17
2009.0,2009-12-07,12.0,13.0,24.161,BAL,GNB,L 14-27,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Hauschka,False,14,27
2009.0,2009-12-13,13.0,14.0,24.167,BAL,DET,W 48-3,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Stephen Hauschka,True,48,3
2009.0,2009-12-20,14.0,15.0,24.174,BAL,CHI,W 31-7,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Stephen Hauschka,True,31,7
2009.0,2009-12-27,15.0,16.0,24.181,BAL,PIT,L 20-23,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Hauschka,False,20,23
2009.0,2010-01-03,16.0,17.0,24.188,BAL,OAK,W 21-13,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Hauschka,True,21,13
2009.0,2010-01-03,16.0,17.0,,ATL,TAM,W 20-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Stephen Hauschka,True,20,10
2010.0,2010-12-12,13.0,14.0,25.166,DEN,ARI,L 13-43,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,13,43
2010.0,2010-12-19,14.0,15.0,25.173,DEN,OAK,L 23-39,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,23,39
2010.0,2010-12-26,15.0,16.0,25.18,DEN,HOU,W 24-23,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,24,23
2010.0,2011-01-02,16.0,17.0,25.187,DEN,SDG,L 28-33,False,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,False,28,33
2011.0,2011-09-11,1.0,1.0,26.074,SEA,SFO,L 17-33,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,17,33
2011.0,2011-09-18,2.0,2.0,26.081,SEA,PIT,L 0-24,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Stephen Hauschka,False,0,24
2011.0,2011-09-25,3.0,3.0,26.088,SEA,ARI,W 13-10,False,1,1,100.0,2,2,100.0,0,7,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,True,13,10
2011.0,2011-10-02,4.0,4.0,26.095,SEA,ATL,L 28-30,False,4,4,100.0,,1,0.0,0,4,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Stephen Hauschka,False,28,30
2011.0,2011-10-09,5.0,5.0,26.102,SEA,NYG,W 36-25,False,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,True,36,25
2011.0,2011-10-23,6.0,7.0,26.116,SEA,CLE,L 3-6,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Stephen Hauschka,False,3,6
