Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2006.0,2006-10-15,6.0,6.0,23.154,SFO,SDG,L 19-48,True,10,55,5.50,0,7,5,35,7.00,0,71.4%,5.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,19,48
2006.0,2006-10-29,7.0,8.0,23.168,SFO,CHI,L 10-41,True,12,111,9.25,0,4,2,9,4.50,0,50.0%,2.25,,0,0,1,0,0,0,0,0,,,,,,,True,Frank Gore,False,10,41
2006.0,2006-11-05,8.0,9.0,23.175,SFO,MIN,W 9-3,True,19,41,2.16,0,7,5,36,7.20,0,71.4%,5.14,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,9,3
2006.0,2006-11-12,9.0,10.0,23.182,SFO,DET,W 19-13,True,22,159,7.23,1,3,2,14,7.00,0,66.7%,4.67,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,19,13
2006.0,2006-11-19,10.0,11.0,23.189,SFO,SEA,W 20-14,True,24,212,8.83,0,4,4,26,6.50,0,100.0%,6.50,,0,0,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,20,14
2006.0,2006-11-26,11.0,12.0,23.196,SFO,STL,L 17-20,True,21,134,6.38,1,4,4,31,7.75,0,100.0%,7.75,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,False,17,20
2006.0,2006-12-03,12.0,13.0,23.203,SFO,NOR,L 10-34,True,13,40,3.08,0,7,5,28,5.60,0,71.4%,4.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,10,34
2006.0,2006-12-10,13.0,14.0,23.21,SFO,GNB,L 19-30,True,18,130,7.22,1,4,3,38,12.67,0,75.0%,9.50,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,False,19,30
2006.0,2006-12-14,14.0,15.0,23.214,SFO,SEA,W 24-14,True,29,144,4.97,0,7,4,34,8.50,1,57.1%,4.86,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,True,24,14
2006.0,2006-12-24,15.0,16.0,23.224,SFO,ARI,L 20-26,True,11,51,4.64,2,7,6,35,5.83,0,85.7%,5.00,,2,12,0,,0,0,0,0,,,,,,,False,Frank Gore,False,20,26
2006.0,2006-12-31,16.0,17.0,23.231,SFO,DEN,W 26-23,True,31,153,4.94,0,5,2,32,16.00,0,40.0%,6.40,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,True,26,23
2007.0,2007-09-10,1.0,1.0,24.119,SFO,ARI,W 20-17,True,18,55,3.06,1,3,1,21,21.00,0,33.3%,7.00,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,17
2007.0,2007-09-16,2.0,2.0,24.125,SFO,STL,W 17-16,True,20,81,4.05,2,4,2,4,2.00,0,50.0%,1.00,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,17,16
2007.0,2007-09-23,3.0,3.0,24.132,SFO,PIT,L 16-37,True,14,39,2.79,0,2,2,12,6.00,0,100.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,16,37
2007.0,2007-09-30,4.0,4.0,24.139,SFO,SEA,L 3-23,True,16,79,4.94,0,5,3,42,14.00,0,60.0%,8.40,,0,0,2,1,0,1,0,0,,,,,,,False,Frank Gore,False,3,23
2007.0,2007-10-07,5.0,5.0,24.146,SFO,BAL,L 7-9,True,16,52,3.25,0,5,3,23,7.67,0,60.0%,4.60,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,7,9
2007.0,2007-10-21,6.0,7.0,24.16,SFO,NYG,L 15-33,True,14,88,6.29,0,3,3,23,7.67,0,100.0%,7.67,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,15,33
2007.0,2007-10-28,7.0,8.0,24.167,SFO,NOR,L 10-31,True,12,41,3.42,0,1,1,0,0.00,0,100.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,10,31
2007.0,2007-11-04,8.0,9.0,,SFO,ATL,L 16-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Frank Gore,False,16,20
2007.0,2007-11-12,9.0,10.0,24.182,SFO,SEA,L 0-24,True,13,72,5.54,0,2,2,7,3.50,0,100.0%,3.50,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,0,24
2007.0,2007-11-18,10.0,11.0,24.188,SFO,STL,L 9-13,True,15,32,2.13,0,7,5,31,6.20,0,71.4%,4.43,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,9,13
2007.0,2007-11-25,11.0,12.0,24.195,SFO,ARI,W 37-31,True,21,116,5.52,2,12,11,98,8.91,0,91.7%,8.17,,2,12,0,,0,0,0,0,,,,,,,True,Frank Gore,True,37,31
2007.0,2007-12-02,12.0,13.0,24.202,SFO,CAR,L 14-31,True,12,58,4.83,0,5,5,53,10.60,0,100.0%,10.60,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,14,31
2007.0,2007-12-09,13.0,14.0,24.209,SFO,MIN,L 7-27,True,16,68,4.25,0,10,8,49,6.13,0,80.0%,4.90,,0,0,2,2,0,0,0,0,,,,,,,False,Frank Gore,False,7,27
2007.0,2007-12-15,14.0,15.0,24.215,SFO,CIN,W 20-13,True,29,138,4.76,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,13
2007.0,2007-12-23,15.0,16.0,24.223,SFO,TAM,W 21-19,True,21,89,4.24,0,6,4,43,10.75,1,66.7%,7.17,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,21,19
2007.0,2007-12-30,16.0,17.0,24.23,SFO,CLE,L 7-20,True,23,94,4.09,0,3,2,21,10.50,0,66.7%,7.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,7,20
2008.0,2008-09-07,1.0,1.0,25.116,SFO,ARI,L 13-23,True,14,96,6.86,1,4,4,55,13.75,0,100.0%,13.75,,1,6,1,0,0,0,0,0,,,,,,,False,Frank Gore,False,13,23
2008.0,2008-09-14,2.0,2.0,25.123,SFO,SEA,W 33-30,True,19,61,3.21,1,5,5,38,7.60,0,100.0%,7.60,,1,6,1,1,0,0,0,0,,,,,,,True,Frank Gore,True,33,30
2008.0,2008-09-21,3.0,3.0,25.13,SFO,DET,W 31-13,True,27,130,4.81,1,4,4,32,8.00,0,100.0%,8.00,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,31,13
2008.0,2008-09-28,4.0,4.0,25.137,SFO,NOR,L 17-31,True,16,82,5.13,0,5,2,31,15.50,0,40.0%,6.20,1,0,2,0,,0,0,0,0,,,,,,,True,Frank Gore,False,17,31
2008.0,2008-10-05,5.0,5.0,25.144,SFO,NWE,L 21-30,True,12,54,4.50,0,5,4,24,6.00,1,80.0%,4.80,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,False,21,30
2008.0,2008-10-12,6.0,6.0,25.151,SFO,PHI,L 26-40,True,19,101,5.32,1,4,3,16,5.33,0,75.0%,4.00,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,False,26,40
2008.0,2008-10-19,7.0,7.0,25.158,SFO,NYG,L 17-29,True,11,11,1.00,0,5,3,50,16.67,0,60.0%,10.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,17,29
2008.0,2008-10-26,8.0,8.0,25.165,SFO,SEA,L 13-34,True,18,94,5.22,0,13,7,65,9.29,0,53.8%,5.00,,0,0,0,,0,0,0,0,,,,,,,False,Frank Gore,False,13,34
2008.0,2008-11-10,9.0,10.0,25.18,SFO,ARI,L 24-29,True,23,99,4.30,0,6,1,6,6.00,0,16.7%,1.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,24,29
2008.0,2008-11-16,10.0,11.0,25.186,SFO,STL,W 35-16,True,18,106,5.89,2,3,2,8,4.00,0,66.7%,2.67,,2,12,1,1,0,0,0,0,,,,,,,False,Frank Gore,True,35,16
2008.0,2008-11-23,11.0,12.0,25.193,SFO,DAL,L 22-35,True,14,26,1.86,0,3,1,6,6.00,0,33.3%,2.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,22,35
2008.0,2008-11-30,12.0,13.0,25.2,SFO,BUF,W 10-3,True,24,66,2.75,0,4,3,23,7.67,0,75.0%,5.75,,0,0,2,1,0,1,0,0,,,,,,,True,Frank Gore,True,10,3
2008.0,2008-12-07,13.0,14.0,25.207,SFO,NYJ,W 24-14,True,14,52,3.71,0,4,3,13,4.33,1,75.0%,3.25,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,24,14
2008.0,2008-12-14,14.0,15.0,,SFO,MIA,L 9-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Frank Gore,False,9,14
2008.0,2008-12-21,15.0,16.0,,SFO,STL,W 17-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Frank Gore,True,17,16
2008.0,2008-12-28,16.0,17.0,25.228,SFO,WAS,W 27-24,True,11,58,5.27,0,1,1,6,6.00,0,100.0%,6.00,,0,0,1,0,0,0,0,0,,,,,,,False,Frank Gore,True,27,24
2009.0,2009-09-13,1.0,1.0,26.122,SFO,ARI,W 20-16,True,22,30,1.36,1,5,3,18,6.00,1,60.0%,3.60,,2,12,1,0,0,0,0,0,,,,,,,True,Frank Gore,True,20,16
2009.0,2009-09-20,2.0,2.0,26.129,SFO,SEA,W 23-10,True,16,207,12.94,2,5,5,39,7.80,0,100.0%,7.80,,2,12,0,,0,0,0,0,,,,,,,False,Frank Gore,True,23,10
2009.0,2009-09-27,3.0,3.0,26.136,SFO,MIN,L 24-27,True,1,4,4.00,0,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,24,27
2009.0,2009-10-04,4.0,4.0,,SFO,STL,W 35-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Frank Gore,True,35,0
2009.0,2009-10-11,5.0,5.0,,SFO,ATL,L 10-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Frank Gore,False,10,45
2009.0,2009-10-25,6.0,7.0,26.164,SFO,HOU,L 21-24,True,13,32,2.46,0,3,2,15,7.50,0,66.7%,5.00,,0,0,0,,0,0,0,0,,,,,,,True,Frank Gore,False,21,24
2009.0,2009-11-01,7.0,8.0,26.171,SFO,IND,L 14-18,True,13,91,7.00,1,6,5,43,8.60,0,83.3%,7.17,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,False,14,18
2009.0,2009-11-08,8.0,9.0,26.178,SFO,TEN,L 27-34,True,15,83,5.53,1,9,7,75,10.71,0,77.8%,8.33,,1,6,0,,0,1,0,0,,,,,,,False,Frank Gore,False,27,34
2009.0,2009-11-12,9.0,10.0,26.182,SFO,CHI,W 10-6,True,25,104,4.16,1,4,4,21,5.25,0,100.0%,5.25,,1,6,1,0,0,0,0,0,,,,,,,False,Frank Gore,True,10,6
2009.0,2009-11-22,10.0,11.0,26.192,SFO,GNB,L 24-30,True,7,59,8.43,0,6,3,9,3.00,1,50.0%,1.50,,1,6,0,,0,0,0,0,,,,,,,True,Frank Gore,False,24,30
2009.0,2009-11-29,11.0,12.0,26.199,SFO,JAX,W 20-3,True,16,33,2.06,0,10,7,14,2.00,1,70.0%,1.40,,1,6,0,,0,0,0,0,,,,,,,False,Frank Gore,True,20,3
2009.0,2009-12-06,12.0,13.0,26.206,SFO,SEA,L 17-20,True,9,25,2.78,0,8,5,37,7.40,0,62.5%,4.63,,0,0,1,1,0,0,0,0,,,,,,,True,Frank Gore,False,17,20
