Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-04,12.0,13.0,24.062,WAS,ARI,L 23-31,True,14,63,4.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,34,57%,0,0%,0,0%,True,Robert Kelley,False,23,31
2016.0,2016-12-11,13.0,14.0,24.069,WAS,PHI,W 27-22,True,16,63,3.94,1,2,2,25,12.50,0,100.0%,12.50,0,0,,0,1,6,31,65%,0,0%,0,0%,True,Robert Kelley,True,27,22
2016.0,2016-12-19,14.0,15.0,24.077,WAS,CAR,L 15-26,True,9,8,0.89,1,4,4,47,11.75,0,100.0%,11.75,0,0,,0,1,6,29,45%,0,0%,0,0%,False,Robert Kelley,False,15,26
2016.0,2016-12-24,15.0,16.0,24.082,WAS,CHI,W 41-21,True,19,76,4.00,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,34,51%,0,0%,1,4%,True,Robert Kelley,True,41,21
2016.0,2017-01-01,16.0,17.0,24.09,WAS,NYG,L 10-19,True,12,33,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0,24,44%,0,0%,0,0%,False,Robert Kelley,False,10,19
2017.0,2017-09-10,1.0,1.0,24.342,WAS,PHI,L 17-30,True,10,30,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,33,52%,0,0%,0,0%,False,Robert Kelley,False,17,30
2017.0,2017-09-17,2.0,2.0,24.349,WAS,LAR,W 27-20,True,12,78,6.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,16,23%,0,0%,0,0%,True,Robert Kelley,True,27,20
2017.0,2017-09-24,3.0,3.0,,WAS,OAK,W 27-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Kelley,True,27,10
2017.0,2017-10-02,4.0,4.0,24.364,WAS,KAN,L 20-29,True,7,23,3.29,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,12,24%,0,0%,0,0%,True,Robert Kelley,False,20,29
2017.0,2017-10-15,5.0,6.0,,WAS,SFO,W 26-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Robert Kelley,True,26,24
2017.0,2017-10-23,6.0,7.0,25.02,WAS,PHI,L 24-34,True,7,16,2.29,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,27,42%,0,0%,0,0%,True,Robert Kelley,False,24,34
2017.0,2017-10-29,7.0,8.0,25.026,WAS,DAL,L 19-33,True,8,19,2.38,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,12,20%,0,0%,2,6%,False,Robert Kelley,False,19,33
2017.0,2017-11-05,8.0,9.0,25.033,WAS,SEA,W 17-14,True,14,18,1.29,2,0,0,0,,0,0.0%,,1,16,16.00,0,2,12,26,41%,0,0%,9,32%,True,Robert Kelley,True,17,14
2017.0,2017-11-12,9.0,10.0,25.04,WAS,MIN,L 30-38,True,4,10,2.50,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,10,13%,0,0%,2,7%,False,Robert Kelley,False,30,38
2017.0,2017-11-19,10.0,11.0,,WAS,NOR,L 31-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,31,34
2017.0,2017-11-23,11.0,12.0,,WAS,NYG,W 20-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,20,10
2017.0,2017-11-30,12.0,13.0,,WAS,DAL,L 14-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,14,38
2017.0,2017-12-10,13.0,14.0,,WAS,LAC,L 13-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,13,30
2017.0,2017-12-17,14.0,15.0,,WAS,ARI,W 20-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,20,15
2017.0,2017-12-24,15.0,16.0,,WAS,DEN,W 27-11,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,27,11
2017.0,2017-12-31,16.0,17.0,,WAS,NYG,L 10-18,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,10,18
2018.0,2018-09-09,1.0,1.0,25.341,WAS,ARI,W 24-6,False,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,8,10%,0,0%,9,45%,True,Robert Kelley,True,24,6
2018.0,2018-09-16,2.0,2.0,25.348,WAS,IND,L 9-21,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,1,1%,0,0%,9,36%,False,Robert Kelley,False,9,21
2018.0,2018-09-23,3.0,3.0,,WAS,GNB,W 31-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,31,17
2018.0,2018-10-08,4.0,5.0,,WAS,NOR,L 19-43,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,19,43
2018.0,2018-10-14,5.0,6.0,,WAS,CAR,W 23-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,23,17
2018.0,2018-10-21,6.0,7.0,,WAS,DAL,W 20-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,True,20,17
2018.0,2018-10-28,7.0,8.0,,WAS,NYG,W 20-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,True,20,13
2018.0,2018-11-04,8.0,9.0,,WAS,ATL,L 14-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,False,14,38
2018.0,2018-11-11,9.0,10.0,,WAS,TAM,W 16-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,True,16,3
2018.0,2018-11-18,10.0,11.0,,WAS,HOU,L 21-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,False,21,23
2018.0,2018-11-22,11.0,12.0,,WAS,DAL,L 23-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,23,31
2018.0,2018-12-03,12.0,13.0,,WAS,PHI,L 13-28,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,13,28
2018.0,2018-12-09,13.0,14.0,,WAS,NYG,L 16-40,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,False,16,40
2018.0,2018-12-16,14.0,15.0,,WAS,JAX,W 16-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,True,16,13
2018.0,2018-12-22,15.0,16.0,,WAS,TEN,L 16-25,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Robert Kelley,False,16,25
2018.0,2018-12-30,16.0,17.0,,WAS,PHI,L 0-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Robert Kelley,False,0,24
,23 Games,,,,,,11-11-1,False,234,906,3.87,9,25,16,100,6.25,1,64.0%,4.00,1,16,16.00,0,10,60,,,,,,,False,Robert Kelley,False,11,1
