Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-17,2.0,2.0,22.239,PHI,KAN,L 20-27,False,0,0,,0,0,0,,0,0,,,2.0,2.0,100.0,2.0,3.0,66.7,0,8,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,10.0,33%,True,Jake Elliott,False,20,27
2017.0,2017-09-24,3.0,3.0,22.246,PHI,NYG,W 27-24,False,0,0,,0,0,0,,0,0,,,3.0,3.0,100.0,2.0,3.0,66.7,0,9,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,11.0,39%,False,Jake Elliott,True,27,24
2017.0,2017-10-01,4.0,4.0,22.253,PHI,LAC,W 26-24,False,0,0,,0,0,0,,0,0,,,2.0,2.0,100.0,4.0,4.0,100.0,0,14,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,13.0,48%,True,Jake Elliott,True,26,24
2017.0,2017-10-08,5.0,5.0,22.26,PHI,ARI,W 34-7,False,0,0,,0,0,0,,0,0,,,4.0,4.0,100.0,2.0,2.0,100.0,0,10,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,13.0,46%,False,Jake Elliott,True,34,7
2017.0,2017-10-12,6.0,6.0,22.264,PHI,CAR,W 28-23,False,0,0,,0,0,0,,0,0,,,2.0,2.0,100.0,2.0,2.0,100.0,0,8,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,11.0,34%,True,Jake Elliott,True,28,23
2017.0,2017-10-23,7.0,7.0,22.275,PHI,WAS,W 34-24,False,0,0,,0,0,0,,0,0,,,4.0,4.0,100.0,2.0,3.0,66.7,0,10,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,14.0,44%,False,Jake Elliott,True,34,24
2017.0,2017-10-29,8.0,8.0,22.281,PHI,SFO,W 33-10,False,0,0,,0,0,0,,0,0,,,1.0,3.0,33.3,2.0,2.0,100.0,0,7,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,12.0,38%,False,Jake Elliott,True,33,10
2017.0,2017-11-05,9.0,9.0,22.288,PHI,DEN,W 51-23,False,0,0,,0,0,0,,0,0,,,6.0,7.0,85.7,1.0,1.0,100.0,0,9,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,17.0,47%,False,Jake Elliott,True,51,23
2017.0,2017-11-19,10.0,11.0,22.302,PHI,DAL,W 37-9,False,0,0,,0,0,0,,0,0,,,1.0,1.0,100.0,,1.0,0.0,0,1,0.0,1,0,1,0.0,0.0,0,0,,0,0.0,0%,0.0,0%,4.0,15%,True,Jake Elliott,True,37,9
2017.0,2017-11-26,11.0,12.0,22.309,PHI,CHI,W 31-3,False,0,0,,0,0,0,,0,0,,,4.0,4.0,100.0,1.0,1.0,100.0,0,7,0.0,0,0,0,,,0,0,,0,0.0,0%,0.0,0%,11.0,48%,False,Jake Elliott,True,31,3
