Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2005,2005-11-27,11,12,26.157,SDG,WAS,True,25,184,7.36,3,9,6,29,4.83,0,66.7%,3.22,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,18,1,0,0,1,0,0,True,True,23,17,LaDainian Tomlinson
2005,2005-12-04,12,13,26.164,SDG,OAK,True,25,86,3.44,0,5,5,24,4.80,0,100.0%,4.80,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,34,10,LaDainian Tomlinson
2005,2005-12-11,13,14,26.171,SDG,MIA,True,21,75,3.57,0,5,1,0,0.00,0,20.0%,0.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,False,21,23,LaDainian Tomlinson
2005,2005-12-18,14,15,26.178,SDG,IND,True,24,76,3.17,0,5,4,9,2.25,0,80.0%,1.80,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,26,17,LaDainian Tomlinson
2005,2005-12-24,15,16,26.184,SDG,KAN,True,14,47,3.36,0,7,3,18,6.00,0,42.9%,2.57,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,7,20,LaDainian Tomlinson
2005,2005-12-31,16,17,26.191,SDG,DEN,True,19,92,4.84,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,False,False,7,23,LaDainian Tomlinson
2006,2006-09-11,1,1,27.080,SDG,OAK,True,31,131,4.23,1,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,27,0,LaDainian Tomlinson
2006,2006-09-17,2,2,27.086,SDG,TEN,True,19,71,3.74,2,8,7,51,7.29,0,87.5%,6.38,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,12,0,,0,0,0,0,False,True,40,7,LaDainian Tomlinson
2006,2006-10-01,3,4,27.100,SDG,BAL,True,26,98,3.77,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,13,16,LaDainian Tomlinson
2006,2006-10-08,4,5,27.107,SDG,PIT,True,13,36,2.77,0,10,8,34,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,23,13,LaDainian Tomlinson
2006,2006-10-15,5,6,27.114,SDG,SFO,True,21,71,3.38,4,8,7,64,9.14,0,87.5%,8.00,0,0,,0,0,0,,0,,,,4,24,1,0,0,0,0,0,True,True,48,19,LaDainian Tomlinson
2006,2006-10-22,6,7,27.121,SDG,KAN,True,15,66,4.40,0,10,6,72,12.00,1,60.0%,7.20,1,1,100.00,1,1,0,118.7,0,0,1.00,21.00,1,6,1,1,0,0,0,0,True,False,27,30,LaDainian Tomlinson
