Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,22.066,NOR,OAK,L 34-35,False,0,0,,0,4,4,100.0,2,4,50.0,0,10,0.0,0,0,0,,,0,0%,0,0%,15,48%,False,Wil Lutz,False,34,35
2016.0,2016-09-18,2.0,2.0,22.073,NOR,NYG,L 13-16,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0%,0,0%,8,30%,True,Wil Lutz,False,13,16
2016.0,2016-09-26,3.0,3.0,22.081,NOR,ATL,L 32-45,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0%,0,0%,9,31%,False,Wil Lutz,False,32,45
2016.0,2016-10-02,4.0,4.0,22.087,NOR,SDG,W 35-34,False,0,0,,0,5,5,100.0,,,,0,5,0.0,0,0,0,,,0,0%,0,0%,11,33%,True,Wil Lutz,True,35,34
2016.0,2016-10-16,5.0,6.0,22.101,NOR,CAR,W 41-38,False,0,0,,0,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,0%,0,0%,16,43%,False,Wil Lutz,True,41,38
2016.0,2016-10-23,6.0,7.0,22.108,NOR,KAN,L 21-27,False,0,0,,0,3,3,100.0,,,,0,3,0.0,0,0,0,,,0,0%,0,0%,7,27%,True,Wil Lutz,False,21,27
2016.0,2016-10-30,7.0,8.0,22.115,NOR,SEA,W 25-20,False,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,1,0,1,0,0,0,0%,0,0%,12,44%,False,Wil Lutz,True,25,20
2016.0,2016-11-06,8.0,9.0,22.122,NOR,SFO,W 41-23,False,0,0,,0,5,5,100.0,2,3,66.7,0,11,0.0,0,0,0,,,0,0%,0,0%,15,47%,True,Wil Lutz,True,41,23
2016.0,2016-11-13,9.0,10.0,22.129,NOR,DEN,L 23-25,False,0,0,,0,2,3,66.7,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,8,30%,False,Wil Lutz,False,23,25
2016.0,2016-11-17,10.0,11.0,22.133,NOR,CAR,L 20-23,False,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,0,0,0,,,0,0%,0,0%,10,31%,True,Wil Lutz,False,20,23
