Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2007.0,2007-09-09,1.0,1.0,21.345,DET,OAK,W 36-21,False,5,4,70,17.50,1,80.0%,14.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Calvin Johnson,True,36,21
2007.0,2007-09-16,2.0,2.0,21.352,DET,MIN,W 20-17,True,10,4,61,15.25,1,40.0%,6.10,1,7,7.00,0,,1,6,0,,0,0,0,0,,,,,,,False,Calvin Johnson,True,20,17
2007.0,2007-09-23,3.0,3.0,21.359,DET,PHI,L 21-56,True,2,2,58,29.00,0,100.0%,29.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,21,56
2007.0,2007-09-30,4.0,4.0,,DET,CHI,W 37-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Calvin Johnson,True,37,27
2007.0,2007-10-07,5.0,5.0,22.008,DET,WAS,L 3-34,False,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,3,34
2007.0,2007-10-21,6.0,7.0,22.022,DET,TAM,W 23-16,True,3,2,37,18.50,0,66.7%,12.33,1,32,32.00,1,,1,6,0,,0,0,0,0,,,,,,,False,Calvin Johnson,True,23,16
2007.0,2007-10-28,7.0,8.0,22.029,DET,CHI,W 16-7,True,4,2,44,22.00,0,50.0%,11.00,1,11,11.00,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,True,16,7
2007.0,2007-11-04,8.0,9.0,22.036,DET,DEN,W 44-7,False,5,3,47,15.67,0,60.0%,9.40,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Calvin Johnson,True,44,7
2007.0,2007-11-11,9.0,10.0,22.043,DET,ARI,L 21-31,True,5,3,37,12.33,0,60.0%,7.40,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,21,31
2007.0,2007-11-18,10.0,11.0,22.05,DET,NYG,L 10-16,False,3,3,45,15.00,1,100.0%,15.00,0,0,,0,,1,6,1,0,0,0,0,0,,,,,,,False,Calvin Johnson,False,10,16
2007.0,2007-11-22,11.0,12.0,22.054,DET,GNB,L 26-37,True,15,7,83,11.86,1,46.7%,5.53,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,26,37
2007.0,2007-12-02,12.0,13.0,22.064,DET,MIN,L 10-42,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,10,42
2007.0,2007-12-09,13.0,14.0,22.071,DET,DAL,L 27-28,True,8,5,51,10.20,0,62.5%,6.38,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,27,28
2007.0,2007-12-16,14.0,15.0,22.078,DET,SDG,L 14-51,True,11,5,102,20.40,0,45.5%,9.27,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,14,51
2007.0,2007-12-23,15.0,16.0,22.085,DET,KAN,W 25-20,True,5,2,47,23.50,0,40.0%,9.40,1,2,2.00,0,,0,0,0,,0,0,0,0,,,,,,,False,Calvin Johnson,True,25,20
2007.0,2007-12-30,16.0,17.0,22.092,DET,GNB,L 13-34,True,12,4,54,13.50,0,33.3%,4.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,13,34
2008.0,2008-09-07,1.0,1.0,22.344,DET,ATL,L 21-34,True,10,7,107,15.29,0,70.0%,10.70,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,21,34
2008.0,2008-09-14,2.0,2.0,22.351,DET,GNB,L 25-48,True,12,6,129,21.50,2,50.0%,10.75,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,25,48
2008.0,2008-09-21,3.0,3.0,22.358,DET,SFO,L 13-31,True,10,4,40,10.00,0,40.0%,4.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,13,31
2008.0,2008-10-05,4.0,5.0,23.006,DET,CHI,L 7-34,True,6,2,16,8.00,0,33.3%,2.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,7,34
2008.0,2008-10-12,5.0,6.0,23.013,DET,MIN,L 10-12,True,7,4,85,21.25,1,57.1%,12.14,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Calvin Johnson,False,10,12
2008.0,2008-10-19,6.0,7.0,23.02,DET,HOU,L 21-28,True,4,2,154,77.00,1,50.0%,38.50,1,-2,-2.00,0,1,1,8,0,,0,1,0,0,,,,,,,True,Calvin Johnson,False,21,28
2008.0,2008-10-26,7.0,8.0,23.027,DET,WAS,L 17-25,True,6,4,57,14.25,1,66.7%,9.50,1,7,7.00,0,,1,6,1,0,0,1,0,0,,,,,,,False,Calvin Johnson,False,17,25
2008.0,2008-11-02,8.0,9.0,23.034,DET,CHI,L 23-27,True,17,8,94,11.75,1,47.1%,5.53,1,-6,-6.00,0,,1,6,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,23,27
2008.0,2008-11-09,9.0,10.0,23.041,DET,JAX,L 14-38,True,7,2,92,46.00,0,28.6%,13.14,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,14,38
2008.0,2008-11-16,10.0,11.0,23.048,DET,CAR,L 22-31,True,10,6,65,10.83,1,60.0%,6.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Calvin Johnson,False,22,31
2008.0,2008-11-23,11.0,12.0,23.055,DET,TAM,L 20-38,True,6,3,66,22.00,1,50.0%,11.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Calvin Johnson,False,20,38
