Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-11-23,11,12,22.107,IND,@,SDG,W 23-20,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2008,2008-11-30,12,13,22.114,IND,@,CLE,W 10-6,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Pierre Garcon
2008,2008-12-07,13,14,22.121,IND,,CIN,W 35-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2008,2008-12-14,14,15,,IND,,DET,W 31-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Pierre Garcon
2008,2008-12-18,15,16,22.132,IND,@,JAX,W 31-24,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,32,32.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2008,2008-12-28,16,17,22.142,IND,,TEN,W 23-0,False,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,1,22,22.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-09-13,1,1,23.036,IND,,JAX,W 14-12,False,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Pierre Garcon
2009,2009-09-21,2,2,23.044,IND,@,MIA,W 27-23,True,3,1,48,48.00,1,33.3%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-09-27,3,3,23.050,IND,@,ARI,W 31-10,True,5,3,64,21.33,1,60.0%,12.80,1,17,17.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Pierre Garcon
2009,2009-10-04,4,4,23.057,IND,,SEA,W 34-17,True,4,3,71,23.67,0,75.0%,17.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Pierre Garcon
