Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2001,2001-09-09,1,1,23.115,SFO,ATL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,154,30.80,0,False,True,16,13,Jason Baker
2001,2001-09-23,2,2,23.129,SFO,STL,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,5,180,36.00,0,False,False,26,30,Jason Baker
2001,2001-10-01,3,3,23.137,SFO,NYJ,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,2,78,39.00,0,True,True,19,17,Jason Baker
2001,2001-10-07,4,4,23.143,SFO,CAR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,229,38.17,0,False,True,24,14,Jason Baker
2001,2001-10-14,5,5,23.150,SFO,ATL,False,0,0,,0,0.0,1,0,1,0,,0,,0,0,0,0,4,197,49.25,0,True,True,37,31,Jason Baker
2001,2001-10-28,6,7,23.164,SFO,CHI,False,1,0,0.00,0,0.0,,,,,,0,,0,0,0,0,3,129,43.00,0,True,False,31,37,Jason Baker
2001,2001-11-04,7,8,23.171,SFO,DET,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,26,26.00,0,False,True,21,13,Jason Baker
2001,2001-11-11,8,9,23.178,SFO,NOR,False,0,0,,0,0.0,0,1,1,0,,0,,0,0,0,0,6,260,43.33,0,False,True,28,27,Jason Baker
2001,2001-11-18,9,10,23.185,SFO,CAR,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,7,344,49.14,0,True,True,25,22,Jason Baker
2001,2001-11-25,10,11,23.192,SFO,IND,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,255,42.50,0,True,True,40,21,Jason Baker
2001,2001-12-02,11,12,23.199,SFO,BUF,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,1,47,47.00,0,False,True,35,0,Jason Baker
2001,2001-12-09,12,13,23.206,SFO,STL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,5,199,39.80,0,True,False,14,27,Jason Baker
2001,2001-12-16,13,14,23.213,SFO,MIA,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,154,38.50,0,False,True,21,0,Jason Baker
2001,2001-12-22,14,15,23.219,SFO,PHI,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,6,246,41.00,0,False,True,13,3,Jason Baker
2001,2001-12-30,15,16,23.227,SFO,DAL,False,0,0,,0,0.0,,,,,,0,,0,0,0,0,4,154,38.50,0,True,False,21,27,Jason Baker
