Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,22.236,MIA,WAS,W 17-10,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,2%,0,0%,0,0%,True,DeVante Parker,True,17,10
2015.0,2015-09-20,2.0,2.0,22.243,MIA,JAX,L 20-23,False,1,1,3,3.00,0,100.0%,3.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,25%,0,0%,0,0%,True,DeVante Parker,False,20,23
2015.0,2015-09-27,3.0,3.0,22.25,MIA,BUF,L 14-41,False,7,3,46,15.33,0,42.9%,6.57,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,54%,0,0%,0,0%,False,DeVante Parker,False,14,41
2015.0,2015-10-04,4.0,4.0,22.257,MIA,NYJ,L 14-27,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,36%,0,0%,0,0%,False,DeVante Parker,False,14,27
2015.0,2015-10-18,5.0,6.0,22.271,MIA,TEN,W 38-10,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,9%,0,0%,0,0%,True,DeVante Parker,True,38,10
2015.0,2015-10-25,6.0,7.0,22.278,MIA,HOU,W 44-26,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,29%,0,0%,2,5%,False,DeVante Parker,True,44,26
2015.0,2015-10-29,7.0,8.0,22.282,MIA,NWE,L 7-36,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,0,0%,True,DeVante Parker,False,7,36
2015.0,2015-11-08,8.0,9.0,,MIA,BUF,L 17-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,DeVante Parker,False,17,33
2015.0,2015-11-15,9.0,10.0,,MIA,PHI,W 20-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,DeVante Parker,True,20,19
2015.0,2015-11-22,10.0,11.0,22.306,MIA,DAL,L 14-24,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,8%,0,0%,0,0%,False,DeVante Parker,False,14,24
2015.0,2015-11-29,11.0,12.0,22.313,MIA,NYJ,L 20-38,False,10,4,80,20.00,1,40.0%,8.00,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,82%,0,0%,0,0%,True,DeVante Parker,False,20,38
2015.0,2015-12-06,12.0,13.0,22.32,MIA,BAL,W 15-13,True,5,3,63,21.00,1,60.0%,12.60,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,90%,0,0%,0,0%,False,DeVante Parker,True,15,13
