Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
1997,1997-08-31,1,1,24.086,MIA,IND,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,5,235,47.00,0,,,,,,,False,True,16,10,Olindo Mare
1997,1997-09-07,2,2,24.093,MIA,TEN,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,16,13,Olindo Mare
1997,1997-09-14,3,3,24.100,MIA,GNB,False,0,0,,0,,,,4,4,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,18,23,Olindo Mare
1997,1997-09-21,4,4,24.107,MIA,TAM,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,21,31,Olindo Mare
1997,1997-10-05,5,6,24.121,MIA,KAN,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,14,Olindo Mare
1997,1997-10-12,6,7,24.128,MIA,NYJ,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,20,Olindo Mare
1997,1997-10-19,7,8,24.135,MIA,BAL,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,13,Olindo Mare
1997,1997-10-27,8,9,24.143,MIA,CHI,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,False,33,36,Olindo Mare
1997,1997-11-02,9,10,24.149,MIA,BUF,False,0,0,,0,,,,2,3,66.7,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,6,9,Olindo Mare
1997,1997-11-09,10,11,24.156,MIA,NYJ,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,24,17,Olindo Mare
1997,1997-11-17,11,12,24.164,MIA,BUF,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,30,13,Olindo Mare
1997,1997-11-23,12,13,24.170,MIA,NWE,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,27,Olindo Mare
1997,1997-11-30,13,14,24.177,MIA,OAK,False,0,0,,0,4,4,100.0,2,3,66.7,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,16,Olindo Mare
1997,1997-12-07,14,15,24.184,MIA,DET,False,0,0,,0,3,3,100.0,4,4,100.0,0,15,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,33,30,Olindo Mare
1997,1997-12-14,15,16,24.191,MIA,IND,False,0,0,,0,,,,,1,0.0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,0,41,Olindo Mare
1997,1997-12-22,16,17,24.199,MIA,NWE,False,0,0,,0,,,,2,3,66.7,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,12,14,Olindo Mare
1998,1998-09-06,1,1,25.092,MIA,IND,False,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,24,15,Olindo Mare
1998,1998-09-13,2,2,25.099,MIA,BUF,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,13,7,Olindo Mare
1998,1998-09-20,3,3,25.106,MIA,PIT,False,0,0,,0,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,True,21,0,Olindo Mare
1998,1998-10-04,4,5,25.120,MIA,NYJ,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,9,20,Olindo Mare
1998,1998-10-12,5,6,25.128,MIA,JAX,False,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,,,,0,,0,0,0,0,3,115,38.33,0,,,,,,,True,False,21,28,Olindo Mare
1998,1998-10-18,6,7,25.134,MIA,STL,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,,,,,,,False,True,14,0,Olindo Mare
1998,1998-10-25,7,8,25.141,MIA,NWE,False,0,0,,0,,,,4,4,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,12,9,Olindo Mare
1998,1998-11-01,8,9,25.148,MIA,BUF,False,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,24,30,Olindo Mare
1998,1998-11-08,9,10,25.155,MIA,IND,False,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,27,14,Olindo Mare
1998,1998-11-15,10,11,25.162,MIA,CAR,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,13,9,Olindo Mare
1998,1998-11-23,11,12,25.170,MIA,NWE,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,23,26,Olindo Mare
1998,1998-11-29,12,13,25.176,MIA,NOR,False,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,30,10,Olindo Mare
1998,1998-12-06,13,14,25.183,MIA,OAK,False,0,0,,0,3,3,100.0,2,4,50.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,27,17,Olindo Mare
1998,1998-12-13,14,15,25.190,MIA,NYJ,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,16,21,Olindo Mare
1998,1998-12-21,15,16,25.198,MIA,DEN,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,31,21,Olindo Mare
1998,1998-12-27,16,17,25.204,MIA,ATL,False,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,16,38,Olindo Mare
1999,1999-09-13,1,1,26.099,MIA,DEN,False,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,38,21,Olindo Mare
1999,1999-09-19,2,2,26.105,MIA,ARI,False,0,0,,0,1,1,100.0,4,5,80.0,0,13,0.0,,,,,,0,,0,0,0,0,1,36,36.00,0,,,,,,,False,True,19,16,Olindo Mare
1999,1999-10-04,3,4,26.120,MIA,BUF,False,0,0,,0,,,,4,4,100.0,0,12,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,False,18,23,Olindo Mare
1999,1999-10-10,4,5,26.126,MIA,IND,False,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,34,31,Olindo Mare
1999,1999-10-17,5,6,26.133,MIA,NWE,False,0,0,,0,1,1,100.0,6,6,100.0,0,19,0.0,1,0,1,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,31,30,Olindo Mare
1999,1999-10-24,6,7,26.140,MIA,PHI,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,16,13,Olindo Mare
1999,1999-10-31,7,8,26.147,MIA,OAK,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,True,16,9,Olindo Mare
1999,1999-11-07,8,9,26.154,MIA,TEN,False,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,,,,,,,False,True,17,0,Olindo Mare
1999,1999-11-14,9,10,26.161,MIA,BUF,False,0,0,,0,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0,,0,0,0,0,0,0,,0,,,,,,,True,False,3,23,Olindo Mare
