Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-10-26,7,8,,TAM,,MIN,L 13-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Josh McCown
2014,2014-11-02,8,9,,TAM,@,CLE,L 17-22,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Josh McCown
2014,2014-11-09,9,10,35.128,TAM,,ATL,L 17-27,True,27,43,62.79,301,2,2,79.7,4,20,7.00,5.84,5,39,7.80,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Josh McCown
2014,2014-11-16,10,11,35.135,TAM,@,WAS,W 27-7,True,15,23,65.22,288,2,0,137.5,2,7,12.52,14.26,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,50,100%,0,0%,0,0%,True,Josh McCown
2014,2014-11-23,11,12,35.142,TAM,@,CHI,L 13-21,True,25,48,52.08,341,1,2,64.7,5,40,7.10,5.65,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,76,100%,0,0%,0,0%,True,Josh McCown
2014,2014-11-30,12,13,35.149,TAM,,CIN,L 13-14,True,15,29,51.72,190,0,1,58.1,1,2,6.55,5.00,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,2,0,0,65,100%,0,0%,0,0%,False,Josh McCown
2014,2014-12-07,13,14,35.156,TAM,@,DET,L 17-34,True,20,39,51.28,250,2,2,67.3,6,43,6.41,5.13,4,8,2.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,-3,0,64,100%,0,0%,0,0%,True,Josh McCown
2014,2014-12-14,14,15,35.163,TAM,@,CAR,L 17-19,True,13,28,46.43,154,1,1,60.7,3,18,5.50,4.61,2,21,10.50,1,0,0,0,,0,0.0%,,,1,6,3,2,0,1,0,0,55,100%,0,0%,0,0%,True,Josh McCown
2014,2014-12-21,15,16,35.170,TAM,,GNB,L 3-20,True,12,26,46.15,147,0,1,48.1,7,54,5.65,3.92,0,0,,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,49,100%,0,0%,0,0%,False,Josh McCown
2014,2014-12-28,16,17,35.177,TAM,,NOR,L 20-23,True,14,23,60.87,115,1,1,70.0,3,18,5.00,3.91,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Josh McCown
