Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
1991,1991-09-01,1,1,21.309,SEA,NOR,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,24,27,John Kasay
1991,1991-09-08,2,2,21.316,SEA,NYJ,False,2,2,100.0,2,3,66.7,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,20,13,John Kasay
1991,1991-09-15,3,3,21.323,SEA,DEN,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,16,John Kasay
1991,1991-09-22,4,4,21.330,SEA,KAN,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,13,20,John Kasay
1991,1991-09-29,5,5,21.337,SEA,IND,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,31,3,John Kasay
1991,1991-10-06,6,6,21.344,SEA,CIN,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,13,7,John Kasay
1991,1991-10-13,7,7,21.351,SEA,RAI,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,20,23,John Kasay
1991,1991-10-20,8,8,21.358,SEA,PIT,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,27,7,John Kasay
1991,1991-10-27,9,9,22.000,SEA,SDG,False,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,20,9,John Kasay
1991,1991-11-10,10,11,22.014,SEA,SDG,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,17,John Kasay
1991,1991-11-17,11,12,22.021,SEA,RAI,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,7,31,John Kasay
1991,1991-11-24,12,13,22.028,SEA,DEN,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,13,10,John Kasay
1991,1991-12-01,13,14,22.035,SEA,KAN,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,6,19,John Kasay
1991,1991-12-08,14,15,22.042,SEA,SFO,False,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,22,24,John Kasay
1991,1991-12-15,15,16,22.049,SEA,ATL,False,1,1,100.0,2,3,66.7,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,13,26,John Kasay
1991,1991-12-22,16,17,22.056,SEA,RAM,False,2,3,66.7,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,23,9,John Kasay
1992,1992-09-06,1,1,22.315,SEA,CIN,False,,,,1,1,100.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,3,21,John Kasay
1992,1992-09-13,2,2,22.322,SEA,KAN,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,7,26,John Kasay
1992,1992-09-20,3,3,22.329,SEA,NWE,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,10,6,John Kasay
1992,1992-09-27,4,4,22.336,SEA,MIA,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,17,19,John Kasay
1992,1992-10-04,5,5,22.343,SEA,SDG,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,6,17,John Kasay
1992,1992-10-11,6,6,22.350,SEA,DAL,False,,,,,1,0.0,0,0,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,0,27,John Kasay
1992,1992-10-18,7,7,22.357,SEA,RAI,False,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,0,19,John Kasay
1992,1992-10-25,8,8,22.364,SEA,NYG,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,23,John Kasay
1992,1992-11-08,9,10,23.012,SEA,WAS,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,3,16,John Kasay
1992,1992-11-15,10,11,23.019,SEA,RAI,False,,,,1,2,50.0,0,3,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,3,20,John Kasay
1992,1992-11-22,11,12,23.026,SEA,KAN,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,24,John Kasay
1992,1992-11-30,12,13,23.034,SEA,DEN,False,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,16,13,John Kasay
1992,1992-12-06,13,14,23.040,SEA,PIT,False,2,2,100.0,,3,0.0,0,2,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,14,20,John Kasay
1992,1992-12-13,14,15,23.047,SEA,PHI,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,17,20,John Kasay
1992,1992-12-20,15,16,23.054,SEA,DEN,False,,,,2,2,100.0,0,6,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,6,10,John Kasay
1992,1992-12-27,16,17,23.061,SEA,SDG,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,14,31,John Kasay
1993,1993-09-05,1,1,23.313,SEA,SDG,False,1,1,100.0,1,2,50.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,12,18,John Kasay
1993,1993-09-12,2,2,23.320,SEA,RAI,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,13,17,John Kasay
1993,1993-09-19,3,3,23.327,SEA,NWE,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,17,14,John Kasay
1993,1993-09-26,4,4,23.334,SEA,CIN,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,True,19,10,John Kasay
1993,1993-10-03,5,5,23.341,SEA,SDG,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,31,14,John Kasay
1993,1993-10-17,6,7,23.355,SEA,DET,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,10,30,John Kasay
1993,1993-10-24,7,8,23.362,SEA,NWE,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,10,9,John Kasay
1993,1993-10-31,8,9,24.004,SEA,DEN,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,,0,0,0,0,0,0,,0,True,False,17,28,John Kasay
1993,1993-11-07,9,10,24.011,SEA,HOU,False,2,2,100.0,,,,0,2,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,14,24,John Kasay
1993,1993-11-14,10,11,24.018,SEA,CLE,False,2,2,100.0,2,4,50.0,0,8,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,True,22,5,John Kasay
1993,1993-11-28,11,13,24.032,SEA,DEN,False,1,1,100.0,,,,0,1,0.0,,,,,,0,,,0,0,0,0,0,,,False,False,9,17,John Kasay
1993,1993-12-05,12,14,24.039,SEA,KAN,False,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,16,31,John Kasay
1993,1993-12-12,13,15,24.046,SEA,RAI,False,3,3,100.0,,,,0,3,0.0,,,,,,0,,,0,0,0,0,0,,,True,False,23,27,John Kasay
1993,1993-12-19,14,16,24.053,SEA,PHO,False,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,,0,0,0,0,0,0,,0,False,False,27,30,John Kasay
