Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-17,1.0,2.0,23.054,MIA,LAC,W 19-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,130.0,43.33,0.0,0.0,0%,0.0,0%,8.0,30%,True,Matt Haack,True,19,17
2017.0,2017-09-24,2.0,3.0,23.061,MIA,NYJ,L 6-20,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,333.0,47.57,0.0,0.0,0%,0.0,0%,9.0,35%,True,Matt Haack,False,6,20
2017.0,2017-10-01,3.0,4.0,23.068,MIA,NOR,L 0-20,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,263.0,43.83,0.0,0.0,0%,0.0,0%,6.0,32%,False,Matt Haack,False,0,20
2017.0,2017-10-08,4.0,5.0,23.075,MIA,TEN,W 16-10,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,459.0,51.0,0.0,0.0,0%,0.0,0%,12.0,39%,False,Matt Haack,True,16,10
2017.0,2017-10-15,5.0,6.0,23.082,MIA,ATL,W 20-17,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,40.0,0.0,0.0,0%,0.0,0%,6.0,26%,True,Matt Haack,True,20,17
2017.0,2017-10-22,6.0,7.0,23.089,MIA,NYJ,W 31-28,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,267.0,44.5,0.0,0.0,0%,0.0,0%,11.0,33%,False,Matt Haack,True,31,28
2017.0,2017-10-26,7.0,8.0,23.093,MIA,BAL,L 0-40,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,328.0,41.0,0.0,0.0,0%,0.0,0%,9.0,30%,True,Matt Haack,False,0,40
2017.0,2017-11-05,8.0,9.0,23.103,MIA,OAK,L 24-27,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,221.0,44.2,0.0,0.0,0%,0.0,0%,9.0,35%,False,Matt Haack,False,24,27
2017.0,2017-11-13,9.0,10.0,23.111,MIA,CAR,L 21-45,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,167.0,41.75,0.0,0.0,0%,0.0,0%,7.0,25%,True,Matt Haack,False,21,45
2017.0,2017-11-19,10.0,11.0,23.117,MIA,TAM,L 20-30,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,106.0,53.0,0.0,0.0,0%,0.0,0%,6.0,20%,False,Matt Haack,False,20,30
