Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-09,1.0,1.0,22.314,GNB,CHI,W 24-23,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,192,48.00,0,0,0%,0,0%,8,29%,False,JK Scott,True,24,23
2018.0,2018-09-16,2.0,2.0,22.321,GNB,MIN,T 29-29,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,259,51.80,0,0,0%,0,0%,13,35%,False,JK Scott,False,29,29
2018.0,2018-09-23,3.0,3.0,22.328,GNB,WAS,L 17-31,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0.0,0,0,0,0,0,0,0,0,1,0,0,5,232,46.40,0,0,0%,0,0%,9,31%,True,JK Scott,False,17,31
2018.0,2018-09-30,4.0,4.0,22.335,GNB,BUF,W 22-0,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,171,42.75,0,0,0%,0,0%,9,39%,False,JK Scott,True,22,0
2018.0,2018-10-07,5.0,5.0,22.342,GNB,DET,L 23-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,21%,True,JK Scott,False,23,31
2018.0,2018-10-15,6.0,6.0,22.35,GNB,SFO,W 33-30,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,155,38.75,0,0,0%,0,0%,11,33%,False,JK Scott,True,33,30
2018.0,2018-10-28,7.0,8.0,22.363,GNB,LAR,L 27-29,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,214,42.80,0,0,0%,0,0%,11,32%,True,JK Scott,False,27,29
2018.0,2018-11-04,8.0,9.0,23.005,GNB,NWE,L 17-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,5,210,42.00,0,0,0%,0,0%,8,30%,True,JK Scott,False,17,31
2018.0,2018-11-11,9.0,10.0,23.012,GNB,MIA,W 31-12,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,1,37,37.00,1,0,0%,0,0%,8,31%,False,JK Scott,True,31,12
2018.0,2018-11-15,10.0,11.0,23.016,GNB,SEA,L 24-27,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,284,47.33,0,0,0%,0,0%,11,35%,True,JK Scott,False,24,27
2018.0,2018-11-25,11.0,12.0,23.026,GNB,MIN,L 17-24,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,6,276,46.00,0,0,0%,0,0%,9,32%,True,JK Scott,False,17,24
2018.0,2018-12-02,12.0,13.0,23.033,GNB,ARI,L 17-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,7,339,48.43,0,0,0%,0,0%,12,39%,False,JK Scott,False,17,20
2018.0,2018-12-09,13.0,14.0,23.04,GNB,ATL,W 34-20,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,4,169,42.25,0,0,0%,0,0%,10,36%,False,JK Scott,True,34,20
2018.0,2018-12-16,14.0,15.0,23.047,GNB,CHI,L 17-24,False,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,5,208,41.60,0,0,0%,0,0%,8,30%,True,JK Scott,False,17,24
2018.0,2018-12-23,15.0,16.0,23.054,GNB,NYJ,W 44-38,False,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,3,113,37.67,0,0,0%,0,0%,9,24%,True,JK Scott,True,44,38
2018.0,2018-12-30,16.0,17.0,23.061,GNB,DET,L 0-31,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,,,0,0,0,0,0,0,7,317,45.29,0,0,0%,0,0%,7,29%,False,JK Scott,False,0,31
2019.0,2019-09-05,1.0,1.0,23.31,GNB,CHI,W 10-3,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,9,428,47.56,0,0,0%,0,0%,11,44%,True,JK Scott,True,10,3
2019.0,2019-09-15,2.0,2.0,23.32,GNB,MIN,W 21-16,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,8,381,47.63,0,0,0%,0,0%,11,38%,False,JK Scott,True,21,16
2019.0,2019-09-22,3.0,3.0,23.327,GNB,DEN,W 27-16,False,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,212,53.00,0,0,0%,0,0%,10,38%,False,JK Scott,True,27,16
