Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-09-07,1,1,22.272,CHI,@,IND,W 29-13,True,23,123,5.35,1,3,3,18,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-09-14,2,2,22.279,CHI,@,CAR,L 17-20,True,23,92,4.00,0,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-09-21,3,3,22.286,CHI,,TAM,L 24-27,True,27,89,3.30,0,10,7,66,9.43,1,70.0%,6.60,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-09-28,4,4,22.293,CHI,,PHI,W 24-20,True,19,43,2.26,0,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-10-05,5,5,22.300,CHI,@,DET,W 34-7,True,15,36,2.40,1,4,4,25,6.25,1,100.0%,6.25,0,0,,0,0,0,,,,,,,2,12,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-10-12,6,6,22.307,CHI,@,ATL,L 20-22,True,20,76,3.80,1,5,5,34,6.80,0,100.0%,6.80,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-10-19,7,7,22.314,CHI,,MIN,W 48-41,True,20,56,2.80,1,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-11-02,8,9,22.328,CHI,,DET,W 27-23,True,22,126,5.73,0,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-11-09,9,10,22.335,CHI,,TEN,L 14-21,True,20,72,3.60,0,7,7,54,7.71,1,100.0%,7.71,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-11-16,10,11,22.342,CHI,@,GNB,L 3-37,True,16,64,4.00,0,7,6,40,6.67,0,85.7%,5.71,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-11-23,11,12,22.349,CHI,@,STL,W 27-3,True,21,139,6.62,2,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,,2,12,1,1,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-11-30,12,13,22.356,CHI,@,MIN,L 14-34,True,22,96,4.36,0,4,4,29,7.25,1,100.0%,7.25,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,Matt Forte
2008,2008-12-07,13,14,22.363,CHI,,JAX,W 23-10,True,21,69,3.29,0,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-12-11,14,15,23.001,CHI,,NOR,W 27-24,True,11,34,3.09,1,6,5,29,5.80,0,83.3%,4.83,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-12-22,15,16,23.012,CHI,,GNB,W 20-17,True,23,73,3.17,1,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,False,Matt Forte
2008,2008-12-28,16,17,23.018,CHI,@,HOU,L 24-31,True,13,50,3.85,0,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,Matt Forte
2009,2009-09-13,1,1,23.277,CHI,@,GNB,L 15-21,True,25,55,2.20,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,Matt Forte
2009,2009-09-20,2,2,23.284,CHI,,PIT,W 17-14,True,13,29,2.23,0,6,5,33,6.60,0,83.3%,5.50,0,0,,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,False,Matt Forte
2009,2009-09-27,3,3,23.291,CHI,@,SEA,W 25-19,True,21,66,3.14,0,6,6,40,6.67,0,100.0%,6.67,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,Matt Forte
