Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,22.076,TAM,@,ATL,W 31-24,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,42%,True,Peyton Barber
2016,2016-09-18,2,2,,TAM,@,ARI,L 7-40,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Peyton Barber
2016,2016-09-25,3,3,22.090,TAM,,LAR,L 32-37,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,13,42%,False,Peyton Barber
2016,2016-10-02,4,4,22.097,TAM,,DEN,L 7-27,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,68%,False,Peyton Barber
2016,2016-10-10,5,5,22.105,TAM,@,CAR,W 17-14,False,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,7%,0,0%,10,40%,True,Peyton Barber
2016,2016-10-23,6,7,22.118,TAM,@,SFO,W 34-17,False,12,84,7.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,23%,0,0%,12,40%,True,Peyton Barber
2016,2016-10-30,7,8,22.125,TAM,,OAK,L 24-30,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,4%,0,0%,18,53%,False,Peyton Barber
2016,2016-11-03,8,9,22.129,TAM,,ATL,L 28-43,True,11,31,2.82,0,5,4,24,6.00,0,80.0%,4.80,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,45%,0,0%,0,0%,False,Peyton Barber
2016,2016-11-13,9,10,22.139,TAM,,CHI,W 36-10,False,12,38,3.17,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,28%,0,0%,1,4%,False,Peyton Barber
2016,2016-11-20,10,11,22.146,TAM,@,KAN,W 19-17,False,4,22,5.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,13%,0,0%,0,0%,True,Peyton Barber
2016,2016-11-27,11,12,22.153,TAM,,SEA,W 14-5,False,5,16,3.20,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,14,21%,0,0%,1,5%,False,Peyton Barber
2016,2016-12-04,12,13,22.160,TAM,@,SDG,W 28-21,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,9,14%,0,0%,10,42%,True,Peyton Barber
2016,2016-12-11,13,14,22.167,TAM,,NOR,W 16-11,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2%,0,0%,14,58%,False,Peyton Barber
2016,2016-12-18,14,15,22.174,TAM,@,DAL,L 20-26,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0%,0,0%,18,60%,True,Peyton Barber
2016,2016-12-24,15,16,22.180,TAM,@,NOR,L 24-31,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,16,62%,True,Peyton Barber
2016,2017-01-01,16,17,22.188,TAM,,CAR,W 17-16,False,5,19,3.80,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,32%,0,0%,15,56%,False,Peyton Barber
2017,2017-09-17,1,2,23.082,TAM,,CHI,W 29-7,False,10,47,4.70,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,23%,0,0%,9,41%,False,Peyton Barber
2017,2017-09-24,2,3,23.089,TAM,@,MIN,L 17-34,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,68%,True,Peyton Barber
2017,2017-10-01,3,4,23.096,TAM,,NYG,W 25-23,False,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,6%,0,0%,19,66%,False,Peyton Barber
2017,2017-10-05,4,5,23.100,TAM,,NWE,L 14-19,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,18,62%,False,Peyton Barber
2017,2017-10-15,5,6,23.110,TAM,@,ARI,L 33-38,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,19,73%,True,Peyton Barber
2017,2017-10-22,6,7,23.117,TAM,@,BUF,L 27-30,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,4%,0,0%,17,59%,True,Peyton Barber
2017,2017-10-29,7,8,23.124,TAM,,CAR,L 3-17,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,4%,0,0%,19,83%,False,Peyton Barber
2017,2017-11-05,8,9,23.131,TAM,@,NOR,L 10-30,False,11,34,3.09,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,39%,0,0%,18,67%,True,Peyton Barber
2017,2017-11-12,9,10,23.138,TAM,,NYJ,W 15-10,False,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,7,10%,0,0%,18,72%,False,Peyton Barber
2017,2017-11-19,10,11,23.145,TAM,@,MIA,W 30-20,False,0,0,,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,5%,0,0%,18,60%,True,Peyton Barber
2017,2017-11-26,11,12,23.152,TAM,@,ATL,L 20-34,False,5,7,1.40,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,10,14%,0,0%,16,62%,True,Peyton Barber
2017,2017-12-03,12,13,23.159,TAM,@,GNB,L 20-26,True,23,102,4.43,0,4,4,41,10.25,0,100.0%,10.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,68%,0,0%,0,0%,True,Peyton Barber
2017,2017-12-10,13,14,23.166,TAM,,DET,L 21-24,False,12,58,4.83,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,44%,0,0%,2,8%,False,Peyton Barber
2017,2017-12-18,14,15,23.174,TAM,,ATL,L 21-24,True,13,53,4.08,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,32,54%,0,0%,0,0%,False,Peyton Barber
2017,2017-12-24,15,16,23.180,TAM,@,CAR,L 19-22,True,13,51,3.92,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,39%,0,0%,0,0%,True,Peyton Barber
2017,2017-12-31,16,17,23.187,TAM,,NOR,W 31-24,True,17,71,4.18,1,4,2,18,9.00,0,50.0%,4.50,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,45,54%,0,0%,0,0%,False,Peyton Barber
2018,2018-09-09,1,1,24.074,TAM,@,NOR,W 48-40,True,19,69,3.63,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Peyton Barber
2018,2018-09-16,2,2,24.081,TAM,,PHI,W 27-21,True,16,22,1.38,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,False,Peyton Barber
2018,2018-09-24,3,3,24.089,TAM,,PIT,L 27-30,True,8,33,4.13,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,60%,0,0%,0,0%,False,Peyton Barber
2018,2018-09-30,4,4,24.095,TAM,@,CHI,L 10-48,True,7,24,3.43,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,49%,0,0%,0,0%,True,Peyton Barber
2018,2018-10-14,5,6,24.109,TAM,@,ATL,L 29-34,True,13,82,6.31,0,4,4,24,6.00,1,100.0%,6.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,62%,0,0%,0,0%,True,Peyton Barber
2018,2018-10-21,6,7,24.116,TAM,,CLE,W 26-23,True,11,30,2.73,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,37%,0,0%,0,0%,False,Peyton Barber
2018,2018-10-28,7,8,24.123,TAM,@,CIN,L 34-37,True,19,85,4.47,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,49%,0,0%,0,0%,True,Peyton Barber
2018,2018-11-04,8,9,24.130,TAM,@,CAR,L 28-42,True,11,31,2.82,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,52%,0,0%,0,0%,True,Peyton Barber
2018,2018-11-11,9,10,24.137,TAM,,WAS,L 3-16,True,13,61,4.69,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,48%,0,0%,0,0%,False,Peyton Barber
2018,2018-11-18,10,11,24.144,TAM,@,NYG,L 35-38,True,18,106,5.89,1,2,2,4,2.00,0,100.0%,2.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,68%,0,0%,0,0%,True,Peyton Barber
2018,2018-11-25,11,12,24.151,TAM,,SFO,W 27-9,True,18,47,2.61,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,49%,0,0%,0,0%,False,Peyton Barber
2018,2018-12-02,12,13,24.158,TAM,,CAR,W 24-17,True,16,45,2.81,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,40,62%,0,0%,0,0%,False,Peyton Barber
