Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
1996.0,1996-09-01,1.0,1.0,23.248,NWE,MIA,L 10-24,False,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Adam Vinatieri,False,10,24
1996.0,1996-09-08,2.0,2.0,23.255,NWE,BUF,L 10-17,False,0,0,,0,0,0,,,,,,1,1,100.0,1,4,25.0,,0,4,0.0,,,,,,0,0,,0,,,,,,,True,Adam Vinatieri,False,10,17
1996.0,1996-09-15,3.0,3.0,23.262,NWE,ARI,W 31-0,False,0,0,,0,0,0,,,,,,2,3,66.7,1,2,50.0,,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Adam Vinatieri,True,31,0
1996.0,1996-09-22,4.0,4.0,23.269,NWE,JAX,W 28-25,False,0,0,,0,0,0,,,,,,1,2,50.0,5,6,83.3,,0,16,0.0,,,,,,0,0,,0,,,,,,,False,Adam Vinatieri,True,28,25
1996.0,1996-10-06,5.0,6.0,23.283,NWE,BAL,W 46-38,False,0,0,,0,0,0,,,,,,3,3,100.0,3,3,100.0,,0,12,0.0,,,,,,0,0,,0,,,,,,,True,Adam Vinatieri,True,46,38
1996.0,1996-10-13,6.0,7.0,23.29,NWE,WAS,L 22-27,False,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,,0,10,0.0,,,,,,0,0,,0,,,,,,,False,Adam Vinatieri,False,22,27
1996.0,1996-10-20,7.0,8.0,23.297,NWE,IND,W 27-9,False,0,0,,0,0,0,,,,,,3,3,100.0,2,2,100.0,,0,9,0.0,,,,,,0,0,,0,,,,,,,True,Adam Vinatieri,True,27,9
1996.0,1996-10-27,8.0,9.0,23.304,NWE,BUF,W 28-25,False,0,0,,0,0,0,,,,,,2,3,66.7,2,3,66.7,,0,8,0.0,,,,,,0,0,,0,,,,,,,False,Adam Vinatieri,True,28,25
1996.0,1996-11-03,9.0,10.0,23.311,NWE,MIA,W 42-23,False,0,0,,0,0,,,,,,,6,6,100.0,,,,,0,6,0.0,,,,,,0,0,,,,,,,,,False,Adam Vinatieri,True,42,23
1996.0,1996-11-10,10.0,11.0,23.318,NWE,NYJ,W 31-27,False,0,0,,0,0,0,,,,,,4,4,100.0,1,1,100.0,,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Adam Vinatieri,True,31,27
1996.0,1996-11-17,11.0,12.0,23.325,NWE,DEN,L 8-34,False,0,0,,0,0,0,,,,,,,,,,1,0.0,,0,0,0.0,,,,,,0,0,,0,,,,,,,False,Adam Vinatieri,False,8,34
