Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,31.131,NWE,TEN,True,5,3,14,4.67,0,60.0%,2.80,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,63%,0,0%,0,0%,True,True,34,13,Wes Welker
2012,2012-09-16,2,2,31.138,NWE,ARI,False,11,5,95,19.00,0,45.5%,8.64,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,78%,0,0%,1,3%,False,False,18,20,Wes Welker
2012,2012-09-23,3,3,31.145,NWE,BAL,False,10,8,142,17.75,0,80.0%,14.20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,73,89%,0,0%,3,10%,True,False,30,31,Wes Welker
2012,2012-09-30,4,4,31.152,NWE,BUF,False,11,9,129,14.33,0,81.8%,11.73,0,0,,0,0,0,,0,1,14,14.00,0,,,,,,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,74,96%,0,0%,6,17%,True,True,52,28,Wes Welker
2012,2012-10-07,5,5,31.159,NWE,DEN,True,15,13,104,8.00,1,86.7%,6.93,0,0,,0,0,0,,0,1,5,5.00,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,85,89%,0,0%,4,17%,False,True,31,21,Wes Welker
2012,2012-10-14,6,6,31.166,NWE,SEA,True,14,10,138,13.80,1,71.4%,9.86,0,0,,0,0,0,,0,4,68,17.00,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,76,88%,0,0%,5,18%,True,False,23,24,Wes Welker
2012,2012-10-21,7,7,31.173,NWE,NYJ,True,8,6,66,11.00,0,75.0%,8.25,0,0,,0,1,17,17.00,0,2,21,10.50,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,80%,0,0%,4,11%,False,True,29,26,Wes Welker
2012,2012-10-28,8,8,31.180,NWE,STL,True,9,6,48,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,68%,0,0%,0,0%,True,True,45,7,Wes Welker
2012,2012-11-11,9,10,31.194,NWE,BUF,True,11,6,74,12.33,0,54.5%,6.73,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,89%,0,0%,1,3%,False,True,37,31,Wes Welker
2012,2012-11-18,10,11,31.201,NWE,IND,True,11,7,80,11.43,0,63.6%,7.27,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,57,93%,0,0%,2,6%,False,True,59,24,Wes Welker
2012,2012-11-22,11,12,31.205,NWE,NYJ,True,10,7,71,10.14,1,70.0%,7.10,0,0,,0,1,9,9.00,0,1,0,0.00,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,90%,0,0%,3,10%,True,True,49,19,Wes Welker
2012,2012-12-02,12,13,31.215,NWE,MIA,True,18,12,103,8.58,1,66.7%,5.72,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,77,95%,0,0%,2,6%,True,True,23,16,Wes Welker
2012,2012-12-10,13,14,31.223,NWE,HOU,True,8,3,52,17.33,0,37.5%,6.50,0,0,,0,1,7,7.00,0,4,50,12.50,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,87%,0,0%,8,27%,False,True,42,14,Wes Welker
2012,2012-12-16,14,15,31.229,NWE,SFO,True,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,,0,5,13,2.60,0,,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,87,93%,0,0%,6,15%,False,False,34,41,Wes Welker
2012,2012-12-23,15,16,31.236,NWE,JAX,False,12,10,88,8.80,1,83.3%,7.33,1,9,9.00,0,0,0,,0,3,42,14.00,0,,,,,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,95%,0,0%,4,13%,True,True,23,16,Wes Welker
2012,2012-12-30,16,17,31.243,NWE,MIA,True,12,8,94,11.75,1,66.7%,7.83,1,11,11.00,0,0,0,,0,4,30,7.50,0,,,,,,,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,72,94%,0,0%,5,24%,False,True,28,0,Wes Welker
2013,2013-09-05,1,1,32.127,DEN,BAL,True,11,9,67,7.44,2,81.8%,6.09,0,0,,0,0,0,,0,2,27,13.50,0,,,,,,,,2,12,0.0,1,0,1,0,0,1,1,0,0,0,0,56,79%,0,0%,4,9%,False,True,49,27,Wes Welker
2013,2013-09-15,2,2,32.137,DEN,NYG,True,8,3,39,13.00,1,37.5%,4.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,65%,0,0%,0,0%,True,True,41,23,Wes Welker
2013,2013-09-23,3,3,32.145,DEN,OAK,True,8,7,84,12.00,1,87.5%,10.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,51,67%,0,0%,0,0%,False,True,37,21,Wes Welker
2013,2013-09-29,4,4,32.151,DEN,PHI,True,9,7,76,10.86,2,77.8%,8.44,0,0,,0,0,0,,0,0,0,,0,,,,,,,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,47,64%,0,0%,0,0%,False,True,52,20,Wes Welker
2013,2013-10-06,5,5,32.158,DEN,DAL,True,6,5,49,9.80,1,83.3%,8.17,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,92%,0,0%,0,0%,True,True,51,48,Wes Welker
2013,2013-10-13,6,6,32.165,DEN,JAX,True,8,6,63,10.50,1,75.0%,7.88,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,57%,0,0%,0,0%,False,True,35,19,Wes Welker
2013,2013-10-20,7,7,32.172,DEN,IND,True,12,7,96,13.71,0,58.3%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,91%,0,0%,0,0%,True,False,33,39,Wes Welker
2013,2013-10-27,8,8,32.179,DEN,WAS,True,10,6,81,13.50,1,60.0%,8.10,0,0,,0,0,0,,0,0,0,,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,73,90%,0,0%,0,0%,False,True,45,21,Wes Welker
2013,2013-11-10,9,10,32.193,DEN,SDG,True,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,73%,0,0%,0,0%,True,True,28,20,Wes Welker
2013,2013-11-17,10,11,32.200,DEN,KAN,True,10,8,72,9.00,0,80.0%,7.20,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,80%,0,0%,1,3%,False,True,27,17,Wes Welker
2013,2013-11-24,11,12,32.207,DEN,NWE,True,8,4,31,7.75,0,50.0%,3.88,0,0,,0,0,0,,0,2,13,6.50,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,90,100%,0,0%,3,8%,True,False,31,34,Wes Welker
2013,2013-12-01,12,13,32.214,DEN,KAN,True,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,3,5,1.67,0,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,90%,0,0%,5,18%,True,True,35,28,Wes Welker
2013,2013-12-08,13,14,32.221,DEN,TEN,True,10,5,61,12.20,1,50.0%,6.10,0,0,,0,0,0,,0,3,25,8.33,0,,,,,,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,51%,0,0%,3,9%,False,True,51,28,Wes Welker
2013,2013-12-12,14,15,,DEN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,27,Wes Welker
2013,2013-12-22,15,16,,DEN,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,37,13,Wes Welker
2013,2013-12-29,16,17,,DEN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,14,Wes Welker
