Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-11-25,11,12,26.278,BUF,JAX,False,5,18,3.60,0,6,5,47,9.40,0,83.3%,7.83,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,14,36,Fred Jackson
2007,2007-12-02,12,13,26.285,BUF,WAS,True,16,82,5.13,0,6,4,69,17.25,0,66.7%,11.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,17,16,Fred Jackson
2007,2007-12-09,13,14,26.292,BUF,MIA,False,15,115,7.67,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,,,,,1,11,11.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,True,38,17,Fred Jackson
2007,2007-12-16,14,15,26.299,BUF,CLE,False,7,16,2.29,0,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,0,8,Fred Jackson
2007,2007-12-23,15,16,26.306,BUF,NYG,False,6,37,6.17,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,False,21,38,Fred Jackson
2007,2007-12-30,16,17,26.313,BUF,PHI,False,5,16,3.20,0,7,6,24,4.00,0,85.7%,3.43,0,0,,0,0,0,,,,,,1,19,19.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,9,17,Fred Jackson
2008,2008-09-07,1,1,27.200,BUF,SEA,False,10,31,3.10,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,10,Fred Jackson
2008,2008-09-14,2,2,27.207,BUF,JAX,False,6,17,2.83,0,7,7,83,11.86,0,100.0%,11.86,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,20,16,Fred Jackson
2008,2008-09-21,3,3,27.214,BUF,OAK,False,5,24,4.80,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,24,23,Fred Jackson
2008,2008-09-28,4,4,27.221,BUF,STL,False,7,46,6.57,1,3,3,9,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,3,52,17.33,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,31,14,Fred Jackson
2008,2008-10-05,5,5,27.228,BUF,ARI,False,2,16,8.00,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,,,,,1,13,13.00,0,2,34,17.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,17,41,Fred Jackson
2008,2008-10-19,6,7,27.242,BUF,SDG,False,9,33,3.67,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,14,Fred Jackson
2008,2008-10-26,7,8,27.249,BUF,MIA,False,10,41,4.10,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,16,25,Fred Jackson
2008,2008-11-02,8,9,27.256,BUF,NYJ,False,7,15,2.14,0,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,26,Fred Jackson
2008,2008-11-09,9,10,27.263,BUF,NWE,False,4,14,3.50,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,20,Fred Jackson
2008,2008-11-17,10,11,27.271,BUF,CLE,False,12,60,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,4,61,15.25,0,1,0,0.00,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,,,,,,,False,False,27,29,Fred Jackson
2008,2008-11-23,11,12,27.277,BUF,KAN,False,9,56,6.22,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,2,19,9.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,True,54,31,Fred Jackson
2008,2008-11-30,12,13,27.284,BUF,SFO,True,5,8,1.60,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,10,Fred Jackson
2008,2008-12-07,13,14,27.291,BUF,MIA,False,,,,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,3,16,Fred Jackson
