Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-09-07,1,1,22.289,SDG,CAR,True,3,6,2.00,0,3,3,35,11.67,0,100.0%,11.67,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,26,Mike Tolbert
2008,2008-09-14,2,2,22.296,SDG,DEN,True,1,1,1.00,0,3,2,68,34.00,0,66.7%,22.67,0,0,,0,,0,0,0.0,1,0,1,,,0,,0,0,0,0,,,,,,,True,False,38,39,Mike Tolbert
2008,2008-09-22,3,3,22.304,SDG,NYJ,True,0,0,,0,4,4,17,4.25,1,100.0%,4.25,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,48,29,Mike Tolbert
2008,2008-09-28,4,4,22.310,SDG,OAK,True,1,11,11.00,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,28,18,Mike Tolbert
2008,2008-10-05,5,5,22.317,SDG,MIA,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,10,17,Mike Tolbert
2008,2008-10-12,6,6,22.324,SDG,NWE,False,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,10,Mike Tolbert
2008,2008-10-19,7,7,22.331,SDG,BUF,True,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,14,23,Mike Tolbert
2008,2008-10-26,8,8,22.338,SDG,NOR,True,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,32,37,Mike Tolbert
2008,2008-11-09,9,10,22.352,SDG,KAN,False,0,0,,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,19,Mike Tolbert
2008,2008-11-16,10,11,22.359,SDG,PIT,False,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,11,Mike Tolbert
2008,2008-11-23,11,12,23.000,SDG,IND,True,,,,,1,0,0,,0,0.0%,0.00,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,20,23,Mike Tolbert
2008,2008-11-30,12,13,,SDG,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,16,22,Mike Tolbert
2008,2008-12-04,13,14,,SDG,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,7,Mike Tolbert
2008,2008-12-14,14,15,,SDG,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,22,21,Mike Tolbert
2008,2008-12-21,15,16,23.028,SDG,TAM,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,41,24,Mike Tolbert
2008,2008-12-28,16,17,23.035,SDG,DEN,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,52,21,Mike Tolbert
2009,2009-09-14,1,1,23.295,SDG,OAK,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,24,20,Mike Tolbert
2009,2009-09-20,2,2,23.301,SDG,BAL,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,1,0,0,0,,,,,,,False,False,26,31,Mike Tolbert
2009,2009-09-27,3,3,23.308,SDG,MIA,False,1,5,5.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,23,13,Mike Tolbert
2009,2009-10-04,4,4,23.315,SDG,PIT,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,False,28,38,Mike Tolbert
2009,2009-10-19,5,6,23.330,SDG,DEN,False,0,0,,0,2,2,40,20.00,0,100.0%,20.00,0,0,,0,,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,,,,,,,False,False,23,34,Mike Tolbert
2009,2009-10-25,6,7,23.336,SDG,KAN,True,0,0,,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,37,7,Mike Tolbert
2009,2009-11-01,7,8,23.343,SDG,OAK,False,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,2,1,3,0,0,0,,0,0,0,0,,,,,,,False,True,24,16,Mike Tolbert
2009,2009-11-08,8,9,23.350,SDG,NYG,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,True,21,20,Mike Tolbert
2009,2009-11-15,9,10,23.357,SDG,PHI,False,0,0,,0,2,2,25,12.50,1,100.0%,12.50,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,23,Mike Tolbert
2009,2009-11-22,10,11,23.364,SDG,DEN,False,7,58,8.29,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,32,3,Mike Tolbert
2009,2009-11-29,11,12,24.006,SDG,KAN,False,4,19,4.75,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0.0,2,0,2,0,0,0,,0,0,0,0,,,,,,,False,True,43,14,Mike Tolbert
2009,2009-12-06,12,13,24.013,SDG,CLE,False,0,0,,0,1,1,66,66.00,1,100.0%,66.00,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,30,23,Mike Tolbert
2009,2009-12-13,13,14,24.020,SDG,DAL,True,0,0,,0,3,3,19,6.33,0,100.0%,6.33,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,20,17,Mike Tolbert
2009,2009-12-20,14,15,24.027,SDG,CIN,False,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,False,True,27,24,Mike Tolbert
2009,2009-12-25,15,16,24.032,SDG,TEN,False,11,60,5.45,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,True,42,17,Mike Tolbert
2009,2010-01-03,16,17,24.041,SDG,WAS,True,0,0,,0,5,3,9,3.00,1,60.0%,1.80,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,23,20,Mike Tolbert
2010,2010-09-13,1,1,24.294,SDG,KAN,False,2,26,13.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,14,21,Mike Tolbert
2010,2010-09-19,2,2,24.300,SDG,JAX,False,16,82,5.13,2,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,2,12,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,13,Mike Tolbert
2010,2010-09-26,3,3,24.307,SDG,SEA,False,17,73,4.29,0,4,3,17,5.67,0,75.0%,4.25,0,0,,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,,,,,,,True,False,20,27,Mike Tolbert
2010,2010-10-03,4,4,24.314,SDG,ARI,True,16,100,6.25,1,2,2,3,1.50,0,100.0%,1.50,0,0,,0,,1,6,0.0,0,2,2,0,0,0,,0,0,0,0,,,,,,,False,True,41,10,Mike Tolbert
2010,2010-10-10,5,5,24.321,SDG,OAK,True,12,11,0.92,1,3,2,24,12.00,0,66.7%,8.00,0,0,,0,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,False,27,35,Mike Tolbert
2010,2010-10-17,6,6,24.328,SDG,STL,False,3,3,1.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Mike Tolbert
2010,2010-10-24,7,7,24.335,SDG,NWE,False,2,5,2.50,1,2,1,13,13.00,0,50.0%,6.50,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,20,23,Mike Tolbert
2010,2010-10-31,8,8,24.342,SDG,TEN,False,11,63,5.73,1,4,4,27,6.75,0,100.0%,6.75,0,0,,0,,1,6,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,False,True,33,25,Mike Tolbert
2010,2010-11-07,9,9,24.349,SDG,HOU,False,8,32,4.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,1,0,2,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,29,23,Mike Tolbert
2010,2010-11-22,10,11,24.364,SDG,DEN,False,25,111,4.44,1,2,2,42,21.00,0,100.0%,21.00,0,0,,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,35,14,Mike Tolbert
2010,2010-11-28,11,12,25.005,SDG,IND,False,26,103,3.96,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,36,14,Mike Tolbert
2010,2010-12-05,12,13,25.012,SDG,OAK,True,7,16,2.29,0,6,6,47,7.83,0,100.0%,7.83,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,28,Mike Tolbert
2010,2010-12-12,13,14,25.019,SDG,KAN,False,16,66,4.13,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,31,0,Mike Tolbert
2010,2010-12-16,14,15,25.023,SDG,SFO,False,17,46,2.71,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,7,Mike Tolbert
2010,2010-12-26,15,16,25.033,SDG,CIN,True,4,-2,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,2,1,0,0,0,0,,,,,,,True,False,20,34,Mike Tolbert
2010,2011-01-02,16,17,,SDG,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,33,28,Mike Tolbert
2011,2011-09-11,1,1,25.292,SDG,MIN,False,12,35,2.92,1,9,9,58,6.44,2,100.0%,6.44,0,0,,0,,3,18,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,24,17,Mike Tolbert
2011,2011-09-18,2,2,25.299,SDG,NWE,False,9,10,1.11,0,9,8,73,9.13,0,88.9%,8.11,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,False,21,35,Mike Tolbert
2011,2011-09-25,3,3,25.306,SDG,KAN,False,4,19,4.75,0,5,3,24,8.00,0,60.0%,4.80,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,17,Mike Tolbert
2011,2011-10-02,4,4,25.313,SDG,MIA,False,6,17,2.83,1,8,5,51,10.20,0,62.5%,6.38,0,0,,0,,1,6,0.0,1,0,1,0,0,1,0,0,0,0,0,,,,,,,False,True,26,16,Mike Tolbert
2011,2011-10-09,5,5,25.320,SDG,DEN,False,5,24,4.80,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,29,24,Mike Tolbert
2011,2011-10-23,6,7,25.334,SDG,NYJ,False,11,58,5.27,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,21,27,Mike Tolbert
2011,2011-10-31,7,8,,SDG,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,23,Mike Tolbert
2011,2011-11-06,8,9,25.348,SDG,GNB,True,19,83,4.37,1,9,4,59,14.75,0,44.4%,6.56,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,38,45,Mike Tolbert
2011,2011-11-10,9,10,25.352,SDG,OAK,False,7,36,5.14,0,9,5,37,7.40,0,55.6%,4.11,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,17,24,Mike Tolbert
2011,2011-11-20,10,11,25.362,SDG,CHI,False,3,14,4.67,0,7,5,24,4.80,0,71.4%,3.43,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,False,20,31,Mike Tolbert
2011,2011-11-27,11,12,26.004,SDG,DEN,False,11,44,4.00,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,16,Mike Tolbert
2011,2011-12-05,12,13,26.012,SDG,JAX,False,6,24,4.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,5,1,6,0,0,0,,0,0,0,0,,,,,,,True,True,38,14,Mike Tolbert
2011,2011-12-11,13,14,26.018,SDG,BUF,False,6,21,3.50,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,2,1,3,0,0,0,,0,0,0,0,,,,,,,False,True,37,10,Mike Tolbert
2011,2011-12-18,14,15,26.025,SDG,BAL,False,8,40,5.00,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,14,Mike Tolbert
2011,2011-12-24,15,16,26.031,SDG,DET,False,5,7,1.40,0,10,6,32,5.33,0,60.0%,3.20,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,38,Mike Tolbert
2011,2012-01-01,16,17,26.039,SDG,OAK,False,9,58,6.44,1,1,1,13,13.00,0,100.0%,13.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,26,Mike Tolbert
2012,2012-09-09,1,1,26.291,CAR,TAM,False,1,2,2.00,0,3,3,8,2.67,0,100.0%,2.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,64%,0,0%,5,20%,True,False,10,16,Mike Tolbert
2012,2012-09-16,2,2,26.298,CAR,NOR,False,2,3,1.50,1,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,15,50%,False,True,35,27,Mike Tolbert
2012,2012-09-20,3,3,26.302,CAR,NYG,True,3,4,1.33,0,5,4,47,11.75,0,80.0%,9.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,60%,0,0%,0,0%,False,False,7,36,Mike Tolbert
2012,2012-09-30,4,4,26.312,CAR,ATL,False,4,14,3.50,0,3,1,8,8.00,0,33.3%,2.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,34,53%,0,0%,11,33%,True,False,28,30,Mike Tolbert
2012,2012-10-07,5,5,26.319,CAR,SEA,False,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,31%,0,0%,6,22%,False,False,12,16,Mike Tolbert
2012,2012-10-21,6,7,26.333,CAR,DAL,False,3,9,3.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,15,24%,0,0%,10,38%,False,False,14,19,Mike Tolbert
2012,2012-10-28,7,8,26.340,CAR,CHI,False,3,7,2.33,0,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,40%,0,0%,0,0%,True,False,22,23,Mike Tolbert
2012,2012-11-04,8,9,26.347,CAR,WAS,False,3,4,1.33,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,22%,0,0%,0,0%,True,True,21,13,Mike Tolbert
2012,2012-11-11,9,10,26.354,CAR,DEN,True,2,6,3.00,0,2,2,34,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,31%,0,0%,0,0%,False,False,14,36,Mike Tolbert
2012,2012-11-18,10,11,26.361,CAR,TAM,False,0,0,,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,28%,0,0%,0,0%,False,False,21,27,Mike Tolbert
2012,2012-11-26,11,12,27.003,CAR,PHI,False,1,3,3.00,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,40%,0,0%,6,21%,True,True,30,22,Mike Tolbert
2012,2012-12-02,12,13,27.009,CAR,KAN,True,2,15,7.50,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,45%,0,0%,8,33%,True,False,21,27,Mike Tolbert
2012,2012-12-09,13,14,27.016,CAR,ATL,False,5,20,4.00,0,3,3,18,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,51%,0,0%,4,17%,False,True,30,20,Mike Tolbert
2012,2012-12-16,14,15,27.023,CAR,SDG,True,9,40,4.44,2,4,2,24,12.00,0,50.0%,6.00,1,26,26.00,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,58%,0,0%,2,8%,True,True,31,7,Mike Tolbert
2012,2012-12-23,15,16,27.030,CAR,OAK,False,5,28,5.60,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,59%,0,0%,3,14%,False,True,17,6,Mike Tolbert
2012,2012-12-30,16,17,27.037,CAR,NOR,True,10,25,2.50,3,3,1,22,22.00,0,33.3%,7.33,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,41,54%,0,0%,6,16%,True,True,44,38,Mike Tolbert
2013,2013-09-08,1,1,27.289,CAR,SEA,True,4,10,2.50,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,63%,0,0%,6,32%,False,False,7,12,Mike Tolbert
2013,2013-09-15,2,2,27.296,CAR,BUF,True,6,25,4.17,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,44%,0,0%,7,23%,True,False,23,24,Mike Tolbert
2013,2013-09-22,3,3,27.303,CAR,NYG,True,9,18,2.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,50%,0,0%,3,12%,False,True,38,0,Mike Tolbert
2013,2013-10-06,4,5,27.317,CAR,ARI,True,4,31,7.75,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,62%,0,0%,4,17%,True,False,6,22,Mike Tolbert
2013,2013-10-13,5,6,27.324,CAR,MIN,True,8,27,3.38,1,3,2,20,10.00,1,66.7%,6.67,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,37,53%,0,0%,4,17%,True,True,35,10,Mike Tolbert
2013,2013-10-20,6,7,27.331,CAR,STL,False,13,36,2.77,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,64%,0,0%,4,14%,False,True,30,15,Mike Tolbert
2013,2013-10-24,7,8,27.335,CAR,TAM,True,7,35,5.00,0,4,4,29,7.25,1,100.0%,7.25,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,60%,0,0%,4,14%,True,True,31,13,Mike Tolbert
2013,2013-11-03,8,9,27.345,CAR,ATL,True,6,24,4.00,1,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,42,56%,0,0%,3,12%,False,True,34,10,Mike Tolbert
2013,2013-11-10,9,10,27.352,CAR,SFO,False,2,7,3.50,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,36,55%,0,0%,4,15%,True,True,10,9,Mike Tolbert
2013,2013-11-18,10,11,27.360,CAR,NWE,True,6,17,2.83,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,54%,0,0%,5,24%,False,True,24,20,Mike Tolbert
2013,2013-11-24,11,12,28.001,CAR,MIA,True,4,23,5.75,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,41,58%,0,0%,11,34%,True,True,20,16,Mike Tolbert
