Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2018.0,2018-09-06,1.0,1.0,23.246,PHI,ATL,W 18-12,False,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,6,22%,False,Dallas Goedert,True,18,12
2018.0,2018-09-16,2.0,2.0,23.256,PHI,TAM,L 21-27,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,22%,0,0%,9,32%,True,Dallas Goedert,False,21,27
2018.0,2018-09-23,3.0,3.0,23.263,PHI,IND,W 20-16,True,7,7,73,10.43,1,100.0%,10.43,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,67%,0,0%,10,36%,False,Dallas Goedert,True,20,16
2018.0,2018-09-30,4.0,4.0,23.27,PHI,TEN,L 23-26,True,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,41%,0,0%,11,35%,True,Dallas Goedert,False,23,26
2018.0,2018-10-07,5.0,5.0,23.277,PHI,MIN,L 21-23,False,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,58%,0,0%,9,33%,False,Dallas Goedert,False,21,23
2018.0,2018-10-11,6.0,6.0,23.281,PHI,NYG,W 34-13,True,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,32,45%,0,0%,16,50%,True,Dallas Goedert,True,34,13
2018.0,2018-10-21,7.0,7.0,23.291,PHI,CAR,L 17-21,True,5,4,43,10.75,1,80.0%,8.60,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,55%,0,0%,11,50%,False,Dallas Goedert,False,17,21
2018.0,2018-10-28,8.0,8.0,23.298,PHI,JAX,W 24-18,False,1,1,32,32.00,1,100.0%,32.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,48%,0,0%,14,58%,True,Dallas Goedert,True,24,18
2018.0,2018-11-11,9.0,10.0,23.312,PHI,DAL,L 20-27,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,27%,0,0%,12,43%,False,Dallas Goedert,False,20,27
2018.0,2018-11-18,10.0,11.0,23.319,PHI,NOR,L 7-48,True,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,31%,0,0%,15,54%,True,Dallas Goedert,False,7,48
2018.0,2018-11-25,11.0,12.0,23.326,PHI,NYG,W 25-22,False,4,3,33,11.00,0,75.0%,8.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,55%,0,0%,13,50%,False,Dallas Goedert,True,25,22
